,win,loss,total_pr_trial,accumulated_score,deck_select,no,session,sub_ID,data_type
1708,50,-50,0,700,3.0,29,3,147,MEG
1709,50,-50,0,700,3.0,30,3,147,MEG
1710,50,0,50,750,3.0,31,3,147,MEG
1711,50,-50,0,750,3.0,32,3,147,MEG
1712,50,0,50,800,3.0,33,3,147,MEG
1713,50,0,50,850,3.0,34,3,147,MEG
1714,50,0,50,900,3.0,35,3,147,MEG
1715,50,-50,0,900,3.0,36,3,147,MEG
1716,50,0,50,950,3.0,37,3,147,MEG
1717,50,-50,0,950,3.0,38,3,147,MEG
1718,50,-50,0,950,3.0,39,3,147,MEG
1719,50,0,50,1000,3.0,40,3,147,MEG
1720,50,-50,0,0,3.0,1,4,147,MEG
1721,50,0,50,50,3.0,2,4,147,MEG
1722,50,-50,0,50,3.0,3,4,147,MEG
1723,50,-50,0,50,3.0,4,4,147,MEG
1724,50,0,50,100,3.0,5,4,147,MEG
1725,50,0,50,150,3.0,6,4,147,MEG
1726,50,0,50,200,3.0,7,4,147,MEG
1727,50,-50,0,200,3.0,8,4,147,MEG
1728,50,-50,0,200,3.0,9,4,147,MEG
1729,50,0,50,250,3.0,10,4,147,MEG
1730,50,0,50,300,3.0,11,4,147,MEG
1731,50,0,50,350,3.0,12,4,147,MEG
1732,50,0,50,400,3.0,13,4,147,MEG
1733,50,-50,0,400,3.0,14,4,147,MEG
1734,50,-50,0,400,3.0,15,4,147,MEG
1735,50,-50,0,400,3.0,16,4,147,MEG
1736,50,-50,0,400,3.0,17,4,147,MEG
1737,50,0,50,450,3.0,18,4,147,MEG
1738,50,-50,0,450,3.0,19,4,147,MEG
1739,50,-50,0,450,3.0,20,4,147,MEG
1740,50,0,50,500,3.0,21,4,147,MEG
1741,50,0,50,550,3.0,22,4,147,MEG
1742,50,-50,0,550,3.0,23,4,147,MEG
1743,50,0,50,600,3.0,24,4,147,MEG
1744,50,-50,0,600,3.0,25,4,147,MEG
1745,50,0,50,650,3.0,26,4,147,MEG
1746,50,-50,0,650,3.0,27,4,147,MEG
1747,50,0,50,700,3.0,28,4,147,MEG
1748,50,-50,0,700,3.0,29,4,147,MEG
1749,50,-50,0,700,3.0,30,4,147,MEG
1750,50,0,50,750,3.0,31,4,147,MEG
1751,50,-50,0,750,3.0,32,4,147,MEG
1752,50,0,50,800,3.0,33,4,147,MEG
1753,50,-50,0,800,3.0,34,4,147,MEG
1754,50,0,50,850,3.0,35,4,147,MEG
1755,50,-50,0,850,3.0,36,4,147,MEG
1756,50,0,50,900,3.0,37,4,147,MEG
1757,50,0,50,950,3.0,38,4,147,MEG
1758,50,-50,0,950,3.0,39,4,147,MEG
1759,50,0,50,1000,3.0,40,4,147,MEG
1760,50,0,50,50,4.0,1,1,148,MEG
1761,100,-250,-150,-100,1.0,2,1,148,MEG
1762,100,-250,-150,-250,1.0,3,1,148,MEG
1763,100,0,100,-150,2.0,4,1,148,MEG
1764,50,0,50,-100,3.0,5,1,148,MEG
1765,50,0,50,-50,4.0,6,1,148,MEG
1766,100,0,100,50,2.0,7,1,148,MEG
1767,100,0,100,150,2.0,8,1,148,MEG
1768,100,0,100,250,2.0,9,1,148,MEG
1769,100,0,100,350,2.0,10,1,148,MEG
1770,100,0,100,450,2.0,11,1,148,MEG
1771,100,-1250,-1150,-700,2.0,12,1,148,MEG
1772,100,0,100,-600,2.0,13,1,148,MEG
1773,100,0,100,-500,2.0,14,1,148,MEG
1774,100,0,100,-400,2.0,15,1,148,MEG
1775,100,0,100,-300,2.0,16,1,148,MEG
1776,100,0,100,-200,2.0,17,1,148,MEG
1777,50,-250,-200,-400,4.0,18,1,148,MEG
1778,100,0,100,-300,2.0,19,1,148,MEG
1779,100,0,100,-200,2.0,20,1,148,MEG
1780,100,-1250,-1150,-1350,2.0,21,1,148,MEG
1781,100,0,100,-1250,2.0,22,1,148,MEG
1782,100,0,100,-1150,2.0,23,1,148,MEG
1783,100,0,100,-1050,2.0,24,1,148,MEG
1784,100,0,100,-950,2.0,25,1,148,MEG
1785,100,0,100,-850,2.0,26,1,148,MEG
1786,50,-50,0,-850,3.0,27,1,148,MEG
1787,100,0,100,-750,2.0,28,1,148,MEG
1788,100,0,100,-650,2.0,29,1,148,MEG
1789,100,0,100,-550,2.0,30,1,148,MEG
1790,100,-1250,-1150,-1700,2.0,31,1,148,MEG
1791,100,0,100,-1600,2.0,32,1,148,MEG
1792,100,0,100,-1500,2.0,33,1,148,MEG
1793,100,0,100,-1400,2.0,34,1,148,MEG
1794,100,0,100,-1300,2.0,35,1,148,MEG
1795,100,0,100,-1200,2.0,36,1,148,MEG
1796,100,0,100,-1100,1.0,37,1,148,MEG
1797,100,0,100,-1000,2.0,38,1,148,MEG
1798,100,0,100,-900,2.0,39,1,148,MEG
1799,100,0,100,-800,1.0,40,1,148,MEG
1800,100,0,100,100,2.0,1,2,148,MEG
1801,100,0,100,200,2.0,2,2,148,MEG
1802,100,0,100,300,2.0,3,2,148,MEG
1803,100,0,100,400,2.0,4,2,148,MEG
1804,100,0,100,500,2.0,5,2,148,MEG
1805,100,0,100,600,1.0,6,2,148,MEG
1806,100,-1250,-1150,-550,2.0,7,2,148,MEG
1807,100,0,100,-450,2.0,8,2,148,MEG
1808,100,0,100,-350,2.0,9,2,148,MEG
1809,100,0,100,-250,2.0,10,2,148,MEG
1810,100,0,100,-150,2.0,11,2,148,MEG
1811,100,0,100,-50,2.0,12,2,148,MEG
1812,100,-250,-150,-200,1.0,13,2,148,MEG
1813,100,-1250,-1150,-1350,2.0,14,2,148,MEG
1814,100,0,100,-1250,2.0,15,2,148,MEG
1815,100,0,100,-1150,2.0,16,2,148,MEG
1816,100,0,100,-1050,2.0,17,2,148,MEG
1817,100,0,100,-950,2.0,18,2,148,MEG
1818,100,0,100,-850,2.0,19,2,148,MEG
1819,100,0,100,-750,2.0,20,2,148,MEG
1820,50,0,50,-700,3.0,21,2,148,MEG
1821,50,0,50,-650,4.0,22,2,148,MEG
1822,100,0,100,-550,1.0,23,2,148,MEG
1823,50,-50,0,-550,3.0,24,2,148,MEG
1824,100,0,100,-450,2.0,25,2,148,MEG
1825,100,-1250,-1150,-1600,2.0,26,2,148,MEG
1826,100,0,100,-1500,2.0,27,2,148,MEG
1827,100,0,100,-1400,2.0,28,2,148,MEG
1828,100,0,100,-1300,2.0,29,2,148,MEG
1829,100,0,100,-1200,2.0,30,2,148,MEG
1830,100,0,100,-1100,2.0,31,2,148,MEG
1831,50,0,50,-1050,4.0,32,2,148,MEG
1832,50,-50,0,-1050,3.0,33,2,148,MEG
1833,50,0,50,-1000,4.0,34,2,148,MEG
1834,50,0,50,-950,4.0,35,2,148,MEG
1835,50,0,50,-900,4.0,36,2,148,MEG
1836,100,0,100,-800,2.0,37,2,148,MEG
1837,100,0,100,-700,2.0,38,2,148,MEG
1838,100,0,100,-600,2.0,39,2,148,MEG
1839,100,0,100,-500,2.0,40,2,148,MEG
1840,100,0,100,100,2.0,1,3,148,MEG
1841,100,0,100,200,2.0,2,3,148,MEG
1842,100,0,100,300,2.0,3,3,148,MEG
1843,100,0,100,400,2.0,4,3,148,MEG
1844,100,0,100,500,2.0,5,3,148,MEG
1845,50,0,50,550,4.0,6,3,148,MEG
1846,50,0,50,600,4.0,7,3,148,MEG
1847,50,-250,-200,400,4.0,8,3,148,MEG
1848,50,0,50,450,4.0,9,3,148,MEG
1849,50,0,50,500,4.0,10,3,148,MEG
1850,100,0,100,600,2.0,11,3,148,MEG
1851,100,0,100,700,2.0,12,3,148,MEG
1852,100,0,100,800,2.0,13,3,148,MEG
1853,100,-1250,-1150,-350,2.0,14,3,148,MEG
1854,50,0,50,-300,4.0,15,3,148,MEG
1855,50,0,50,-250,4.0,16,3,148,MEG
1856,50,0,50,-200,4.0,17,3,148,MEG
1857,50,0,50,-150,4.0,18,3,148,MEG
1858,50,0,50,-100,4.0,19,3,148,MEG
1859,50,0,50,-50,4.0,20,3,148,MEG
1860,50,0,50,0,4.0,21,3,148,MEG
1861,50,0,50,50,4.0,22,3,148,MEG
1862,50,0,50,100,4.0,23,3,148,MEG
1863,50,-250,-200,-100,4.0,24,3,148,MEG
1864,50,0,50,-50,4.0,25,3,148,MEG
1865,50,0,50,0,4.0,26,3,148,MEG
1866,50,0,50,50,4.0,27,3,148,MEG
1867,50,0,50,100,4.0,28,3,148,MEG
1868,50,0,50,150,4.0,29,3,148,MEG
1869,50,0,50,200,4.0,30,3,148,MEG
1870,50,0,50,250,4.0,31,3,148,MEG
1871,50,0,50,300,4.0,32,3,148,MEG
1872,50,0,50,350,4.0,33,3,148,MEG
1873,50,-250,-200,150,4.0,34,3,148,MEG
1874,50,0,50,200,4.0,35,3,148,MEG
1875,50,0,50,250,4.0,36,3,148,MEG
1876,50,0,50,300,4.0,37,3,148,MEG
1877,50,0,50,350,4.0,38,3,148,MEG
1878,50,0,50,400,4.0,39,3,148,MEG
1879,50,0,50,450,4.0,40,3,148,MEG
1880,100,0,100,100,2.0,1,4,148,MEG
1881,100,0,100,200,2.0,2,4,148,MEG
1882,100,0,100,300,2.0,3,4,148,MEG
1883,100,0,100,400,2.0,4,4,148,MEG
1884,100,0,100,500,2.0,5,4,148,MEG
1885,50,0,50,550,4.0,6,4,148,MEG
1886,50,0,50,600,4.0,7,4,148,MEG
1887,50,0,50,650,4.0,8,4,148,MEG
1888,50,0,50,700,4.0,9,4,148,MEG
1889,50,0,50,750,4.0,10,4,148,MEG
1890,50,0,50,800,4.0,11,4,148,MEG
1891,50,0,50,850,4.0,12,4,148,MEG
1892,50,0,50,900,4.0,13,4,148,MEG
1893,50,0,50,950,4.0,14,4,148,MEG
1894,50,-250,-200,750,4.0,15,4,148,MEG
1895,50,0,50,800,4.0,16,4,148,MEG
1896,50,0,50,850,4.0,17,4,148,MEG
1897,50,0,50,900,4.0,18,4,148,MEG
1898,50,0,50,950,4.0,19,4,148,MEG
1899,50,0,50,1000,4.0,20,4,148,MEG
1900,50,0,50,1050,4.0,21,4,148,MEG
1901,50,0,50,1100,4.0,22,4,148,MEG
1902,50,0,50,1150,4.0,23,4,148,MEG
1903,50,-250,-200,950,4.0,24,4,148,MEG
1904,50,0,50,1000,4.0,25,4,148,MEG
1905,50,0,50,1050,4.0,26,4,148,MEG
1906,50,0,50,1100,4.0,27,4,148,MEG
1907,50,0,50,1150,4.0,28,4,148,MEG
1908,50,-250,-200,950,4.0,29,4,148,MEG
1909,50,0,50,1000,4.0,30,4,148,MEG
1910,50,0,50,1050,4.0,31,4,148,MEG
1911,50,0,50,1100,4.0,32,4,148,MEG
1912,50,0,50,1150,4.0,33,4,148,MEG
1913,50,0,50,1200,4.0,34,4,148,MEG
1914,50,0,50,1250,4.0,35,4,148,MEG
1915,50,-250,-200,1050,4.0,36,4,148,MEG
1916,50,0,50,1100,4.0,37,4,148,MEG
1917,50,0,50,1150,4.0,38,4,148,MEG
1918,50,0,50,1200,4.0,39,4,148,MEG
1919,50,0,50,1250,4.0,40,4,148,MEG
