Inference for Bugs model at "ORL.txt", fit using jags,
 3 chains, each with 5000 iterations (first 1000 discarded)
 n.sims = 12000 iterations saved. Running time = secs
         mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
p[69,1]    0.145   0.042   0.074   0.115   0.141   0.172   0.235 1.001  4800
p[70,1]    0.253   0.040   0.166   0.226   0.257   0.283   0.318 1.002  3000
p[71,1]    0.125   0.043   0.055   0.093   0.120   0.151   0.223 1.001 12000
p[72,1]    0.241   0.039   0.161   0.215   0.243   0.268   0.309 1.001  4700
p[73,1]    0.286   0.034   0.213   0.265   0.287   0.309   0.348 1.001  6700
p[74,1]    0.332   0.049   0.237   0.297   0.331   0.366   0.430 1.002  2400
p[75,1]    0.323   0.052   0.231   0.287   0.320   0.357   0.433 1.001  4200
p[76,1]    0.120   0.047   0.048   0.086   0.113   0.147   0.229 1.001 12000
p[77,1]    0.216   0.051   0.124   0.179   0.214   0.250   0.319 1.001  4600
p[78,1]    0.282   0.061   0.173   0.237   0.278   0.321   0.412 1.002  3200
p[79,1]    0.275   0.056   0.175   0.235   0.271   0.311   0.394 1.001  6900
p[80,1]    0.291   0.063   0.181   0.246   0.287   0.332   0.425 1.001  4900
p[81,1]    0.108   0.050   0.035   0.071   0.099   0.135   0.227 1.001 12000
p[82,1]    0.219   0.057   0.111   0.178   0.218   0.260   0.331 1.001  4800
p[83,1]    0.140   0.045   0.063   0.106   0.136   0.169   0.237 1.001  3900
p[84,1]    0.271   0.051   0.164   0.238   0.277   0.309   0.355 1.002  2300
p[85,1]    0.344   0.058   0.227   0.304   0.347   0.383   0.453 1.002  1500
p[86,1]    0.336   0.058   0.223   0.295   0.337   0.376   0.445 1.002  1500
p[87,1]    0.335   0.050   0.230   0.301   0.339   0.372   0.424 1.002  1800
p[88,1]    0.322   0.056   0.214   0.283   0.322   0.362   0.431 1.002  1800
p[89,1]    0.325   0.052   0.222   0.290   0.326   0.361   0.424 1.002  1900
p[90,1]    0.311   0.049   0.211   0.278   0.313   0.345   0.404 1.002  1900
p[91,1]    0.342   0.068   0.212   0.293   0.342   0.389   0.474 1.002  2400
p[92,1]    0.129   0.057   0.046   0.087   0.120   0.161   0.263 1.001  7700
p[93,1]    0.231   0.068   0.112   0.181   0.226   0.278   0.370 1.002  2600
p[94,1]    0.270   0.062   0.158   0.225   0.267   0.311   0.394 1.001  3500
p[95,1]    0.297   0.071   0.172   0.246   0.292   0.344   0.446 1.001  4500
p[96,1]    0.288   0.065   0.173   0.242   0.284   0.330   0.426 1.001  5400
p[97,1]    0.134   0.045   0.060   0.101   0.129   0.161   0.233 1.001  4800
p[98,1]    0.113   0.044   0.044   0.080   0.107   0.139   0.212 1.001  9100
p[99,1]    0.206   0.046   0.115   0.174   0.207   0.237   0.294 1.001  4400
p[100,1]   0.264   0.050   0.163   0.230   0.265   0.297   0.359 1.001  6700
p[1,2]     0.250   0.000   0.250   0.250   0.250   0.250   0.250 1.000     1
p[2,2]     0.244   0.014   0.212   0.238   0.245   0.250   0.270 1.002  4500
p[3,2]     0.276   0.013   0.247   0.268   0.277   0.284   0.297 1.002  1400
p[4,2]     0.297   0.021   0.252   0.284   0.298   0.311   0.333 1.002  1800
p[5,2]     0.298   0.024   0.244   0.284   0.300   0.314   0.342 1.002  1300
p[6,2]     0.154   0.037   0.091   0.127   0.150   0.176   0.235 1.002  2900
p[7,2]     0.291   0.034   0.237   0.268   0.287   0.309   0.371 1.002  2000
p[8,2]     0.356   0.043   0.291   0.325   0.350   0.378   0.458 1.002  1400
p[9,2]     0.179   0.047   0.102   0.145   0.175   0.208   0.284 1.002  1700
p[10,2]    0.312   0.042   0.238   0.281   0.309   0.339   0.402 1.002  1700
p[11,2]    0.388   0.054   0.296   0.346   0.385   0.426   0.497 1.002  1200
p[12,2]    0.197   0.052   0.107   0.159   0.193   0.231   0.309 1.002  2000
p[13,2]    0.195   0.058   0.098   0.153   0.189   0.231   0.324 1.002  2700
p[14,2]    0.345   0.063   0.232   0.299   0.343   0.388   0.474 1.001  4600
p[15,2]    0.387   0.062   0.275   0.341   0.387   0.431   0.511 1.001  3900
p[16,2]    0.402   0.060   0.291   0.358   0.404   0.444   0.517 1.002  2900
p[17,2]    0.199   0.052   0.107   0.162   0.196   0.233   0.309 1.002  2900
p[18,2]    0.349   0.063   0.229   0.305   0.349   0.393   0.470 1.001  7000
p[19,2]    0.429   0.060   0.306   0.387   0.436   0.475   0.530 1.002  2000
p[20,2]    0.455   0.070   0.317   0.405   0.460   0.505   0.580 1.002  1800
p[21,2]    0.100   0.042   0.033   0.069   0.094   0.124   0.198 1.001 12000
p[22,2]    0.183   0.060   0.072   0.141   0.183   0.224   0.303 1.001 10000
p[23,2]    0.119   0.044   0.051   0.087   0.113   0.144   0.222 1.001  7500
p[24,2]    0.235   0.062   0.127   0.192   0.229   0.271   0.373 1.001 11000
p[25,2]    0.265   0.066   0.148   0.219   0.258   0.304   0.412 1.001 12000
p[26,2]    0.270   0.064   0.152   0.226   0.267   0.310   0.403 1.002 12000
p[27,2]    0.131   0.043   0.063   0.099   0.125   0.157   0.228 1.001  4900
p[28,2]    0.242   0.047   0.155   0.208   0.240   0.276   0.334 1.001  7100
p[29,2]    0.279   0.054   0.180   0.241   0.276   0.316   0.387 1.001  6400
p[30,2]    0.291   0.053   0.194   0.255   0.290   0.328   0.393 1.001  9300
p[31,2]    0.292   0.058   0.188   0.251   0.288   0.330   0.411 1.001  5400
p[32,2]    0.132   0.039   0.068   0.103   0.128   0.156   0.217 1.001  5000
p[33,2]    0.244   0.049   0.154   0.209   0.242   0.278   0.341 1.001  3300
p[34,2]    0.317   0.049   0.219   0.282   0.319   0.356   0.400 1.001  4500
p[35,2]    0.329   0.054   0.226   0.289   0.327   0.369   0.430 1.002  3100
