deck_select,dur_measured_decks,loss,rt_select,condition,total,frames_before_decks,onset_win,win,session,init_mark,offset_win,dur_decks,n_moves,t_moves,exp_type,dur_win,offset_decks,no,frames_after_decks,onset_decks,ID,t_select
2,,0,1.3731074999996054,iowa_exp,100,48,2.985318900002312,100,3,3,,600,2,"[1.6434551000020292, 2.0519196999994165]","['fMRI', 'EEG', 'MEG']",240,,1,72,1.0038659000019834,,2.3769734000015887
4,,0,0.8993065000031493,iowa_exp,150,48,6.978562200001761,50,3,2,,600,1,[6.078613699999551],"['fMRI', 'EEG', 'MEG']",240,,2,72,5.479348299999401,,6.3786548000025505
2,,0,0.9493523000019195,iowa_exp,250,48,10.971809000002395,100,3,3,,600,2,"[9.863283300001058, 10.146688799999538]","['fMRI', 'EEG', 'MEG']",240,,3,72,9.422455399999308,,10.371807700001227
4,,0,1.2494708000012906,iowa_exp,300,48,15.25676680000106,50,3,2,,600,1,[14.390437699999893],"['fMRI', 'EEG', 'MEG']",240,,4,72,13.40731610000148,,14.656786900002771
1,,0,0.8324527000004309,iowa_exp,400,48,19.116669700000784,100,3,2,,600,2,"[18.034233099999256, 18.29205180000281]","['fMRI', 'EEG', 'MEG']",240,,5,72,17.684143500002392,,18.516596200002823
4,,0,0.8659542000023066,iowa_exp,450,48,23.084856900000887,50,3,1,,600,2,"[21.918550099999266, 22.168624500001897]","['fMRI', 'EEG', 'MEG']",240,,6,72,21.618849700000283,,22.48480390000259
3,,0,0.5741649000010511,iowa_exp,500,48,26.71961620000002,50,3,1,,600,1,[25.861225900000136],"['fMRI', 'EEG', 'MEG']",240,,7,72,25.545410800001264,,26.119575700002315
4,,0,0.5324110000001383,iowa_exp,550,48,30.304328700000042,50,3,3,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,8,72,29.171895600000425,,29.704306600000564
3,,0,0.7074071999995795,iowa_exp,600,48,34.02243400000225,50,3,1,,600,1,[33.09728140000152],"['fMRI', 'EEG', 'MEG']",240,,9,72,32.715038000002096,,33.422445200001675
1,,0,2.600385699999606,iowa_exp,700,48,39.64131520000228,100,3,0,,600,4,"[37.28237369999988, 38.40868290000071, 38.63284670000212, 38.807919000002585]","['fMRI', 'EEG', 'MEG']",240,,10,72,36.44139730000097,,39.04178300000058
4,,0,1.3329804000022705,iowa_exp,750,48,44.001304500001424,50,3,3,,600,4,"[42.32589139999982, 42.767827300001954, 42.959533200002625, 43.20128770000156]","['fMRI', 'EEG', 'MEG']",240,,11,72,42.068515099999786,,43.401495500002056
3,,-50,0.8909223000009661,iowa_exp,750,48,47.92788730000029,50,3,0,,600,2,"[46.85365400000228, 47.08604810000179]","['fMRI', 'EEG', 'MEG']",240,,12,72,46.43692210000154,,47.327844400002505
4,,0,0.5074596000013116,iowa_exp,800,48,51.4625952000024,50,3,2,,600,1,[50.66245290000006],"['fMRI', 'EEG', 'MEG']",240,,13,72,50.355146400001104,,50.862606000002415
1,,0,1.641150800001924,iowa_exp,900,48,56.13107800000216,100,3,2,,600,2,"[55.04752490000101, 55.25598540000283]","['fMRI', 'EEG', 'MEG']",240,,14,72,53.88988199999949,,55.53103280000141
4,,0,0.8992923000005248,iowa_exp,950,48,60.040919300001406,50,3,1,,600,2,"[58.7664689000012, 59.20743240000229]","['fMRI', 'EEG', 'MEG']",240,,15,72,58.5416976000015,,59.44098990000202
4,,0,1.6916095000015048,iowa_exp,1000,48,64.8761427999998,50,3,1,,600,2,"[63.05061299999943, 63.85929580000084]","['fMRI', 'EEG', 'MEG']",240,,16,72,62.584856699999364,,64.27646620000087
3,,0,0.6495617000000493,iowa_exp,1050,48,68.56091370000286,50,3,2,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,17,72,67.31181780000043,,67.96137950000048
4,,0,0.8409552999983134,iowa_exp,1100,48,72.44579680000243,50,3,1,,600,2,"[71.42897810000068, 71.65408550000211]","['fMRI', 'EEG', 'MEG']",240,,18,72,71.00481180000133,,71.84576709999965
