deck_select,dur_measured_decks,loss,rt_select,condition,total,frames_before_decks,onset_win,win,session,init_mark,offset_win,dur_decks,n_moves,t_moves,exp_type,dur_win,offset_decks,no,frames_after_decks,onset_decks,ID,t_select
2,,0,2.1402038000014727,iowa_exp,100,48,3.745927699997992,100,1,3,,600,2,"[2.296182999998564, 2.929193599997234]","['fMRI', 'EEG', 'MEG']",240,,1,72,1.0057472999978927,,3.1459510999993654
2,,0,0.8076184000019566,iowa_exp,200,48,7.572408099997119,100,1,3,,600,2,"[6.515760599999339, 6.74739199999749]","['fMRI', 'EEG', 'MEG']",240,,2,72,6.164816099997552,,6.972434499999508
4,,0,1.3249620999995386,iowa_exp,250,48,11.915765799996734,50,1,3,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,3,72,9.991304399998626,,11.316266499998164
4,,0,0.37407249999887426,iowa_exp,300,48,15.317068999996991,50,1,3,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,4,72,14.343030399999407,,14.717102899998281
3,,0,1.7840285999991465,iowa_exp,350,48,20.127308399998583,50,1,2,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,5,72,17.736020299998927,,19.520048899998073
4,,-250,1.282936300001893,iowa_exp,150,48,24.41229409999869,50,1,0,,600,3,"[22.928568799998175, 23.18701229999715, 23.58717699999761]","['fMRI', 'EEG', 'MEG']",240,,6,72,22.52954409999802,,23.812480399999913
2,,0,0.8414389000026858,iowa_exp,250,48,28.28886529999727,100,1,3,,600,2,"[27.23909349999667, 27.489312799996696]","['fMRI', 'EEG', 'MEG']",240,,7,72,26.847855999996682,,27.689294899999368
4,,0,0.5165233000006992,iowa_exp,300,48,31.848560200000065,50,1,3,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,8,72,30.732707199997094,,31.249230499997793
3,,-50,0.6161963999984437,iowa_exp,300,48,35.47496109999702,50,1,1,,600,1,[34.600299099998665],"['fMRI', 'EEG', 'MEG']",240,,9,72,34.25906799999939,,34.87526439999783
1,,-250,0.5409295000026759,iowa_exp,150,48,39.034672599998885,100,1,0,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,10,72,37.89382089999708,,38.43475039999976
2,,0,0.7908917999993719,iowa_exp,250,48,42.86117999999988,100,1,0,,600,1,[41.954291199999716],"['fMRI', 'EEG', 'MEG']",240,,11,72,41.47024819999933,,42.261139999998704
4,,0,0.7581804000001284,iowa_exp,300,48,46.62931279999975,50,1,1,,600,2,"[45.62087379999866, 45.837592799998674]","['fMRI', 'EEG', 'MEG']",240,,12,72,45.27174019999802,,46.02992059999815
3,,0,0.5659249999989697,iowa_exp,350,48,50.20569289999912,50,1,1,,600,1,[49.38063749999856],"['fMRI', 'EEG', 'MEG']",240,,13,72,49.0398271999984,,49.60575219999737
2,,0,1.3494924000005994,iowa_exp,450,48,54.574035799996636,100,1,2,,600,3,"[53.148683999999776, 53.39252609999676, 53.6990029999979]","['fMRI', 'EEG', 'MEG']",240,,14,72,52.624609699996654,,53.97410209999725
4,,0,0.9749310000006517,iowa_exp,500,48,58.56727509999837,50,1,0,,600,3,"[57.28467809999711, 57.50132449999728, 57.717614299999696]","['fMRI', 'EEG', 'MEG']",240,,15,72,56.99297499999739,,57.96790599999804
4,,0,3.133495000001858,iowa_exp,550,48,64.70314959999814,50,1,3,,600,4,"[61.58542739999757, 62.61149039999873, 63.07882199999949, 63.30270909999672]","['fMRI', 'EEG', 'MEG']",240,,16,72,60.969556699998066,,64.10305169999992
3,,-50,0.82434160000048,iowa_exp,550,48,68.53784109999833,50,1,0,,600,2,"[67.45436100000006, 67.696054]","['fMRI', 'EEG', 'MEG']",240,,17,72,67.11354299999948,,67.93788459999996
4,,0,0.8993069000025571,iowa_exp,600,48,72.45603289999781,50,1,1,,600,2,"[71.31423419999919, 71.59766010000021]","['fMRI', 'EEG', 'MEG']",240,,18,72,70.95677329999671,,71.85608019999927
1,,-250,0.6344452000012097,iowa_exp,450,48,76.11575719999746,100,1,3,,600,1,[75.22410829999717],"['fMRI', 'EEG', 'MEG']",240,,19,72,74.88333399999829,,75.5177791999995
2,,0,0.7917473000015889,iowa_exp,550,48,79.9589270999968,100,1,0,,600,1,[78.8337870999967],"['fMRI', 'EEG', 'MEG']",240,,20,72,78.55968609999763,,79.35143339999922
4,,0,0.6159157000001869,iowa_exp,600,48,83.59372009999788,50,1,2,,600,1,[82.6519092999988],"['fMRI', 'EEG', 'MEG']",240,,21,72,82.37781859999814,,82.99373429999832
3,,-50,1.4245955999977014,iowa_exp,600,48,88.04543790000025,50,1,2,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,22,72,86.02088319999893,,87.44547879999664
4,,0,0.649177299997973,iowa_exp,650,48,91.71356789999845,50,1,2,,600,1,[90.86395569999877],"['fMRI', 'EEG', 'MEG']",240,,23,72,90.4643376999993,,91.11351499999728
2,,-1250,0.7409617000012076,iowa_exp,-500,48,95.50672439999835,100,1,0,,600,1,[94.53163499999937],"['fMRI', 'EEG', 'MEG']",240,,24,72,94.16572679999808,,94.90668849999929
4,,-250,0.6909154999993916,iowa_exp,-700,48,99.29984139999942,50,1,1,,600,2,"[98.26665849999699, 98.4914426999967]","['fMRI', 'EEG', 'MEG']",240,,25,72,98.0089642999992,,98.6998797999986
2,,0,0.866804699999193,iowa_exp,-600,48,103.30970079999679,100,1,3,,600,2,"[102.14280809999764, 102.46810499999992]","['fMRI', 'EEG', 'MEG']",240,,26,72,101.83544299999994,,102.70224769999913
2,,0,1.1585114000008616,iowa_exp,-500,48,107.49471139999878,100,1,2,,600,3,"[106.04434749999928, 106.27775759999713, 106.58627689999776]","['fMRI', 'EEG', 'MEG']",240,,27,72,105.73696859999836,,106.89547999999922
4,,0,0.7593757000031474,iowa_exp,-450,48,111.27116789999855,50,1,1,,600,2,"[110.20449649999864, 110.46269419999953]","['fMRI', 'EEG', 'MEG']",240,,28,72,109.91359579999698,,110.67297150000013
3,,0,0.7826614000005065,iowa_exp,-400,48,115.08931519999896,50,1,0,,600,2,"[113.97245419999672, 114.22341919999963]","['fMRI', 'EEG', 'MEG']",240,,29,72,113.70674689999942,,114.48940829999992
2,,0,0.5659257000006619,iowa_exp,-300,48,118.7074051999989,100,1,0,,600,1,[117.7995633999999],"['fMRI', 'EEG', 'MEG']",240,,30,72,117.54159029999937,,118.10751600000003
4,,0,1.5245510999993712,iowa_exp,-250,48,123.26751939999667,50,1,3,,600,4,"[121.39206959999865, 121.7181322999968, 121.91720729999724, 122.40075069999875]","['fMRI', 'EEG', 'MEG']",240,,31,72,121.14294789999985,,122.66749899999922
2,,0,0.5747807000007015,iowa_exp,-150,48,126.88555949999864,100,1,0,,600,1,[126.06046129999959],"['fMRI', 'EEG', 'MEG']",240,,32,72,125.71149319999677,,126.28627389999747
4,,0,0.7247900000002119,iowa_exp,-100,48,130.62869599999976,50,1,1,,600,2,"[129.54518379999718, 129.77947519999725]","['fMRI', 'EEG', 'MEG']",240,,33,72,129.3044528999999,,130.0292429000001
4,,0,2.359025499998097,iowa_exp,-50,48,136.02247709999938,50,1,3,,600,4,"[133.39769650000017, 134.28873259999818, 134.58051999999952, 135.16406389999975]","['fMRI', 'EEG', 'MEG']",240,,34,72,133.05599129999973,,135.41501679999783
2,,0,1.3161888999966322,iowa_exp,50,48,140.38252659999853,100,1,2,,600,3,"[139.1156123999972, 139.37400439999692, 139.56660120000015]","['fMRI', 'EEG', 'MEG']",240,,35,72,138.46638220000023,,139.78257109999686
4,,0,0.7241469000000507,iowa_exp,100,48,144.1173022999974,50,1,2,,600,1,[143.25057339999694],"['fMRI', 'EEG', 'MEG']",240,,36,72,142.79312429999845,,143.5172711999985
4,,0,1.1494720999980927,iowa_exp,150,48,148.27726939999775,50,1,0,,600,3,"[147.04369979999683, 147.2771350999974, 147.46068939999896]","['fMRI', 'EEG', 'MEG']",240,,37,72,146.52782579999985,,147.67729789999794
2,,0,1.6663308999995934,iowa_exp,250,48,152.9707533999972,100,1,3,,600,2,"[151.57881689999704, 152.17081179999877]","['fMRI', 'EEG', 'MEG']",240,,38,72,150.70447109999805,,152.37080199999764
3,,0,1.099620799999684,iowa_exp,300,48,157.12239799999952,50,1,2,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,39,72,155.42297580000013,,156.52259659999982
4,,0,0.9493075999998837,iowa_exp,350,48,161.0906025999975,50,1,1,,600,2,"[160.06541099999959, 160.28327889999855]","['fMRI', 'EEG', 'MEG']",240,,40,72,159.54129949999697,,160.49060709999685
