rt_select,condition,dur_decks,total,frames_before_decks,no,t_select,loss,onset_win,frames_after_decks,deck_select,onset_decks,offset_win,win,offset_decks,dur_win,init_mark,t_moves,n_moves,ID,dur_measured_decks,session,exp_type
2.6069241000077454,iowa_exp,600,0,72,1,3.605449000009685,-50,4.0053590000025,48,3,0.9985249000019394,,50,,240,0,"[2.0967758000042522, 2.5639956000086386]",2,,,4,"['fMRI', 'EEG', 'MEG']"
1.1743987999943784,iowa_exp,600,100,72,2,7.882133999999496,0,8.282091400003992,48,1,6.707735200005118,,100,,240,2,"[7.223601200006669, 7.532216200008406]",2,,,4,"['fMRI', 'EEG', 'MEG']"
0.49076549999881536,iowa_exp,600,-50,72,3,11.42514000000665,-250,11.82511560000421,48,1,10.934374500007834,,100,,240,0,[],0,,,4,"['fMRI', 'EEG', 'MEG']"
0.6157138999988092,iowa_exp,600,50,72,4,15.20160549999855,0,15.60158840000804,48,2,14.58589159999974,,100,,240,0,[14.893207000000984],1,,,4,"['fMRI', 'EEG', 'MEG']"
0.6156965000118362,iowa_exp,600,150,72,5,18.853022100011003,0,19.26133249999839,48,2,18.237325599999167,,100,,240,0,[18.54462080000667],1,,,4,"['fMRI', 'EEG', 'MEG']"
1.4744126000005053,iowa_exp,600,250,72,6,23.42144869999902,0,23.821452900010627,48,2,21.947036099998513,,100,,240,1,"[22.221120000001974, 22.5878773000004, 22.846495900012087, 23.129798300011316]",4,,,4,"['fMRI', 'EEG', 'MEG']"
1.5328803000011249,iowa_exp,600,350,72,7,28.02332170000591,0,28.423244999998133,48,2,26.490441400004784,,100,,240,1,"[26.731132500004605, 27.23962069999834, 27.464798100001644, 27.73991490001208]",4,,,4,"['fMRI', 'EEG', 'MEG']"
0.7659601999912411,iowa_exp,600,400,72,8,31.849832699997933,0,32.249716400008765,48,4,31.08387250000669,,50,,240,1,"[31.282946200008155, 31.53348189999815]",2,,,4,"['fMRI', 'EEG', 'MEG']"
1.1994074000103865,iowa_exp,600,250,72,9,36.09311480000906,-250,36.493070700002136,48,1,34.893707399998675,,100,,240,1,"[35.18447279999964, 35.518104000002495, 35.793051300002844]",3,,,4,"['fMRI', 'EEG', 'MEG']"
0.6575681999966037,iowa_exp,600,300,72,10,39.84464730000764,0,40.24453560000984,48,4,39.18707910001103,,50,,240,1,"[39.18851180000638, 39.561092100004316]",2,,,4,"['fMRI', 'EEG', 'MEG']"
0.9243191999994451,iowa_exp,600,350,72,11,43.78784330000053,0,44.18768550000095,48,3,42.86352410000109,,50,,240,0,"[43.17091490000894, 43.47932550001133]",2,,,4,"['fMRI', 'EEG', 'MEG']"
