no,offset_win,dur_decks,onset_decks,deck_select,total,dur_measured_decks,exp_type,rt_select,frames_after_decks,dur_win,session,init_mark,condition,frames_before_decks,t_moves,ID,offset_decks,n_moves,t_select,win,loss,onset_win
1,,600,1.0009745999996085,1,100,,"['fMRI', 'EEG', 'MEG']",2.7582971999945585,72,240,2,3,iowa_exp,48,[2.2908021999901393],,,1,3.759271799994167,100,0,4.366356499987887
2,,600,6.818656799994642,2,200,,"['fMRI', 'EEG', 'MEG']",1.416184700006852,72,240,2,3,iowa_exp,48,"[7.167678400001023, 7.617809299990768]",,,2,8.234841500001494,100,0,8.834822999997414
3,,600,11.278729500001646,3,250,,"['fMRI', 'EEG', 'MEG']",0.8754524999967543,72,240,2,2,iowa_exp,48,[],,,0,12.1541819999984,50,0,12.752978099990287
4,,600,15.188515799993183,4,300,,"['fMRI', 'EEG', 'MEG']",2.1081704999960493,72,240,2,3,iowa_exp,48,"[15.51448209999944, 16.087799999993877, 16.529928899995866, 16.95569859999523]",,,4,17.296686299989233,50,0,17.896633899988956
5,,600,20.323869399988325,1,150,,"['fMRI', 'EEG', 'MEG']",1.324522100010654,72,240,2,3,iowa_exp,48,[20.72395129999495],,,1,21.64839149999898,100,-250,22.248371900001075
6,,600,24.7173119999934,2,250,,"['fMRI', 'EEG', 'MEG']",3.3001757000020007,72,240,2,3,iowa_exp,48,"[25.22479189999285, 25.783251799992286]",,,2,28.0174876999954,100,0,28.61752639999031
7,,600,31.053095899987966,1,350,,"['fMRI', 'EEG', 'MEG']",2.043808900009026,72,240,2,2,iowa_exp,48,"[31.68563969999377, 32.17753939999966]",,,2,33.09690479999699,100,0,33.70280049998837
8,,600,36.14674109999032,1,450,,"['fMRI', 'EEG', 'MEG']",1.7833809000003384,72,240,2,3,iowa_exp,48,[36.62917600000219],,,1,37.93012199999066,100,0,38.529684900000575
9,,600,40.99029010000231,1,550,,"['fMRI', 'EEG', 'MEG']",1.4995309999940218,72,240,2,2,iowa_exp,48,"[41.48157269999501, 41.989614299993264]",,,2,42.489821099996334,100,0,43.089827199990395
10,,600,45.5337686999992,1,400,,"['fMRI', 'EEG', 'MEG']",2.008066099995631,72,240,2,1,iowa_exp,48,"[46.15797489999386, 46.60808559998986, 47.100006399996346]",,,3,47.54183479999483,100,-250,48.14180719999422
11,,600,50.635708799993154,1,500,,"['fMRI', 'EEG', 'MEG']",2.0339951000059955,72,240,2,1,iowa_exp,48,"[51.24326449999353, 51.71829779999098, 52.16040959999373]",,,3,52.66970389999915,100,0,53.27714500000002
12,,600,55.729336499993224,1,350,,"['fMRI', 'EEG', 'MEG']",1.6912431999953697,72,240,2,3,iowa_exp,48,[57.00466009999218],,,1,57.42057969998859,100,-250,58.02066219999688
13,,600,60.46457929999451,1,200,,"['fMRI', 'EEG', 'MEG']",2.6333240999956615,72,240,2,1,iowa_exp,48,"[61.639026699995156, 62.048381699991296, 62.62292309998884]",,,3,63.09790339999017,100,-250,63.69786609998846
14,,600,66.13352279999526,2,300,,"['fMRI', 'EEG', 'MEG']",2.4922935999929905,72,240,2,2,iowa_exp,48,"[67.21701929999108, 67.83306969999103, 68.24991859999136]",,,3,68.62581639998825,100,0,69.23336030000064
15,,600,71.67731559999811,2,400,,"['fMRI', 'EEG', 'MEG']",0.9742817999940598,72,240,2,1,iowa_exp,48,[],,,0,72.65159739999217,100,0,73.25159239998902
16,,600,75.71213980000175,2,500,,"['fMRI', 'EEG', 'MEG']",0.7409423999924911,72,240,2,1,iowa_exp,48,[],,,0,76.45308219999424,100,0,77.05307169999287
17,,600,79.49689769999532,1,350,,"['fMRI', 'EEG', 'MEG']",2.3082985999935772,72,240,2,2,iowa_exp,48,"[79.91279309999663, 81.179847899999]",,,2,81.80519629998889,100,-250,82.40515479999885
18,,600,84.88237529998878,2,450,,"['fMRI', 'EEG', 'MEG']",0.9493398000049638,72,240,2,1,iowa_exp,48,[],,,0,85.83171509999374,100,0,86.43173419999948
19,,600,88.85897879999538,2,550,,"['fMRI', 'EEG', 'MEG']",1.6412098000000697,72,240,2,0,iowa_exp,48,[90.13337609999871],,,1,90.50018859999545,100,0,91.10018229999696
20,,600,93.51911229999678,2,650,,"['fMRI', 'EEG', 'MEG']",2.2082206000050064,72,240,2,2,iowa_exp,48,"[94.20995819999371, 94.79362959999708, 95.24369930000103]",,,3,95.72733290000178,100,0,96.3272805000015
21,,600,98.74621299999126,2,-500,,"['fMRI', 'EEG', 'MEG']",1.8329767999966862,72,240,2,3,iowa_exp,48,"[99.69555079999554, 100.16227639999124]",,,2,100.57918979998794,100,-1250,101.17916729999706
22,,600,103.86482679999608,1,-400,,"['fMRI', 'EEG', 'MEG']",0.7492280000005849,72,240,2,0,iowa_exp,48,[],,,0,104.61405479999667,100,0,105.21405479998793
23,,600,107.65793849999318,1,-550,,"['fMRI', 'EEG', 'MEG']",1.1498950999957742,72,240,2,3,iowa_exp,48,[108.3747585999954],,,1,108.80783359998895,100,-250,109.40736779999861
24,,600,111.95134539999708,1,-450,,"['fMRI', 'EEG', 'MEG']",1.6995066999952542,72,240,2,2,iowa_exp,48,"[112.86825269999099, 113.29237389999616]",,,2,113.65085209999233,100,0,114.25091899999825
25,,600,116.69475229999807,1,-600,,"['fMRI', 'EEG', 'MEG']",1.9830982999992557,72,240,2,1,iowa_exp,48,"[117.47745130000112, 117.85262150000199, 118.29520159999083]",,,3,118.67785059999733,100,-250,119.27784189999511
26,,600,121.77180489999591,1,-750,,"['fMRI', 'EEG', 'MEG']",2.274872599999071,72,240,2,0,iowa_exp,48,"[122.28784199999063, 122.6962160999974, 123.05479689998901, 123.54727060000005]",,,4,124.04667749999498,100,-250,124.64664110000012
27,,600,127.12418559999787,3,-700,,"['fMRI', 'EEG', 'MEG']",3.642564299996593,72,240,2,2,iowa_exp,48,"[128.1649383999902, 128.60756099999708, 130.20729209999263, 130.52419329999248]",,,4,130.76674989999447,50,0,131.37424069999543
