win,offset_decks,offset_win,session,dur_measured_decks,t_moves,dur_win,no,onset_decks,exp_type,onset_win,total,t_select,init_mark,deck_select,loss,dur_decks,n_moves,condition,frames_before_decks,frames_after_decks,rt_select,ID
50,,,4,,"[1.3931114000006346, 1.6349188000003778]",240,1,1.0037642999996024,"['fMRI', 'EEG', 'MEG']",2.259978600000977,50,1.8600241000003734,0,3,0,600,2,iowa_exp,72,48,0.8562598000007711,
50,,,4,,"[5.9115022999994835, 6.136639399999694, 6.3449485000001005]",240,2,5.570798299999296,"['fMRI', 'EEG', 'MEG']",6.953363300001001,50,6.553548800000499,3,3,-50,600,3,iowa_exp,72,48,0.9827505000012025,
50,,,4,,[],240,3,10.380954599999313,"['fMRI', 'EEG', 'MEG']",11.263438699999824,50,10.863559299999906,2,3,-50,600,0,iowa_exp,72,48,0.48260470000059286,
50,,,4,,"[14.306786900000589, 14.506672999999864]",240,4,13.932363300000361,"['fMRI', 'EEG', 'MEG']",15.106591199999457,50,14.706663900000422,0,3,-50,600,2,iowa_exp,72,48,0.7743006000000605,
50,,,4,,"[18.049601900000198, 18.27553330000046]",240,5,17.758872399999746,"['fMRI', 'EEG', 'MEG']",18.891390099999626,100,18.491499800000383,0,3,0,600,2,iowa_exp,72,48,0.7326274000006379,
50,,,4,,[],240,6,21.502102899999954,"['fMRI', 'EEG', 'MEG']",22.351087799999732,150,21.93444020000061,2,3,0,600,0,iowa_exp,72,48,0.43233730000065407,
50,,,4,,"[25.502973599999677, 25.727624600000127, 25.97768790000009]",240,7,25.003355400000146,"['fMRI', 'EEG', 'MEG']",26.60273629999938,150,26.203314899999896,3,3,-50,600,3,iowa_exp,72,48,1.1999594999997498,
50,,,4,,[],240,8,29.263354299999264,"['fMRI', 'EEG', 'MEG']",30.087434700000813,150,29.688308299999335,2,3,-50,600,0,iowa_exp,72,48,0.42495400000007066,
50,,,4,,[33.11380400000053],240,9,32.773078300000634,"['fMRI', 'EEG', 'MEG']",33.73878739999964,200,33.331453599999804,1,3,0,600,1,iowa_exp,72,48,0.5583752999991702,
50,,,4,,"[36.74862009999924, 36.94868250000036, 37.15845420000005]",240,10,36.36611679999987,"['fMRI', 'EEG', 'MEG']",37.7820799000001,200,37.382172999999966,3,3,-50,600,3,iowa_exp,72,48,1.0160562000000937,
50,,,4,,[],240,11,40.39271379999991,"['fMRI', 'EEG', 'MEG']",41.23340389999976,250,40.826181300000826,2,3,0,600,0,iowa_exp,72,48,0.4334675000009156,
50,,,4,,"[44.168133999999554, 44.384902600000714, 44.58492979999937]",240,12,43.85234599999967,"['fMRI', 'EEG', 'MEG']",45.2099503999998,300,44.80261040000005,3,3,0,600,3,iowa_exp,72,48,0.9502644000003784,
50,,,4,,"[48.29468249999991, 48.48658790000081, 48.67849849999948]",240,13,47.85393380000096,"['fMRI', 'EEG', 'MEG']",49.29487800000061,350,48.89502259999972,3,3,0,600,3,iowa_exp,72,48,1.0410887999987608,
50,,,4,,[52.304624300000796],240,14,51.93890830000055,"['fMRI', 'EEG', 'MEG']",52.93800060000103,400,52.53803060000064,1,3,0,600,1,iowa_exp,72,48,0.59912230000009,
50,,,4,,[],240,15,55.60695140000098,"['fMRI', 'EEG', 'MEG']",56.48936979999962,400,56.0894485000008,2,3,-50,600,0,iowa_exp,72,48,0.4824970999998186,
50,,,4,,"[59.44154359999993, 59.65774590000001]",240,16,59.09997990000011,"['fMRI', 'EEG', 'MEG']",60.282485600000655,400,59.882516899999246,0,3,-50,600,2,iowa_exp,72,48,0.7825369999991381,
50,,,4,,[],240,17,62.92645620000076,"['fMRI', 'EEG', 'MEG']",63.85055459999967,450,63.45069230000081,2,3,0,600,0,iowa_exp,72,48,0.5242361000000528,
50,,,4,,"[66.8186655999998, 67.0353668000007]",240,18,66.46952520000013,"['fMRI', 'EEG', 'MEG']",67.6436819999999,450,67.24373159999959,0,3,-50,600,2,iowa_exp,72,48,0.7742063999994571,
50,,,4,,"[70.72970779999923, 70.95356709999942, 71.17032830000062, 71.4871392999994]",240,19,70.24597410000024,"['fMRI', 'EEG', 'MEG']",72.15378629999941,450,71.74647610000102,2,3,-50,600,4,iowa_exp,72,48,1.500502000000779,
50,,,4,,"[75.23094880000099, 75.48863540000093]",240,20,74.78939879999962,"['fMRI', 'EEG', 'MEG']",76.15534269999989,450,75.7554070999995,0,3,-50,600,2,iowa_exp,72,48,0.9660082999998849,
50,,,4,,[],240,21,78.7826556,"['fMRI', 'EEG', 'MEG']",79.73173990000032,450,79.3318677999996,2,3,-50,600,0,iowa_exp,72,48,0.5492121999996016,
50,,,4,,"[82.8581209999993, 83.25836560000062, 83.51760950000062]",240,22,82.35901539999941,"['fMRI', 'EEG', 'MEG']",84.18345419999969,500,83.78350230000069,3,3,0,600,3,iowa_exp,72,48,1.424486900001284,
50,,,4,,[87.30988600000092],240,23,86.79413449999993,"['fMRI', 'EEG', 'MEG']",88.04328589999932,500,87.64340179999999,1,3,-50,600,1,iowa_exp,72,48,0.849267300000065,
50,,,4,,[],240,24,90.68727260000014,"['fMRI', 'EEG', 'MEG']",91.56129909999981,500,91.1614597000007,2,3,-50,600,0,iowa_exp,72,48,0.4741871000005631,
50,,,4,,[94.56356079999932],240,25,94.20531269999992,"['fMRI', 'EEG', 'MEG']",95.20443859999978,550,94.80444910000006,1,3,0,600,1,iowa_exp,72,48,0.599136400000134,
50,,,4,,"[98.20713539999997, 98.3902909999997]",240,26,97.86506569999983,"['fMRI', 'EEG', 'MEG']",98.98924749999969,550,98.58988320000026,0,3,-50,600,2,iowa_exp,72,48,0.7248175000004267,
50,,,4,,[102.02484840000034],240,27,101.59981660000085,"['fMRI', 'EEG', 'MEG']",102.69901070000014,600,102.29191790000004,1,3,0,600,1,iowa_exp,72,48,0.6921012999991945,
50,,,4,,"[105.63391059999958, 105.84208510000099]",240,28,105.33472600000096,"['fMRI', 'EEG', 'MEG']",106.44213970000055,650,106.03479710000101,0,3,0,600,2,iowa_exp,72,48,0.7000711000000592,
50,,,4,,[109.41019460000098],240,29,109.06949359999999,"['fMRI', 'EEG', 'MEG']",110.09352940000099,700,109.69366600000103,1,3,0,600,1,iowa_exp,72,48,0.6241724000010436,
50,,,4,,[],240,30,112.7958577999998,"['fMRI', 'EEG', 'MEG']",113.65325459999985,750,113.25363140000081,2,3,0,600,0,iowa_exp,72,48,0.4577736000010191,
50,,,4,,"[116.61289399999987, 116.8297892999999]",240,31,116.28058860000056,"['fMRI', 'EEG', 'MEG']",117.42972670000017,750,117.02991190000103,0,3,-50,600,2,iowa_exp,72,48,0.7493233000004693,
50,,,4,,"[120.35665110000082, 120.55613970000013, 120.75629870000012]",240,32,120.04869990000043,"['fMRI', 'EEG', 'MEG']",121.34792740000012,750,120.9480055999993,3,3,-50,600,3,iowa_exp,72,48,0.8993056999988767,
50,,,4,,[],240,33,123.9919430000009,"['fMRI', 'EEG', 'MEG']",124.89098000000013,800,124.49106679999932,2,3,0,600,0,iowa_exp,72,48,0.49912379999841505,
50,,,4,,"[127.88407130000087, 128.07580980000057, 128.2758362000004]",240,34,127.53500890000032,"['fMRI', 'EEG', 'MEG']",128.87586460000057,800,128.47588600000017,3,3,-50,600,3,iowa_exp,72,48,0.9408770999998524,
50,,,4,,"[131.98598459999994, 132.20230889999948, 132.602598200001]",240,35,131.5364752000005,"['fMRI', 'EEG', 'MEG']",133.43598980000024,800,133.02856919999977,3,3,-50,600,3,iowa_exp,72,48,1.4920939999992697,
50,,,4,,[],240,36,136.07171390000076,"['fMRI', 'EEG', 'MEG']",136.94562729999961,850,136.54560259999926,2,3,0,600,0,iowa_exp,72,48,0.47388869999849703,
50,,,4,,[139.96376229999987],240,37,139.5647031999997,"['fMRI', 'EEG', 'MEG']",140.63041759999942,900,140.23052649999954,1,3,0,600,1,iowa_exp,72,48,0.665823299999829,
50,,,4,,"[143.92402270000093, 144.19032250000055, 144.43210550000003]",240,38,143.2578508000006,"['fMRI', 'EEG', 'MEG']",145.08216960000027,900,144.68272400000023,3,3,-50,600,3,iowa_exp,72,48,1.424873199999638,
50,,,4,,"[148.05853650000063, 148.25855899999988]",240,39,147.70944129999953,"['fMRI', 'EEG', 'MEG']",148.86696780000057,950,148.45950959999936,0,3,0,600,2,iowa_exp,72,48,0.7500682999998389,
50,,,4,,[],240,40,151.4859467999995,"['fMRI', 'EEG', 'MEG']",152.39337689999957,950,151.99342230000002,2,3,-50,600,0,iowa_exp,72,48,0.5074755000005098,
