offset_win,win,ID,exp_type,loss,offset_decks,init_mark,no,n_moves,deck_select,condition,frames_before_decks,rt_select,dur_win,dur_measured_decks,session,t_select,onset_win,dur_decks,frames_after_decks,total,t_moves,onset_decks
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,1,0,4,iowa_exp,72,0.5379758000017318,240,,4,1.535761300001468,1.9356979000003776,600,48,50,[],0.9977854999997362
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,2,3,4,iowa_exp,72,1.074391399997694,240,,4,5.829129199999443,6.229017199999362,600,48,100,"[5.203911500000686, 5.403878600001917, 5.629080599999725]",4.754737800001749
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,3,1,4,iowa_exp,72,0.6658790000001318,240,,4,9.530500100001518,9.930442299999413,600,48,150,[9.355423000000883],8.864621100001386
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,4,3,4,iowa_exp,72,1.324483100001089,240,,4,13.898934600001667,14.298824100002093,600,48,200,"[13.02353530000255, 13.448712900000828, 13.69895340000221]",12.574451500000578
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,5,3,4,iowa_exp,72,1.4743662000000768,240,,4,18.400574499999493,18.800570600000356,600,48,250,"[17.491927900002338, 17.958769000000757, 18.19219090000115]",16.926208299999416
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,6,3,4,iowa_exp,72,1.084774799997831,240,,4,22.52104379999946,22.918856700001925,600,48,300,"[21.802025500001037, 22.068789500001003, 22.30253210000228]",21.43626900000163
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,7,1,4,iowa_exp,72,0.5909136999980547,240,,4,26.120353599999362,26.520257899999706,600,48,350,[25.854425100002118],25.529439900001307
,50,,"['fMRI', 'EEG', 'MEG']",-250,,1,8,2,4,iowa_exp,72,0.857583799999702,240,,4,29.996776100000716,30.39677600000141,600,48,150,"[29.555033900000126, 29.80513300000166]",29.139192300001014
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,9,0,4,iowa_exp,72,0.5742047999992792,240,,4,33.623271399999794,34.02316229999997,600,48,200,[],33.049066600000515
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,10,3,4,iowa_exp,72,1.3576826999997138,240,,4,38.033234900001844,38.43323600000076,600,48,250,"[37.29969669999991, 37.54146500000206, 37.800373500002024]",36.67555220000213
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,11,0,4,iowa_exp,72,0.6159268999981578,240,,4,41.65973529999974,42.05958450000253,600,48,300,[],41.04380840000158
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,12,2,4,iowa_exp,72,0.7742861999977322,240,,4,45.45294920000015,45.85276040000099,600,48,350,"[45.044398300000466, 45.261112899999716]",44.678663000002416
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,13,0,4,iowa_exp,72,0.5327975999971386,240,,4,49.021318499999325,49.420819400002074,600,48,400,[],48.488520900002186
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,14,2,4,iowa_exp,72,0.9576421999990998,240,,4,52.98915710000074,53.389010300001246,600,48,450,"[52.49817280000207, 52.7891062000017]",52.03151490000164
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,15,1,4,iowa_exp,72,0.6907685000005586,240,,4,56.76556840000194,57.16551400000026,600,48,500,[56.515482200000406],56.07479990000138
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,16,3,4,iowa_exp,72,1.3077161999972304,240,,4,61.09223109999948,61.49220229999992,600,48,550,"[60.21683320000011, 60.44192860000112, 60.833833600001526]",59.78451490000225
,50,,"['fMRI', 'EEG', 'MEG']",-250,,1,17,2,4,iowa_exp,72,0.8250990999986243,240,,4,64.97797859999991,65.38531350000267,600,48,350,"[64.52697210000042, 64.76124150000032]",64.15287950000129
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,18,3,4,iowa_exp,72,1.0253217999998014,240,,4,69.063059600001,69.47029710000061,600,48,400,"[68.3701753000023, 68.59602470000027, 68.84532279999985]",68.0377378000012
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,19,3,4,iowa_exp,72,1.0327322000011918,240,,4,73.15532340000209,73.5552185000015,600,48,450,"[72.50505630000043, 72.73010900000008, 72.9635730000009]",72.1225912000009
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,20,0,4,iowa_exp,72,0.590744299999642,240,,4,76.76500189999933,77.16498720000163,600,48,500,[],76.17425759999969
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,21,2,4,iowa_exp,72,0.9083628000007593,240,,4,80.69229500000074,81.09148570000252,600,48,550,"[80.25803070000256, 80.4914385000011]",79.78393219999998
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,22,2,4,iowa_exp,72,0.8826630000003206,240,,4,84.61807740000222,85.01801940000223,600,48,600,"[84.11791200000152, 84.39299490000121]",83.7354144000019
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,23,3,4,iowa_exp,72,0.941354799997498,240,,4,88.62838120000015,89.02790129999994,600,48,650,"[87.96240890000263, 88.20279840000148, 88.42788650000148]",87.68702640000265
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,24,0,4,iowa_exp,72,0.5409056999997119,240,,4,92.21274790000098,92.61266260000048,600,48,700,[],91.67184220000127
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,25,1,4,iowa_exp,72,0.6657876999997825,240,,4,95.90583550000156,96.30570520000038,600,48,750,[95.68908510000256],95.24004780000178
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,26,2,4,iowa_exp,72,0.7825303999998141,240,,4,99.69891289999941,100.09887430000163,600,48,800,"[99.24041399999987, 99.49055990000124]",98.9163824999996
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,27,1,4,iowa_exp,72,0.6325498999976844,240,,4,103.3587348000001,103.75862369999959,600,48,850,[103.1419206999999],102.72618490000241
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,28,2,4,iowa_exp,72,0.7744103999975778,240,,4,107.16034500000023,107.5600916000003,600,48,900,"[106.72669410000162, 106.95176429999992]",106.38593460000266
,50,,"['fMRI', 'EEG', 'MEG']",-250,,2,29,1,4,iowa_exp,72,0.6575501000006625,240,,4,110.85333560000072,111.2532351000009,600,48,700,[110.6364762000012],110.19578550000006
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,30,1,4,iowa_exp,72,0.5667597999999998,240,,4,114.47225880000042,114.87962030000199,600,48,750,[114.30465550000008],113.90549900000042
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,31,0,4,iowa_exp,72,0.5490329999993264,240,,4,118.12279409999974,118.52268280000135,600,48,800,[],117.57376110000041
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,32,3,4,iowa_exp,72,1.092030399999203,240,,4,122.2587753000007,122.66598420000082,600,48,850,"[121.61582099999941, 121.82423650000055, 122.04944290000276]",121.1667449000015
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,33,1,4,iowa_exp,72,0.5408510999986902,240,,4,125.83411089999936,126.23404300000038,600,48,900,[125.61005099999966],125.29325980000067
,50,,"['fMRI', 'EEG', 'MEG']",-250,,1,34,2,4,iowa_exp,72,0.7492830000010144,240,,4,129.6022647000027,130.00217150000026,600,48,700,"[129.2270344000026, 129.43550600000162]",128.8529817000017
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,35,3,4,iowa_exp,72,0.9993761000005179,240,,4,133.67885110000134,134.07876720000058,600,48,750,"[133.05442720000065, 133.261963500001, 133.47878950000086]",132.67947500000082
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,36,3,4,iowa_exp,72,1.2075772999996843,240,,4,137.93042269999933,138.33041480000247,600,48,800,"[137.07174080000186, 137.47336519999953, 137.70538999999917]",136.72284539999964
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,37,4,4,iowa_exp,72,1.4828397000019322,240,,4,142.4155361000012,142.81551260000197,600,48,850,"[141.2734855000017, 141.55700550000256, 141.92504630000258, 142.1987795999994]",140.93269639999926
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,38,3,4,iowa_exp,72,0.9410777000011876,240,,4,146.40052410000135,146.80040290000034,600,48,900,"[145.7751817999997, 145.98359290000008, 146.1920594000003]",145.45944640000016
