no,offset_win,total,dur_decks,session,win,onset_decks,deck_select,dur_win,t_moves,frames_before_decks,exp_type,condition,n_moves,rt_select,frames_after_decks,dur_measured_decks,loss,init_mark,ID,t_select,offset_decks,onset_win
1,,50,600,1,50,0.9983859999993001,3,240,"[1.8382808999995177, 2.3385166000007303]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.6819156000019575,48,,0,0,,2.6803016000012576,,3.0802547999992385
2,,100,600,1,50,5.732662900001742,4,240,"[6.248433200002182, 6.531905300002109, 6.748649699999078]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.3171387000002142,48,,0,0,,7.049801600001956,,7.448615299999801
3,,200,600,1,100,10.067618600001879,2,240,"[10.666816299999482, 10.976862999999867]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.324388999997609,48,,0,3,,11.392007599999488,,11.791990100002295
4,,200,600,1,50,14.411048900001333,3,240,[15.026822100000572],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.9761123999996926,48,,-50,1,,15.387161300001026,,15.785183899999538
5,,50,600,1,100,18.404187200001616,1,240,"[18.844943799998873, 19.23771680000209]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.6245567000005394,48,,-250,2,,20.028743900002155,,20.428686899998866
6,,100,600,1,50,23.047730800000863,3,240,"[23.55634529999952, 23.87187460000132, 24.114130599999044]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.7420806999980414,48,,0,3,,24.789811499998905,,25.19722919999913
7,,150,600,1,50,27.799596799999563,4,240,"[28.215270799999416, 28.465939000001526, 28.674735799999326]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.0992877000026056,48,,0,0,,28.89888450000217,,29.29878639999879
8,,250,600,1,100,31.951181200001884,2,240,[],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.5657523999980185,48,,0,1,,32.5169335999999,,32.91689590000169
9,,250,600,1,50,35.52751419999913,3,240,"[36.076626599999145, 36.41187419999915]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.6163374000025215,48,,-50,0,,37.14385160000165,,37.54369080000106
10,,350,600,1,100,40.171004200001335,2,240,"[40.686768100000336, 40.912147099999856, 41.12035990000004, 41.562186300001486]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,4,1.7579992999999376,48,,0,1,,41.92900350000127,,42.32889350000187
11,,150,600,1,50,44.99784709999949,4,240,"[45.580372100001114, 46.11480719999963, 46.34735519999958, 46.564158600001974, 47.29767749999883, 47.46440010000151]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,6,2.7167454000009457,48,,-250,1,,47.714592500000435,,48.11447300000145
12,,0,600,1,100,50.7334778000004,1,240,[51.16586760000064],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.8335611000002245,48,,-250,3,,51.567038900000625,,51.97431660000075
13,,0,600,1,50,54.601592200000596,3,240,"[54.90988099999959, 55.167456300001504]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,0.807752699998673,48,,-50,0,,55.40934489999927,,55.80914499999926
14,,100,600,1,100,58.419818000002124,2,240,[59.10298170000169],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,1.1494122999974934,48,,0,0,,59.56923029999962,,59.96912010000233
15,,200,600,1,100,62.5881229000006,2,240,"[63.11290740000186, 63.36298309999984]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,0.9918384000011429,48,,0,3,,63.57996130000174,,63.987366100001964
16,,300,600,1,100,66.6063506999999,2,240,[],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.48246260000087204,48,,0,1,,67.08881330000077,,67.48871620000136
17,,-850,600,1,100,70.14098980000199,2,240,[70.6484832999995],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.7825677999971958,48,,-1250,0,,70.92355759999919,,71.32355319999988
18,,-800,600,1,50,74.14258759999939,4,240,"[74.4586363999988, 74.76675310000064, 75.40866330000063, 75.7755290999994]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,4,1.8925670999997237,48,,0,3,,76.03515469999911,,76.43385639999906
19,,-750,600,1,50,79.06130399999893,3,240,"[79.44356490000064, 79.69367140000031, 80.12804120000146]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.5911319000006188,48,,0,3,,80.65243589999955,,81.05232350000006
20,,-700,600,1,50,83.68813249999948,4,240,"[84.00424449999991, 84.87073969999983]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.799703300002875,48,,0,1,,85.48783580000236,,85.8875177000009
21,,-600,600,1,100,88.52315780000208,2,240,"[88.85563449999972, 89.19735430000219, 89.4307699000019]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.3412549999993644,48,,0,2,,89.86441280000145,,90.2642474000022
22,,-500,600,1,100,92.90827329999956,2,240,[],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.5408256000009715,48,,0,1,,93.44909890000054,,93.8489922000008
23,,-400,600,1,100,96.51796800000011,2,240,"[97.15943200000038, 97.78605819999939, 98.1342805000022]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,2.433982400001696,48,,0,2,,98.9519504000018,,99.35112759999902
24,,-350,600,1,50,101.9951043000001,3,240,[],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.5825346000019636,48,,0,2,,102.57763890000206,,102.97753089999969
25,,-300,600,1,50,105.62156170000162,4,240,"[105.97887579999951, 106.20412679999936]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,0.9076271999983874,48,,0,1,,106.52918890000001,,106.92908969999917
26,,-200,600,1,100,109.58155660000193,2,240,"[110.99039099999936, 111.35604130000138, 111.57282280000072]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,2.2500897999998415,48,,0,2,,111.83164640000177,,112.23116389999996
27,,-100,600,1,100,114.89172640000106,2,240,[115.41595669999879],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.7492749000011827,48,,0,0,,115.64100130000224,,116.04100970000218
28,,0,600,1,100,118.69327600000179,2,240,"[119.0923690999989, 119.33600350000052]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.500380599998607,48,,0,3,,120.1936566000004,,120.60106850000011
29,,50,600,1,50,123.22011170000042,3,240,"[123.6275186999992, 123.86086400000204, 124.06971239999984]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.0826336999998603,48,,0,3,,124.30274540000028,,124.70266719999927
30,,100,600,1,50,127.3300233000009,4,240,"[128.9966024000023, 129.2463346000004]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,2.1167872000005445,48,,0,1,,129.44681050000145,,129.8464426999999
31,,200,600,1,100,132.49033880000206,2,240,"[132.9477360000019, 133.2312802000015, 133.3979560000007]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.1425656999999774,48,,0,2,,133.63290450000204,,134.03135929999917
32,,-950,600,1,100,136.67526550000184,2,240,[137.08266890000232],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.6825553999988188,48,,-1250,0,,137.35782090000066,,137.75778960000025
33,,-950,600,1,50,140.64354860000094,3,240,"[141.45109550000052, 141.66792350000105]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.2255799999984447,48,,-50,0,,141.86912859999939,,142.27621160000126
34,,-900,600,1,50,144.9701860999994,4,240,"[145.34422220000124, 145.58610110000154, 145.99455170000147]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.2998737000016263,48,,0,0,,146.27005980000104,,146.66956740000023
35,,-850,600,1,50,149.33024959999966,3,240,[149.66371440000148],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,1.866384000000835,48,,0,1,,151.1966336000005,,151.5964970999994
36,,-750,600,1,100,154.2404486000014,2,240,"[154.77300200000172, 155.0231113000009, 155.27308750000157]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.3161657999989984,48,,0,2,,155.5566144000004,,155.95651550000184
37,,-700,600,1,50,158.59216170000218,4,240,"[159.1496866000016, 159.43349930000113]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.2759873999966658,48,,0,1,,159.86814909999885,,160.27488970000195
38,,-600,600,1,100,162.91064130000086,2,240,"[163.33460059999925, 163.55978669999968, 163.77649630000087]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.2744173999999475,48,,0,2,,164.1850587000008,,164.58489720000216
39,,-600,600,1,50,167.26220019999892,3,240,"[167.75362880000102, 167.99474389999887]",72,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.5997163000029104,48,,-50,0,,168.86191650000183,,169.26175090000106
40,,-500,600,1,100,171.89743309999903,1,240,[172.6883153000017],72,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,2.0836882000003243,48,,0,3,,173.98112129999936,,174.38038280000183
