win,frames_before_decks,dur_measured_decks,onset_win,deck_select,init_mark,t_moves,t_select,ID,onset_decks,dur_decks,loss,exp_type,total,session,frames_after_decks,no,condition,offset_decks,rt_select,offset_win,dur_win,n_moves
50,48,,2.516952500000116,3,1,[1.5333835000001272],1.9168602000008832,,1.0017560000014782,600,0,"['fMRI', 'EEG', 'MEG']",50,1,72,1,iowa_exp,,0.915104199999405,,240,1
50,48,,6.143279500000062,3,2,[],5.543911000000662,,5.002648700001373,600,-50,"['fMRI', 'EEG', 'MEG']",50,1,72,2,iowa_exp,,0.5412622999992891,,240,0
50,48,,10.453274200001033,4,0,"[9.019618899999841, 9.294750799999747, 9.569835700000112]",9.85432000000037,,8.562117900000885,600,0,"['fMRI', 'EEG', 'MEG']",100,1,72,3,iowa_exp,,1.2922020999994857,,240,3
50,48,,13.98797790000026,3,2,[],13.388184400000682,,12.855484300000171,600,0,"['fMRI', 'EEG', 'MEG']",150,1,72,4,iowa_exp,,0.5327001000005112,,240,0
50,48,,18.014538999999786,3,0,"[16.806822000000466, 17.081051099999968]",17.415364300000874,,16.398556800000733,600,-50,"['fMRI', 'EEG', 'MEG']",150,1,72,5,iowa_exp,,1.0168075000001409,,240,2
50,48,,21.99943870000061,4,1,"[20.874327300000004, 21.1409390000008]",21.39964289999989,,20.466783300000316,600,0,"['fMRI', 'EEG', 'MEG']",200,1,72,6,iowa_exp,,0.9328595999995741,,240,2
50,48,,25.93427520000114,3,0,"[24.85074810000151, 25.100906800000303]",25.326790200000687,,24.476772800000617,600,-50,"['fMRI', 'EEG', 'MEG']",200,1,72,7,iowa_exp,,0.8500174000000698,,240,2
50,48,,29.602382600000055,4,2,[28.744004800000766],29.002339399999983,,28.39484210000046,600,-250,"['fMRI', 'EEG', 'MEG']",0,1,72,8,iowa_exp,,0.6074972999995225,,240,1
50,48,,33.37048010000035,3,1,[32.50384690000101],32.76393250000001,,32.01303210000151,600,0,"['fMRI', 'EEG', 'MEG']",50,1,72,9,iowa_exp,,0.7509003999984998,,240,1
50,48,,37.23037260000092,3,1,[36.296945199999755],36.63032890000068,,35.78944330000013,600,0,"['fMRI', 'EEG', 'MEG']",100,1,72,10,iowa_exp,,0.8408856000005471,,240,1
50,48,,41.090181000001394,4,1,"[39.974698300000455, 40.240116700000726]",40.49021470000116,,39.64095770000131,600,0,"['fMRI', 'EEG', 'MEG']",150,1,72,11,iowa_exp,,0.8492569999998523,,240,2
50,48,,45.867064400001254,3,3,"[43.86794329999975, 44.40141810000023, 44.95130849999987]",45.267018200000166,,43.50919830000021,600,0,"['fMRI', 'EEG', 'MEG']",200,1,72,12,iowa_exp,,1.7578198999999586,,240,3
