win,frames_before_decks,dur_measured_decks,onset_win,deck_select,init_mark,t_moves,t_select,ID,onset_decks,dur_decks,loss,exp_type,total,session,frames_after_decks,no,condition,offset_decks,rt_select,offset_win,dur_win,n_moves
100,48,,2.5699253999991925,1,0,[],1.969984100000147,,0.9968938999991224,600,0,"['fMRI', 'EEG', 'MEG']",100,3,72,1,iowa_exp,,0.9730902000010246,,240,0
50,48,,7.271697999998651,4,3,"[5.371988999999303, 5.82973579999998, 6.1133380999999645, 6.371616799999174]",6.671734099998503,,5.072256999999809,600,0,"['fMRI', 'EEG', 'MEG']",150,3,72,2,iowa_exp,,1.599477099998694,,240,4
50,48,,11.423321599999326,4,0,"[9.989649099999951, 10.223396100000173, 10.490014499999234]",10.815844799999468,,9.707425499998863,600,-250,"['fMRI', 'EEG', 'MEG']",-50,3,72,3,iowa_exp,,1.1084193000006053,,240,3
100,48,,15.108167999998841,2,0,[14.233014299999923],14.508108099998935,,13.883901600000172,600,0,"['fMRI', 'EEG', 'MEG']",50,3,72,4,iowa_exp,,0.6242064999987633,,240,1
50,48,,19.10132109999904,4,2,[18.21792370000003],18.501335599999948,,17.560384200000044,600,0,"['fMRI', 'EEG', 'MEG']",100,3,72,5,iowa_exp,,0.9409513999999035,,240,1
50,48,,23.8948623999986,4,3,"[21.95362980000027, 22.38611409999976, 22.661651499998698, 22.978100999998787]",23.294884599999932,,21.586881899998843,600,0,"['fMRI', 'EEG', 'MEG']",150,3,72,6,iowa_exp,,1.7080027000010887,,240,4
50,48,,27.687978299998576,4,2,[26.787879800000155],27.088006799998766,,26.372132899999997,600,0,"['fMRI', 'EEG', 'MEG']",200,3,72,7,iowa_exp,,0.715873899998769,,240,1
50,48,,31.831250299999738,4,0,"[30.498105299999224, 30.714393399999608, 30.93955559999995]",31.23126129999946,,30.106897699999536,600,0,"['fMRI', 'EEG', 'MEG']",250,3,72,8,iowa_exp,,1.1243635999999242,,240,3
50,48,,35.907880299999306,4,1,"[34.74935550000009, 35.041215600000214]",35.3078119999991,,34.28349539999908,600,0,"['fMRI', 'EEG', 'MEG']",300,3,72,9,iowa_exp,,1.0243166000000201,,240,2
50,48,,39.60098289999951,4,3,[],39.00098759999855,,38.318683199999214,600,0,"['fMRI', 'EEG', 'MEG']",350,3,72,10,iowa_exp,,0.6823043999993388,,240,0
50,48,,44.18612969999958,4,0,"[42.52848169999925, 42.86081279999962, 43.10345889999917]",43.586141699999644,,42.011487699999634,600,-250,"['fMRI', 'EEG', 'MEG']",150,3,72,11,iowa_exp,,1.5746540000000095,,240,3
50,48,,48.08762939999906,4,1,"[47.05415969999922, 47.27121449999868]",47.48966549999932,,46.638408799999524,600,0,"['fMRI', 'EEG', 'MEG']",200,3,72,12,iowa_exp,,0.8512566999997944,,240,2
100,48,,51.66403029999856,2,1,[],51.06403659999887,,50.52323759999854,600,0,"['fMRI', 'EEG', 'MEG']",300,3,72,13,iowa_exp,,0.5407990000003338,,240,0
50,48,,55.59885810000014,4,1,"[54.49085070000001, 54.73207469999943]",54.99887419999868,,54.082960199999434,600,0,"['fMRI', 'EEG', 'MEG']",350,3,72,14,iowa_exp,,0.9159139999992476,,240,2
50,48,,59.32534769999984,4,2,[58.45026179999877],58.725404899998466,,58.00947730000007,600,0,"['fMRI', 'EEG', 'MEG']",400,3,72,15,iowa_exp,,0.7159275999983947,,240,1
50,48,,63.06846079999923,4,3,[],62.46851069999866,,61.7692234999995,600,0,"['fMRI', 'EEG', 'MEG']",450,3,72,16,iowa_exp,,0.6992871999991621,,240,0
50,48,,67.33679649999976,4,0,"[65.90316449999955, 66.12816669999847, 66.41175909999947]",66.7368725999986,,65.50405469999896,600,0,"['fMRI', 'EEG', 'MEG']",500,3,72,17,iowa_exp,,1.2328178999996453,,240,3
100,48,,72.17200389999925,2,3,"[70.51324860000022, 71.24688799999967]",71.57207039999957,,69.75571649999983,600,0,"['fMRI', 'EEG', 'MEG']",600,3,72,18,iowa_exp,,1.81635389999974,,240,2
50,48,,75.84841249999954,4,2,[74.94004029999996],75.24840289999884,,74.61589110000023,600,0,"['fMRI', 'EEG', 'MEG']",650,3,72,19,iowa_exp,,0.6325117999986105,,240,1
50,48,,79.95839549999982,4,0,"[78.64984839999852, 78.8999359999998, 79.09992789999887]",79.35094639999988,,78.2673421999989,600,0,"['fMRI', 'EEG', 'MEG']",700,3,72,20,iowa_exp,,1.0836042000009911,,240,3
50,48,,83.76817949999895,4,1,"[82.71804530000009, 82.95148549999976]",83.16822479999973,,82.39394739999989,600,0,"['fMRI', 'EEG', 'MEG']",750,3,72,21,iowa_exp,,0.7742773999998462,,240,2
50,48,,87.51139779999903,4,2,[86.65289069999926],86.91135450000002,,86.20383769999899,600,0,"['fMRI', 'EEG', 'MEG']",800,3,72,22,iowa_exp,,0.7075168000010308,,240,1
50,48,,91.42954739999914,4,1,"[90.3710562999986, 90.59613069999978]",90.82958019999933,,90.00538839999899,600,0,"['fMRI', 'EEG', 'MEG']",850,3,72,23,iowa_exp,,0.8241918000003352,,240,2
50,48,,95.08095700000013,4,3,[],94.48086739999962,,93.8651675000001,600,0,"['fMRI', 'EEG', 'MEG']",900,3,72,24,iowa_exp,,0.6156998999995267,,240,0
50,48,,99.82446859999982,4,0,"[98.25829619999968, 98.7242914999988, 98.95769109999856]",99.22449719999895,,97.58317379999971,600,0,"['fMRI', 'EEG', 'MEG']",950,3,72,25,iowa_exp,,1.6413233999992372,,240,3
50,48,,103.53425289999905,4,2,[102.63414620000003],102.93419919999906,,102.29337159999886,600,0,"['fMRI', 'EEG', 'MEG']",1000,3,72,26,iowa_exp,,0.6408276000001933,,240,1
50,48,,107.76090829999885,4,0,"[106.41894049999974, 106.65232819999983, 106.88579469999968]",107.16096839999955,,106.00319359999958,600,0,"['fMRI', 'EEG', 'MEG']",1050,3,72,27,iowa_exp,,1.1577747999999701,,240,3
50,48,,111.60408589999861,4,3,[],111.00414829999863,,110.25486629999978,600,0,"['fMRI', 'EEG', 'MEG']",1100,3,72,28,iowa_exp,,0.7492819999988569,,240,0
50,48,,115.5889632999988,4,2,[114.73134519999985],114.9893532999995,,114.2147047999988,600,0,"['fMRI', 'EEG', 'MEG']",1150,3,72,29,iowa_exp,,0.7746485000006942,,240,1
50,48,,119.78226039999936,4,0,"[118.4572361999999, 118.7153817999988, 118.93211340000016]",119.18234419999862,,118.04952989999947,600,-250,"['fMRI', 'EEG', 'MEG']",950,3,72,30,iowa_exp,,1.1328142999991542,,240,3
50,48,,123.78381549999904,4,1,"[122.6844560999998, 122.93369469999925]",123.18520179999905,,122.26782409999942,600,0,"['fMRI', 'EEG', 'MEG']",1000,3,72,31,iowa_exp,,0.9173776999996335,,240,2
100,48,,128.05212419999953,1,2,"[126.71019519999936, 126.9444171999985]",127.45221049999964,,126.2194017999991,600,0,"['fMRI', 'EEG', 'MEG']",1100,3,72,32,iowa_exp,,1.2328087000005326,,240,2
50,48,,132.00371919999998,4,2,[130.94524999999885],131.39625989999877,,130.50441169999976,600,0,"['fMRI', 'EEG', 'MEG']",1150,3,72,33,iowa_exp,,0.8918481999990036,,240,1
50,48,,136.2887068,4,0,"[134.88841089999914, 135.12175969999953, 135.39694699999927]",135.68119979999938,,134.4392986999992,600,0,"['fMRI', 'EEG', 'MEG']",1200,3,72,34,iowa_exp,,1.2419011000001774,,240,3
50,48,,139.9568034999993,4,3,[],139.34982499999933,,138.74930889999996,600,0,"['fMRI', 'EEG', 'MEG']",1250,3,72,35,iowa_exp,,0.6005160999993677,,240,0
50,48,,144.32518269999855,4,0,"[142.89986959999987, 143.13326529999904, 143.41677189999973]",143.72517659999903,,142.4257550000002,600,0,"['fMRI', 'EEG', 'MEG']",1300,3,72,36,iowa_exp,,1.2994215999988228,,240,3
50,48,,148.52681029999985,4,0,"[147.14320969999972, 147.3852300999988, 147.62685599999895]",147.9289444999995,,146.76073919999908,600,0,"['fMRI', 'EEG', 'MEG']",1350,3,72,37,iowa_exp,,1.168205300000409,,240,3
50,48,,152.3533093999995,4,2,[151.46153929999855],151.75333069999942,,151.04583679999996,600,0,"['fMRI', 'EEG', 'MEG']",1400,3,72,38,iowa_exp,,0.7074938999994629,,240,1
50,48,,156.22145349999846,4,1,"[155.1546569000002, 155.38108869999996]",155.6215142000001,,154.75563669999974,600,0,"['fMRI', 'EEG', 'MEG']",1450,3,72,39,iowa_exp,,0.8658775000003516,,240,2
50,48,,159.8229053999985,4,3,[],159.22333239999898,,158.6488634999987,600,0,"['fMRI', 'EEG', 'MEG']",1500,3,72,40,iowa_exp,,0.5744689000002836,,240,0
