frames_after_decks,deck_select,init_mark,t_select,win,dur_decks,session,loss,onset_win,condition,dur_win,dur_measured_decks,offset_win,frames_before_decks,total,offset_decks,onset_decks,t_moves,ID,rt_select,exp_type,n_moves,no
72,2,2,2.419307399999525,100,600,2,0,3.026321800000005,iowa_exp,240,,,48,100,,1.003186599999026,"[1.5843436999966798, 1.8677061999987927, 2.1178566999988107]",,1.416120800000499,"['fMRI', 'EEG', 'MEG']",3,1
72,2,2,6.869654799997079,100,600,2,0,7.469670599999517,iowa_exp,240,,,48,200,,5.445281999996951,"[5.937032199999521, 6.1448800999969535, 6.386254999997618]",,1.4243728000001283,"['fMRI', 'EEG', 'MEG']",3,2
72,2,2,11.713203399998747,100,600,2,0,12.31321719999687,iowa_exp,240,,,48,300,,9.888602799997898,"[10.479416499998479, 11.155097899998509, 11.455606599996827]",,1.8246006000008492,"['fMRI', 'EEG', 'MEG']",3,3
72,2,3,15.739844799998536,100,600,2,0,16.339828399999533,iowa_exp,240,,,48,400,,14.732225499999913,"[15.181882699998823, 15.456362799999624]",,1.0076192999986233,"['fMRI', 'EEG', 'MEG']",2,4
72,2,1,19.582924599999387,100,600,2,0,20.182977299999038,iowa_exp,240,,,48,500,,18.767066199998226,[],,0.8158584000011615,"['fMRI', 'EEG', 'MEG']",0,5
72,1,3,23.468037699996785,100,600,2,0,24.067817499999364,iowa_exp,240,,,48,600,,22.601839699997072,[22.984252499998547],,0.8661979999997129,"['fMRI', 'EEG', 'MEG']",1,6
72,2,2,27.544404999996914,100,600,2,-1250,28.144428899999184,iowa_exp,240,,,48,-550,,26.48685629999818,"[26.752401599998848, 27.035744599997997, 27.286196299999574]",,1.0575486999987334,"['fMRI', 'EEG', 'MEG']",3,7
72,2,3,31.737754799996765,100,600,2,0,32.337723699998605,iowa_exp,240,,,48,-450,,30.72175999999672,"[31.287587099999655, 31.5043345999984]",,1.015994800000044,"['fMRI', 'EEG', 'MEG']",2,8
72,2,2,36.22281529999964,100,600,2,0,36.82282299999861,iowa_exp,240,,,48,-350,,34.78164719999768,"[35.30660429999989, 35.605818899999576, 35.8559972999974]",,1.4411681000019598,"['fMRI', 'EEG', 'MEG']",3,9
72,2,3,40.15768359999856,100,600,2,0,40.75764469999922,iowa_exp,240,,,48,-250,,39.29172529999778,"[39.68238989999736, 39.90744509999786]",,0.8659583000007842,"['fMRI', 'EEG', 'MEG']",2,10
72,2,2,44.94279919999826,100,600,2,0,45.54286359999969,iowa_exp,240,,,48,-150,,43.193229299999075,"[43.625662399997964, 44.04251899999872, 44.600956099999166]",,1.7495698999991873,"['fMRI', 'EEG', 'MEG']",3,11
72,2,1,48.82866279999871,100,600,2,0,49.43602329999703,iowa_exp,240,,,48,-50,,47.96174059999976,[],,0.8669221999989531,"['fMRI', 'EEG', 'MEG']",0,12
72,1,1,53.23774879999837,100,600,2,-250,53.837714599998435,iowa_exp,240,,,48,-200,,51.90496919999714,"[52.462474199997814, 52.71255099999689, 52.94675989999814]",,1.3327796000012313,"['fMRI', 'EEG', 'MEG']",3,13
72,2,3,57.2477396999966,100,600,2,-1250,57.84766099999979,iowa_exp,240,,,48,-1350,,56.264960799999244,"[56.747379999997065, 56.96425459999955]",,0.9827788999973563,"['fMRI', 'EEG', 'MEG']",2,14
72,2,0,61.29927779999707,100,600,2,0,61.899194999998144,iowa_exp,240,,,48,-1250,,60.62502009999662,[61.04906149999806],,0.674257700000453,"['fMRI', 'EEG', 'MEG']",1,15
72,2,3,65.3007136999986,100,600,2,0,65.90079909999986,iowa_exp,240,,,48,-1150,,64.359795999997,"[64.81724359999862, 65.03562049999891]",,0.9409177000015916,"['fMRI', 'EEG', 'MEG']",2,16
72,2,0,69.07036069999958,100,600,2,0,69.67726269999912,iowa_exp,240,,,48,-1050,,68.39471919999778,[68.84381260000009],,0.6756415000018023,"['fMRI', 'EEG', 'MEG']",1,17
72,2,1,72.73774059999778,100,600,2,0,73.33700019999742,iowa_exp,240,,,48,-950,,72.17115609999746,[],,0.5665845000003173,"['fMRI', 'EEG', 'MEG']",0,18
72,2,2,77.20540809999875,100,600,2,0,77.80541449999873,iowa_exp,240,,,48,-850,,75.76424079999924,"[76.34675209999841, 76.56427350000013, 76.88031359999877]",,1.4411672999995062,"['fMRI', 'EEG', 'MEG']",3,19
72,2,3,81.40709969999807,100,600,2,0,82.00705329999982,iowa_exp,240,,,48,-750,,80.2326678999998,"[80.87421129999711, 81.15696389999721]",,1.174431799998274,"['fMRI', 'EEG', 'MEG']",2,20
72,3,0,85.45033340000009,50,600,2,0,86.05027159999736,iowa_exp,240,,,48,-700,,84.44258889999765,"[84.89253009999811, 85.11874129999705]",,1.0077445000024454,"['fMRI', 'EEG', 'MEG']",2,21
