loss,exp_type,ID,frames_before_decks,t_moves,rt_select,total,t_select,onset_win,deck_select,win,condition,session,onset_decks,offset_decks,n_moves,dur_decks,dur_win,frames_after_decks,no,init_mark,offset_win,dur_measured_decks
-50,"['fMRI', 'EEG', 'MEG']",,48,"[1.6870670999996946, 1.9954609999986133, 2.2376033999989886]",1.4901919000003545,0,2.495915399998921,3.095700299998498,3,50,iowa_exp,4,1.0057234999985667,,3,600,240,72,1,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[5.855216799998743, 6.080522599999313]",0.7408653999991657,50,6.288753699998779,6.888836000000083,3,50,iowa_exp,4,5.547888299999613,,2,600,240,72,2,0,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[9.582741399999577, 9.873675899998489, 10.081927699999142, 10.382155999999668]",1.2585935999995854,50,10.574669399999038,11.182172199998604,3,50,iowa_exp,4,9.316075799999453,,4,600,240,72,3,2,,
-50,"['fMRI', 'EEG', 'MEG']",,48,[],0.4157394000012573,50,14.01676039999984,14.616812299998855,3,50,iowa_exp,4,13.601020999998582,,0,600,240,72,4,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[17.58491469999899, 17.827065599998605]",0.974793999999747,100,18.018805699999575,18.618356399998447,3,50,iowa_exp,4,17.044011699999828,,2,600,240,72,5,0,,
0,"['fMRI', 'EEG', 'MEG']",,48,[],0.42482180000115477,150,21.46225659999982,22.06975119999879,3,50,iowa_exp,4,21.037434799998664,,0,600,240,72,6,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,[],0.4074782999996387,200,24.91280999999981,25.51274199999898,3,50,iowa_exp,4,24.50533170000017,,0,600,240,72,7,2,,
-50,"['fMRI', 'EEG', 'MEG']",,48,[],0.3496156000001065,200,28.27293379999901,28.872395499998674,3,50,iowa_exp,4,27.923318199998903,,0,600,240,72,8,2,,
-50,"['fMRI', 'EEG', 'MEG']",,48,[],0.39076439999917056,200,31.707061899998735,32.30702869999914,3,50,iowa_exp,4,31.316297499999564,,0,600,240,72,9,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[35.27513480000016, 35.49269979999917, 35.708582199999]",1.1243837000001804,250,35.88371299999926,36.48369459999958,3,50,iowa_exp,4,34.75932929999908,,3,600,240,72,10,3,,
