frames_before_decks,init_mark,dur_win,deck_select,rt_select,frames_after_decks,n_moves,no,ID,win,dur_decks,onset_decks,offset_win,offset_decks,dur_measured_decks,loss,exp_type,t_moves,t_select,total,session,condition,onset_win
72,3,240,1,1.865166899995529,48,1,1,,100,600,0.9996156999986852,,,,-250,"['fMRI', 'EEG', 'MEG']",[2.4479543999914313],2.8647825999942143,-150,3,iowa_exp,3.264674999998533
72,3,240,1,0.7997399000014411,48,1,2,,100,600,6.083789699987392,,,,0,"['fMRI', 'EEG', 'MEG']",[6.450031099986518],6.883529599988833,-50,3,iowa_exp,7.282928799992078
72,3,240,1,0.7753755999874556,48,1,3,,100,600,9.935284899998805,,,,-250,"['fMRI', 'EEG', 'MEG']",[10.351117999991402],10.710660499986261,-200,3,iowa_exp,11.11773600000015
72,3,240,2,1.1998843000037596,48,2,4,,100,600,13.853417199992691,,,,0,"['fMRI', 'EEG', 'MEG']","[14.211235599999782, 14.794451599998865]",15.05330149999645,-100,3,iowa_exp,15.452779899991583
72,2,240,1,0.9575976000051014,48,2,5,,100,600,18.138502499990864,,,,0,"['fMRI', 'EEG', 'MEG']","[18.51257789999363, 18.820919099991443]",19.096100099995965,0,3,iowa_exp,19.496023699990474
72,3,240,1,0.5991394000011496,48,1,6,,100,600,22.22344279999379,,,,-250,"['fMRI', 'EEG', 'MEG']",[22.539298699994106],22.82258219999494,-150,3,iowa_exp,23.22247829999833
72,1,240,1,1.1246523000008892,48,3,7,,100,600,25.974843099989812,,,,-250,"['fMRI', 'EEG', 'MEG']","[26.307358699996257, 26.599042299989378, 26.84911129999091]",27.0994953999907,-300,3,iowa_exp,27.499140599989914
72,3,240,1,0.6168070999992779,48,1,8,,100,600,30.201446599996416,,,,0,"['fMRI', 'EEG', 'MEG']",[30.533899499991094],30.818253699995694,-200,3,iowa_exp,31.225606699998025
72,3,240,1,0.6091245999996318,48,1,9,,100,600,33.861312199995155,,,,0,"['fMRI', 'EEG', 'MEG']",[34.18537859999924],34.470436799994786,-100,3,iowa_exp,34.86870549999003
72,2,240,1,0.932586100010667,48,2,10,,100,600,37.55435919998854,,,,0,"['fMRI', 'EEG', 'MEG']","[37.828544999996666, 38.245165499989525]",38.486945299999206,0,3,iowa_exp,38.88691429999017
72,1,240,4,0.8575651999999536,48,2,11,,50,600,41.53928269998869,,,,0,"['fMRI', 'EEG', 'MEG']","[41.79769409999426, 42.10532659999444]",42.39684789998864,50,3,iowa_exp,42.79678039999271
72,1,240,4,1.2077422000002116,48,2,12,,50,600,45.43245659999957,,,,0,"['fMRI', 'EEG', 'MEG']","[46.106690799992066, 46.36539609999454]",46.64019879999978,100,3,iowa_exp,47.04008469999826
72,1,240,4,0.7574438999872655,48,2,13,,50,600,49.684103999999934,,,,0,"['fMRI', 'EEG', 'MEG']","[49.958063599988236, 50.18406619998859]",50.4415478999872,150,3,iowa_exp,50.84155989999999
72,1,240,3,0.7835187000018777,48,1,14,,50,600,53.49389619998692,,,,-50,"['fMRI', 'EEG', 'MEG']",[53.60994089998712],54.2774148999888,150,3,iowa_exp,54.68473899998935
72,0,240,4,1.0910909000085667,48,3,15,,50,600,57.345386299988604,,,,0,"['fMRI', 'EEG', 'MEG']","[57.60375579999527, 57.90290909999749, 58.19512149998627]",58.43647719999717,200,3,iowa_exp,58.836381999994046
72,2,240,1,0.8658091999968747,48,2,16,,100,600,61.47204799999599,,,,-250,"['fMRI', 'EEG', 'MEG']","[61.74607519998972, 62.021165499987546]",62.33785719999287,50,3,iowa_exp,62.737879999986035
72,2,240,4,1.4077680000045802,48,5,17,,50,600,65.4568803999864,,,,0,"['fMRI', 'EEG', 'MEG']","[65.35602689998632, 65.71428869999363, 66.08197729999665, 66.33114429999841, 66.58959709999908]",66.86464839999098,100,3,iowa_exp,67.26463389999117
72,0,240,4,1.06599709999864,48,3,18,,50,600,69.92541559999518,,,,0,"['fMRI', 'EEG', 'MEG']","[70.25929339999857, 70.51616419998754, 70.74119569998584]",70.99141269999382,150,3,iowa_exp,71.39125369999965
72,0,240,4,0.9742686999961734,48,3,19,,50,600,74.01029199999175,,,,0,"['fMRI', 'EEG', 'MEG']","[74.1941863999964, 74.43527319999703, 74.68445199998678]",74.98456069998792,200,3,iowa_exp,75.38446389998717
