loss,exp_type,ID,frames_before_decks,t_moves,rt_select,total,t_select,onset_win,deck_select,win,condition,session,onset_decks,offset_decks,n_moves,dur_decks,dur_win,frames_after_decks,no,init_mark,offset_win,dur_measured_decks
-250,"['fMRI', 'EEG', 'MEG']",,48,"[2.3738327999999456, 3.0661856999995507, 3.3741554000007454]",2.8825014000012743,-150,3.8822835000009945,4.482267200000933,1,100,iowa_exp,1,0.9997820999997202,,3,600,240,72,1,1,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[7.692594899999676, 8.025503500000923, 8.426484800000253]",2.5083135000004404,-50,9.417781000000105,10.017743500000506,2,100,iowa_exp,1,6.909467499999664,,3,600,240,72,2,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,[12.985896700000012],1.9746772999988025,0,14.411347499999465,15.011336499999743,3,50,iowa_exp,1,12.436670200000663,,1,600,240,72,3,1,,
0,"['fMRI', 'EEG', 'MEG']",,48,[17.92939330000081],1.482586000000083,50,18.904789100000926,19.504753700000947,4,50,iowa_exp,1,17.422203100000843,,1,600,240,72,4,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,[23.798419300001115],2.558195600000545,150,25.340606800000387,25.940653499999826,2,100,iowa_exp,1,22.782411199999842,,1,600,240,72,5,0,,
-250,"['fMRI', 'EEG', 'MEG']",,48,"[30.52592480000021, 30.8760457999997]",2.0915214999986347,0,31.535149999999703,32.13468079999984,1,100,iowa_exp,1,29.44362850000107,,2,600,240,72,6,2,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[35.90309320000051, 36.18733969999994, 36.51203030000033]",2.4000431000004028,0,37.23705669999981,37.83691480000016,3,50,iowa_exp,1,34.83701359999941,,3,600,240,72,7,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,[40.72164479999992],0.9331296000000293,50,41.18894739999996,41.78844039999967,4,50,iowa_exp,1,40.25581779999993,,1,600,240,72,8,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,[44.54810859999998],0.8493372000011732,150,45.05666750000091,45.65662669999983,2,100,iowa_exp,1,44.20733029999974,,1,600,240,72,9,0,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[48.783912700000656, 49.03321259999939]",1.366530999999668,250,49.425414100000125,50.02502199999981,2,100,iowa_exp,1,48.05888310000046,,2,600,240,72,10,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,[],0.5324490999992122,350,52.95964009999989,53.55969300000106,2,100,iowa_exp,1,52.427191000000676,,0,600,240,72,11,1,,
0,"['fMRI', 'EEG', 'MEG']",,48,[56.39452010000059],0.7492721999988134,450,56.73615679999966,57.33613499999956,2,100,iowa_exp,1,55.98688460000085,,1,600,240,72,12,0,,
-1250,"['fMRI', 'EEG', 'MEG']",,48,"[60.0540871000012, 60.345901599999706]",0.9918570999998337,-700,60.738575299999866,61.337662300000375,2,100,iowa_exp,1,59.74671820000003,,2,600,240,72,13,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,[64.43909650000023],1.0327847999997175,-600,64.92282370000066,65.52266140000029,2,100,iowa_exp,1,63.890038900000945,,1,600,240,72,14,0,,
-250,"['fMRI', 'EEG', 'MEG']",,48,"[68.89088819999961, 69.1409263000005]",1.5426838000003045,-800,69.47589650000009,70.08278590000009,4,50,iowa_exp,1,67.93321269999979,,2,600,240,72,15,1,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[73.87621930000023, 74.13462770000115]",2.033004599999913,-700,74.5597013000006,75.15977180000118,1,100,iowa_exp,1,72.52669670000068,,2,600,240,72,16,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[78.00298389999989, 78.32793320000019]",1.3578921999996965,-600,78.93649530000039,79.53646690000096,1,100,iowa_exp,1,77.57860310000069,,2,600,240,72,17,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[82.42950200000087, 82.67209720000028]",1.0827411000009306,-500,83.06313860000046,83.66310520000116,1,100,iowa_exp,1,81.98039749999953,,2,600,240,72,18,2,,
-250,"['fMRI', 'EEG', 'MEG']",,48,"[86.38107880000098, 86.63950959999966, 86.91463440000007, 87.28217770000083]",1.617045599999983,-650,87.6906899000005,88.29823539999961,1,100,iowa_exp,1,86.07364430000052,,4,600,240,72,19,0,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[91.28293819999999, 91.60799570000017, 91.8998845999995, 92.21662909999941, 92.49170849999973]",1.991326700001082,-600,92.73344350000116,93.33348040000055,3,50,iowa_exp,1,90.74211680000008,,5,600,240,72,20,1,,
0,"['fMRI', 'EEG', 'MEG']",,48,[],1.4420293999992282,-500,97.20274419999987,97.81024129999969,2,100,iowa_exp,1,95.76071480000064,,0,600,240,72,21,1,,
0,"['fMRI', 'EEG', 'MEG']",,48,[100.66230370000085],0.7325951999991958,-400,100.96174509999946,101.5617082000008,2,100,iowa_exp,1,100.22914990000027,,1,600,240,72,22,0,,
