loss,exp_type,ID,frames_before_decks,t_moves,rt_select,total,t_select,onset_win,deck_select,win,condition,session,onset_decks,offset_decks,n_moves,dur_decks,dur_win,frames_after_decks,no,init_mark,offset_win,dur_measured_decks
0,"['fMRI', 'EEG', 'MEG']",,48,[1.5015588000005664],0.8234247000000323,50,1.8270704000005935,2.426632400000017,3,50,iowa_exp,3,1.0036457000005612,,1,600,240,72,1,1,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[5.269672200000059, 5.486416199999439]",0.8491321000001335,50,5.728118600000016,6.328105900000082,3,50,iowa_exp,3,4.878986499999883,,2,600,240,72,2,0,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[9.021038200000476, 9.263308300000062, 9.455626499999198]",0.9177902000010363,50,9.673222100000203,10.2713406999992,3,50,iowa_exp,3,8.755431899999166,,3,600,240,72,3,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[13.015552299999399, 13.264737600000444, 13.44774789999974]",0.9500327999994624,100,13.656914799999868,14.256228099999134,3,50,iowa_exp,3,12.706882000000405,,3,600,240,72,4,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[17.1917842999992, 17.4160566999999, 17.624676100000215]",0.9159505000006902,150,17.816177400000015,18.41616889999932,3,50,iowa_exp,3,16.900226899999325,,3,600,240,72,5,3,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[21.318769399998928, 21.509325900000476]",0.8830582999999024,150,21.709816299999147,22.30935529999988,3,50,iowa_exp,3,20.826757999999245,,2,600,240,72,6,0,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[25.028549900000144, 25.244055600000138, 25.427484199999526]",0.8744864000000234,200,25.6110649000002,26.210908400000335,3,50,iowa_exp,3,24.736578500000178,,3,600,240,72,7,3,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[28.970474699999613, 29.195488899998963, 29.403957399999854, 29.62078929999916, 29.912554999998974, 30.15427020000061]",1.7579663999986224,200,30.387751799999023,30.98773749999964,3,50,iowa_exp,3,28.6297854000004,,6,600,240,72,8,0,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[33.922469099999944, 34.106690399999934, 34.29800729999988]",1.0841412000008859,200,34.490789600000426,35.089322699999684,3,50,iowa_exp,3,33.40664839999954,,3,600,240,72,9,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,[],0.48289719999957015,250,37.99948989999939,38.59902069999953,3,50,iowa_exp,3,37.51659269999982,,0,600,240,72,10,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[41.29195459999937, 41.484547300000486, 41.69223609999972]",0.882526899998993,300,41.883781599999566,42.483865700000024,3,50,iowa_exp,3,41.00125470000057,,3,600,240,72,11,3,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[45.202865100000054, 45.4866105000001]",0.8497298000002047,300,45.735849299999245,46.33535850000044,3,50,iowa_exp,3,44.88611949999904,,2,600,240,72,12,0,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[49.02837059999911, 49.270065499998964, 49.45347100000072, 49.75365319999946]",1.1909098999985872,350,49.97034349999922,50.57033349999983,3,50,iowa_exp,3,48.77943360000063,,4,600,240,72,13,2,,
0,"['fMRI', 'EEG', 'MEG']",,48,[53.36331269999937],0.6085051999998541,400,53.581125200000315,54.188435899999604,3,50,iowa_exp,3,52.97262000000046,,1,600,240,72,14,1,,
-50,"['fMRI', 'EEG', 'MEG']",,48,[56.98304800000005],0.6074245999989216,400,57.21478989999923,57.81480469999951,3,50,iowa_exp,3,56.60736530000031,,1,600,240,72,15,1,,
-50,"['fMRI', 'EEG', 'MEG']",,48,[60.61614159999954],0.582514199999423,400,60.857905499999106,61.457898399999976,3,50,iowa_exp,3,60.27539129999968,,1,600,240,72,16,1,,
0,"['fMRI', 'EEG', 'MEG']",,48,[64.17600370000036],0.5512821000011172,450,64.42813100000058,65.0343056999991,3,50,iowa_exp,3,63.87684889999946,,1,600,240,72,17,1,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[67.81894169999941, 68.01901829999952]",0.7494084999998449,450,68.23603559999901,68.83579719999943,3,50,iowa_exp,3,67.48662709999917,,2,600,240,72,18,0,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[71.67877029999909, 71.9289549999994]",0.8826532000002771,450,72.13732030000028,72.74568200000067,3,50,iowa_exp,3,71.2546671,,2,600,240,72,19,0,,
-50,"['fMRI', 'EEG', 'MEG']",,48,[75.43865709999955],0.5407957999996142,450,75.70531689999916,76.30533569999898,3,50,iowa_exp,3,75.16452109999955,,1,600,240,72,20,1,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[79.06508190000022, 79.31510829999934, 79.52344719999928]",0.9326505999997607,500,79.73194580000018,80.33193869999923,3,50,iowa_exp,3,78.79929520000042,,3,600,240,72,21,3,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[83.03331249999974, 83.29994219999935]",0.7409540000007837,500,83.49177210000016,84.09174119999989,3,50,iowa_exp,3,82.75081809999938,,2,600,240,72,22,0,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[86.7847597, 86.99309069999981, 87.19326530000035]",0.9004134999995586,500,87.40268529999958,88.00990169999932,3,50,iowa_exp,3,86.50227180000002,,3,600,240,72,23,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[90.74450079999951, 90.95340530000067, 91.14469499999905]",0.8909475000000384,550,91.3198214999993,91.9197867999992,3,50,iowa_exp,3,90.42887399999927,,3,600,240,72,24,3,,
-50,"['fMRI', 'EEG', 'MEG']",,48,"[94.8210364000006, 95.03800149999915, 95.2296540999996]",1.1002152000000933,550,95.43053709999913,96.03806729999997,3,50,iowa_exp,3,94.33032189999903,,3,600,240,72,25,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[98.75603050000063, 98.98106439999901, 99.18108269999902]",0.9158788999993703,600,99.37282409999898,99.97292430000016,3,50,iowa_exp,3,98.45694519999961,,3,600,240,72,26,3,,
0,"['fMRI', 'EEG', 'MEG']",,48,"[102.70749950000027, 102.8992961999993]",0.6758486999988236,650,103.0759980999992,103.67432270000063,3,50,iowa_exp,3,102.40014940000037,,2,600,240,72,27,0,,
0,"['fMRI', 'EEG', 'MEG']",,48,[],0.5916242999992392,700,106.68488369999977,107.29244329999892,3,50,iowa_exp,3,106.09325940000053,,0,600,240,72,28,2,,
