no,offset_win,total,dur_decks,session,win,onset_decks,deck_select,dur_win,t_moves,frames_before_decks,exp_type,condition,n_moves,rt_select,frames_after_decks,dur_measured_decks,loss,init_mark,ID,t_select,offset_decks,onset_win
1,,100,600,2,100,1.0038926000015636,1,240,"[1.4098008000000846, 2.044487899998785, 3.0185826000015368, 3.244584100000793]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,4,2.748565999998391,72,,0,0,,3.7524585999999545,,4.352292700001271
2,,200,600,2,100,6.796275000000605,2,240,"[7.320355700001528, 7.713126399998146, 8.162387500000477]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,2.0832002999995893,72,,0,2,,8.879475300000195,,9.479295799999818
3,,300,600,2,100,11.923200400000496,1,240,"[13.098095000001194, 13.756207700000232, 13.973183900001459]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,2.3165176000002248,72,,0,1,,14.239718000000721,,14.839717399998335
4,,400,600,2,100,17.258605999999418,2,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.5746770000005199,72,,0,1,,17.833282999999938,,18.432754900000873
5,,400,600,2,50,20.893397799998638,3,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,0.49916920000032405,72,,-50,2,,21.392566999998962,,21.99253559999852
6,,450,600,2,50,24.41970560000118,4,240,[24.72715579999931],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,1.1827309999971476,72,,0,2,,25.602436599998327,,26.20245430000068
7,,300,600,2,100,28.663042000000132,1,240,[29.070664300001226],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.7826838000000862,72,,-250,3,,29.44572580000022,,30.04564240000036
8,,400,600,2,100,32.556449200001225,2,240,"[33.18169850000049, 33.422213300000294, 33.6472380999985]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.432677099997818,72,,0,2,,33.98912629999904,,34.58908430000156
9,,200,600,2,50,37.03307919999861,4,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,1.4411054000011063,72,,-250,3,,38.47418459999972,,39.07417440000063
10,,250,600,2,50,41.57646609999938,3,240,"[42.28401350000058, 42.600685900000826]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,2,1.2576633999997284,72,,0,0,,42.83412949999911,,43.43420250000054
11,,350,600,2,100,45.84477930000139,2,240,[],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,0,1.3332913999984157,72,,0,1,,47.17807069999981,,47.777566699998715
12,,450,600,2,100,50.21310739999899,1,240,"[50.720641500000056, 51.26253279999946, 51.52114879999863]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,1.7912882000018726,72,,0,1,,52.00439560000086,,52.60446289999891
13,,500,600,2,50,55.090058800000406,3,240,[56.798794199999975],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,2.1081468999982462,72,,0,1,,57.19820569999865,,57.79814859999897
14,,600,600,2,100,60.283785999999964,2,240,[60.63277290000042],48,"['fMRI', 'EEG', 'MEG']",iowa_exp,1,0.8159234000013385,72,,0,0,,61.0997094000013,,61.69961889999831
15,,700,600,2,100,64.13525389999995,1,240,"[64.94389840000076, 65.46804709999924, 66.10986440000124, 66.29429289999825, 66.6184652999982]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,5,3.150205599999026,72,,0,3,,67.28545949999898,,67.88542239999879
16,,700,600,2,50,70.32928890000039,3,240,"[71.26192019999871, 72.18109370000093, 72.62912030000007]",48,"['fMRI', 'EEG', 'MEG']",iowa_exp,3,2.808330699997896,72,,-50,3,,73.13761959999829,,73.73769040000116
