onset_decks,condition,t_select,frames_before_decks,dur_win,ID,deck_select,total,t_moves,dur_decks,onset_win,win,exp_type,rt_select,dur_measured_decks,init_mark,frames_after_decks,no,offset_decks,n_moves,offset_win,loss,session
1.0036701999924844,iowa_exp,2.9853471999958856,48,240,,4,50,"[1.8850367999984883, 2.2696030999941286, 2.660290600004373]",600,3.5854110999935074,50,"['fMRI', 'EEG', 'MEG']",1.9816770000034012,,0,72,1,,3,,0,4
6.071043100004317,iowa_exp,6.953649300005054,48,240,,4,-150,[6.686829700003727],600,7.55366380000487,50,"['fMRI', 'EEG', 'MEG']",0.8826062000007369,,2,72,2,,1,,-250,4
10.055985099999816,iowa_exp,10.763486099996953,48,240,,4,-100,[],600,11.363499099999899,50,"['fMRI', 'EEG', 'MEG']",0.7075009999971371,,3,72,3,,0,,0,4
13.824098500001128,iowa_exp,15.07345749999513,48,240,,4,-50,"[14.423486700005014, 14.832304600000498]",600,15.673490000001038,50,"['fMRI', 'EEG', 'MEG']",1.2493589999940014,,1,72,4,,2,,0,4
18.134036000003107,iowa_exp,20.075490899995202,48,240,,4,0,"[18.633243799995398, 19.125104999999166, 19.617004999992787]",600,20.675442399995518,50,"['fMRI', 'EEG', 'MEG']",1.9414548999920953,,0,72,5,,3,,0,4
23.11107319999428,iowa_exp,25.1024105999968,48,240,,4,50,"[24.443824699992547, 24.84395549999317]",600,25.702404099996784,50,"['fMRI', 'EEG', 'MEG']",1.9913374000025215,,1,72,6,,2,,0,4
28.146279299995513,iowa_exp,29.020767299996805,48,240,,4,100,[28.670450199992047],600,29.620572899992112,50,"['fMRI', 'EEG', 'MEG']",0.8744880000012927,,2,72,7,,1,,0,4
32.06462209999154,iowa_exp,33.41390830000455,48,240,,4,150,"[32.38862599999993, 32.79709239999647, 33.148171099994215]",600,34.01395589999447,50,"['fMRI', 'EEG', 'MEG']",1.3492862000130117,,0,72,8,,3,,0,4
36.47452119999798,iowa_exp,37.14875829999801,48,240,,4,200,[],600,37.748739699993166,50,"['fMRI', 'EEG', 'MEG']",0.6742371000000276,,3,72,9,,0,,0,4
40.22611190000316,iowa_exp,41.09191560000181,48,240,,4,250,[40.79183020000346],600,41.69194989999232,50,"['fMRI', 'EEG', 'MEG']",0.8658036999986507,,2,72,10,,1,,0,4
44.17753339999763,iowa_exp,45.45198589999927,48,240,,4,50,"[44.6521206000034, 45.11859339999501]",600,46.05199110000103,50,"['fMRI', 'EEG', 'MEG']",1.2744525000016438,,1,72,11,,2,,-250,4
48.487561899994034,iowa_exp,49.1950582999998,48,240,,4,100,[],600,49.79512120000436,50,"['fMRI', 'EEG', 'MEG']",0.7074964000057662,,3,72,12,,0,,0,4
52.222369099996286,iowa_exp,53.02152599999681,48,240,,4,150,[52.70480439999665],600,53.62162320000061,50,"['fMRI', 'EEG', 'MEG']",0.7991569000005256,,2,72,13,,1,,0,4
56.065558000002056,iowa_exp,56.864831500002765,48,240,,4,200,[56.456742499998654],600,57.46479909999471,50,"['fMRI', 'EEG', 'MEG']",0.7992735000007087,,2,72,14,,1,,0,4
59.91708679999283,iowa_exp,60.741322000001674,48,240,,4,250,[60.349372500000754],600,61.34125660000427,50,"['fMRI', 'EEG', 'MEG']",0.8242352000088431,,2,72,15,,1,,0,4
63.82690109999385,iowa_exp,64.92631429999892,48,240,,4,300,"[64.20185670000501, 64.56791630000225]",600,65.52625159999297,50,"['fMRI', 'EEG', 'MEG']",1.099413200005074,,1,72,16,,2,,0,4
67.98679650000122,iowa_exp,69.54495539999334,48,240,,4,350,"[68.47012199999881, 68.84440239999094, 69.1861757000006]",600,70.14471439999761,50,"['fMRI', 'EEG', 'MEG']",1.5581588999921223,,0,72,17,,3,,0,4
72.65531709999777,iowa_exp,74.19745300000068,48,240,,4,400,"[73.02110509999329, 73.49638029999915, 73.92143600000418]",600,74.8048787000007,50,"['fMRI', 'EEG', 'MEG']",1.5421359000029042,,0,72,18,,3,,0,4
77.21544119999453,iowa_exp,79.41609299999254,48,240,,4,450,"[78.53223799999978, 78.90675979999651, 79.18175079999492]",600,80.02359070000239,50,"['fMRI', 'EEG', 'MEG']",2.2006517999980133,,0,72,19,,3,,0,4
