deck_select,dur_measured_decks,loss,rt_select,condition,total,frames_before_decks,onset_win,win,session,init_mark,offset_win,dur_decks,n_moves,t_moves,exp_type,dur_win,offset_decks,no,frames_after_decks,onset_decks,ID,t_select
4,,0,1.623377799998707,iowa_exp,50,72,3.0277437000004284,50,4,2,,600,1,[2.4194148000024143],"['fMRI', 'EEG', 'MEG']",240,,1,48,1.004512400002568,,2.627890200001275
2,,0,0.8242441000002145,iowa_exp,150,72,6.92925390000164,100,4,3,,600,2,"[6.0793158000014955, 6.346761400000105]","['fMRI', 'EEG', 'MEG']",240,,2,48,5.705088999999134,,6.529333099999349
1,,0,0.9083476000014343,iowa_exp,250,72,10.889128700000583,100,4,1,,600,3,"[9.863974800002325, 10.080688900001405, 10.26488160000008]","['fMRI', 'EEG', 'MEG']",240,,3,48,9.581576000000496,,10.48992360000193
4,,0,0.5990712000020721,iowa_exp,300,72,14.523884599999292,50,4,2,,600,1,[13.765721800002211],"['fMRI', 'EEG', 'MEG']",240,,4,48,13.524908999999752,,14.123980200001824
4,,0,1.6663095999974757,iowa_exp,350,72,19.250736599999072,50,4,2,,600,1,[18.451551800000743],"['fMRI', 'EEG', 'MEG']",240,,5,48,17.184534700001677,,18.850844299999153
1,,-250,0.5075824000014109,iowa_exp,200,72,22.802117900002486,100,4,0,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,6,48,21.894684700000653,,22.402267100002064
4,,0,0.7251047999998264,iowa_exp,250,72,26.63694160000159,50,4,1,,600,2,"[25.78680109999914, 26.011957800001255]","['fMRI', 'EEG', 'MEG']",240,,7,48,25.50448260000121,,26.229587400001037
1,,-250,1.675393299999996,iowa_exp,100,72,31.372143299999152,100,4,1,,600,3,"[29.654943300000014, 30.03012949999902, 30.56362490000174]","['fMRI', 'EEG', 'MEG']",240,,8,48,29.28928960000121,,30.964682900001208
4,,-250,0.5989612999983365,iowa_exp,-100,72,35.040234500000224,50,4,3,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,9,48,34.041368900001544,,34.64033019999988
1,,-250,0.8825999999971827,iowa_exp,-250,72,39.00843380000151,100,4,3,,600,1,[38.375116200000775],"['fMRI', 'EEG', 'MEG']",240,,10,48,37.72586330000195,,38.60846329999913
2,,-1250,0.8575721999986854,iowa_exp,-1400,72,42.94327859999976,100,4,3,,600,2,"[42.076600500000495, 42.33508310000252]","['fMRI', 'EEG', 'MEG']",240,,11,48,41.685854200000904,,42.54342639999959
3,,0,0.5157508999982383,iowa_exp,-1350,72,47.22831170000063,50,4,2,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,12,48,46.31260300000213,,46.828353900000366
4,,0,0.5991415999997116,iowa_exp,-1300,72,51.07150180000099,50,4,3,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,13,48,50.07240610000008,,50.67154769999979
1,,0,0.5992072999979428,iowa_exp,-1200,72,54.80627749999985,100,4,0,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,14,48,53.80720460000157,,54.40641189999951
2,,0,0.6992484999973385,iowa_exp,-1100,72,58.59109250000256,100,4,0,,600,1,[57.95881450000161],"['fMRI', 'EEG', 'MEG']",240,,15,48,57.49193170000217,,58.19118019999951
4,,0,0.8158905999989656,iowa_exp,-1050,72,62.525991700000304,50,4,1,,600,2,"[61.717546500000026, 61.93426980000004]","['fMRI', 'EEG', 'MEG']",240,,16,48,61.3100529000003,,62.125943499999266
1,,-250,0.8826482999975269,iowa_exp,-1200,72,66.54414779999934,100,4,2,,600,2,"[65.63574840000001, 65.9025232999993]","['fMRI', 'EEG', 'MEG']",240,,17,48,65.26162400000248,,66.14427230000001
2,,0,0.8324165999983961,iowa_exp,-1100,72,70.68749279999975,100,4,1,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,18,48,69.45513700000083,,70.28755359999923
4,,0,0.9915499999988242,iowa_exp,-1050,72,74.83072040000116,50,4,1,,600,2,"[73.83060169999953, 74.18901820000247]","['fMRI', 'EEG', 'MEG']",240,,19,48,73.4398082000007,,74.43135819999952
4,,0,1.4328256000007968,iowa_exp,-1000,72,79.39083070000197,50,4,0,,600,3,"[78.01562670000203, 78.26564209999924, 78.77453539999988]","['fMRI', 'EEG', 'MEG']",240,,20,48,77.55815470000016,,78.99098030000096
1,,0,0.6496480999994674,iowa_exp,-900,72,83.14233190000232,100,4,3,,600,1,[82.46727029999965],"['fMRI', 'EEG', 'MEG']",240,,21,48,82.09322990000146,,82.74287800000093
1,,-250,0.7007279999997991,iowa_exp,-1050,72,86.91047560000152,100,4,3,,600,1,[86.2696008999992],"['fMRI', 'EEG', 'MEG']",240,,22,48,85.81136750000223,,86.51209550000203
2,,0,0.6575120999987121,iowa_exp,-950,72,90.82032199999958,100,4,0,,600,1,[90.19546560000163],"['fMRI', 'EEG', 'MEG']",240,,23,48,89.7628063000011,,90.42031839999981
4,,-250,0.7158980999993219,iowa_exp,-1150,72,94.58845680000013,50,4,1,,600,2,"[93.72171650000018, 93.97178609999901]","['fMRI', 'EEG', 'MEG']",240,,24,48,93.47266049999962,,94.18855859999894
1,,-250,1.0672249000017473,iowa_exp,-1300,72,98.94847510000182,100,4,2,,600,2,"[97.93159070000183, 98.1659765000004]","['fMRI', 'EEG', 'MEG']",240,,25,48,97.47428299999956,,98.5415079000013
2,,0,0.8664169000003312,iowa_exp,-1200,72,103.20847589999903,100,4,3,,600,2,"[102.30835529999968, 102.55851750000147]","['fMRI', 'EEG', 'MEG']",240,,26,48,101.9425908000012,,102.80900770000153
1,,0,0.6075724000002083,iowa_exp,-1100,72,107.06832900000154,100,4,3,,600,1,[106.41832050000085],"['fMRI', 'EEG', 'MEG']",240,,27,48,106.06090290000066,,106.66847530000086
3,,-50,0.7667739999997139,iowa_exp,-1100,72,111.11990940000032,50,4,0,,600,2,"[110.26973930000167, 110.51993810000204]","['fMRI', 'EEG', 'MEG']",240,,28,48,109.94577290000234,,110.71254690000205
4,,0,0.7579903999976523,iowa_exp,-1050,72,115.07143150000047,50,4,1,,600,2,"[114.24674610000147, 114.47974590000013]","['fMRI', 'EEG', 'MEG']",240,,29,48,113.91394430000219,,114.67193469999984
2,,0,1.191447799999878,iowa_exp,-950,72,119.45647110000209,100,4,2,,600,3,"[118.34799420000127, 118.61474699999962, 118.84817499999917]","['fMRI', 'EEG', 'MEG']",240,,30,48,117.86544720000165,,119.05689500000153
4,,0,1.20765240000037,iowa_exp,-900,72,123.70813460000136,50,4,0,,600,3,"[122.60796610000034, 122.8831124999997, 123.09974069999953]","['fMRI', 'EEG', 'MEG']",240,,31,48,122.10049920000165,,123.30815160000202
2,,-1250,1.2410588000020653,iowa_exp,-2050,72,127.98480879999988,100,4,2,,600,3,"[126.70125539999935, 126.97629959999904, 127.29306089999955]","['fMRI', 'EEG', 'MEG']",240,,32,48,126.34381779999967,,127.58487660000173
4,,0,1.1161027000016475,iowa_exp,-2000,72,132.9867587000008,50,4,0,,600,3,"[131.72832530000233, 131.9448721000008, 132.32895669999925]","['fMRI', 'EEG', 'MEG']",240,,33,48,131.47076150000066,,132.5868642000023
2,,0,0.8585363999991387,iowa_exp,-1900,72,137.01332209999964,100,4,3,,600,2,"[136.11321560000215, 136.34663290000026]","['fMRI', 'EEG', 'MEG']",240,,34,48,135.74740460000248,,136.60594100000162
2,,0,1.6830550000013318,iowa_exp,-1800,72,141.89855570000145,100,4,0,,600,5,"[140.16496209999968, 140.39920419999908, 140.78173030000107, 141.00683180000124, 141.2660407000003]","['fMRI', 'EEG', 'MEG']",240,,35,48,139.81567189999987,,141.4987269000012
1,,0,0.5740942999982508,iowa_exp,-1700,72,145.79171979999956,100,4,0,,600,0,[],"['fMRI', 'EEG', 'MEG']",240,,36,48,144.8177695000013,,145.39186379999956
4,,0,1.9247374999977183,iowa_exp,-1650,72,150.91879840000183,50,4,3,,600,4,"[148.8348119000002, 149.07664730000033, 149.31000250000216, 150.29377150000073]","['fMRI', 'EEG', 'MEG']",240,,37,48,148.59413730000233,,150.51887480000005
