offset_win,win,ID,exp_type,loss,offset_decks,init_mark,no,n_moves,deck_select,condition,frames_before_decks,rt_select,dur_win,dur_measured_decks,session,t_select,onset_win,dur_decks,frames_after_decks,total,t_moves,onset_decks
,100,,"['fMRI', 'EEG', 'MEG']",0,,1,1,0,2,iowa_exp,72,0.6124841000018932,240,,3,1.6150689000023704,2.016133799999807,600,48,100,[],1.0025848000004771
,100,,"['fMRI', 'EEG', 'MEG']",0,,2,2,3,2,iowa_exp,72,1.3411176000008709,240,,3,6.1251720000000205,6.52512249999927,600,48,200,"[5.291600500000641, 5.508278000001155, 5.759297000000515]",4.78405439999915
,100,,"['fMRI', 'EEG', 'MEG']",-1250,,3,3,2,2,iowa_exp,72,1.4912643999996362,240,,3,10.62697069999922,11.026866300002439,600,48,-950,"[9.868295500000386, 10.377288800002134]",9.135706299999583
,100,,"['fMRI', 'EEG', 'MEG']",0,,2,4,3,2,iowa_exp,72,1.1410915000014938,240,,3,14.96194530000139,15.361877999999706,600,48,-850,"[14.270862800000032, 14.511643199999526, 14.736895199999708]",13.820853799999895
,100,,"['fMRI', 'EEG', 'MEG']",0,,0,5,1,2,iowa_exp,72,0.6491859999987355,240,,3,18.64672000000064,19.046653199999128,600,48,-750,[18.413272900001175],17.997534000001906
,100,,"['fMRI', 'EEG', 'MEG']",0,,2,6,3,2,iowa_exp,72,1.3077903000012157,240,,3,22.98175690000062,23.38165940000181,600,48,-650,"[22.123139999999694, 22.339848400002666, 22.7565777000018]",21.673966599999403
,100,,"['fMRI', 'EEG', 'MEG']",0,,2,7,3,2,iowa_exp,72,1.1410843999983626,240,,3,27.16669550000006,27.56661990000066,600,48,-550,"[26.52482510000118, 26.74174309999944, 26.949973599999794]",26.025611100001697
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,8,0,4,iowa_exp,72,0.8241496000009647,240,,3,31.00981700000193,31.409797000000253,600,48,-500,[],30.185667400000966
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,9,1,4,iowa_exp,72,0.7826060999977926,240,,3,34.80302389999997,35.20292530000006,600,48,-450,[34.57791630000065],34.02041780000218
,50,,"['fMRI', 'EEG', 'MEG']",-250,,1,10,2,4,iowa_exp,72,0.8492361999997229,240,,3,38.65450039999996,39.05441640000208,600,48,-650,"[38.20438810000269, 38.44609870000204]",37.80526420000024
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,11,1,4,iowa_exp,72,0.8826330999982019,240,,3,42.58939789999931,42.989297899999656,600,48,-600,[42.30587500000183],41.70676480000111
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,12,1,4,iowa_exp,72,0.6407606999964628,240,,3,46.24902379999912,46.64901850000024,600,48,-550,[46.02398340000218],45.60826310000266
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,13,1,4,iowa_exp,72,0.6846597000003385,240,,3,49.95275220000258,50.35047080000004,600,48,-500,[49.70879330000025],49.26809250000224
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,14,3,4,iowa_exp,72,1.3327606999991986,240,,3,54.29397919999974,54.69382620000033,600,48,-450,"[53.44356669999979, 53.82800499999939, 54.05216040000232]",52.96121850000054
,50,,"['fMRI', 'EEG', 'MEG']",0,,3,15,0,4,iowa_exp,72,0.5408336000000418,240,,3,57.87035409999953,58.27024739999979,600,48,-400,[],57.32952049999949
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,16,1,4,iowa_exp,72,0.5908632999999099,240,,3,61.49676779999936,61.896632600000885,600,48,-350,[61.2883619000022],60.90590449999945
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,17,2,4,iowa_exp,72,0.8421207999999751,240,,3,65.36609400000088,65.77314870000191,600,48,-300,"[64.95643380000183, 65.16475170000194]",64.52397320000091
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,18,2,4,iowa_exp,72,0.840828500000498,240,,3,69.22464880000189,69.62464639999962,600,48,-250,"[68.79115880000245, 69.00802100000146]",68.38382030000139
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,19,3,4,iowa_exp,72,1.174821199998405,240,,3,73.4185264000007,73.81795179999972,600,48,-200,"[72.66782180000155, 72.95205110000097, 73.2017952999995]",72.2437052000023
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,20,2,4,iowa_exp,72,0.8326291000012134,240,,3,77.26948180000181,77.66948010000124,600,48,-150,"[76.82853260000047, 77.06946610000159]",76.4368527000006
,50,,"['fMRI', 'EEG', 'MEG']",0,,0,21,3,4,iowa_exp,72,1.0410493000017595,240,,3,81.36281190000227,81.76269890000185,600,48,-100,"[80.66266259999975, 80.90422419999959, 81.13767220000227]",80.32176260000051
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,22,2,4,iowa_exp,72,0.9492623000005551,240,,3,85.35595560000002,85.75586119999934,600,48,-50,"[84.9391938000008, 85.15589779999937]",84.40669329999946
