no,offset_win,dur_decks,onset_decks,deck_select,total,dur_measured_decks,exp_type,rt_select,frames_after_decks,dur_win,session,init_mark,condition,frames_before_decks,t_moves,ID,offset_decks,n_moves,t_select,win,loss,onset_win
1,,600,1.0032552000047872,1,100,,"['fMRI', 'EEG', 'MEG']",3.8324602999928175,48,240,4,1,iowa_exp,72,"[3.3517494999978226, 3.8117926999984775, 4.510647400005837]",,,3,4.835715499997605,100,0,5.235667600005399
2,,600,7.93816340000194,2,200,,"['fMRI', 'EEG', 'MEG']",0.757326799997827,48,240,4,0,iowa_exp,72,[8.370292599996901],,,1,8.695490199999767,100,0,9.095447300001979
3,,600,11.747827300001518,3,200,,"['fMRI', 'EEG', 'MEG']",0.616950600000564,48,240,4,1,iowa_exp,72,[12.088573899993207],,,1,12.364777900002082,50,-50,12.771937400000752
4,,600,15.415896599995904,4,250,,"['fMRI', 'EEG', 'MEG']",0.67421870000544,48,240,4,3,iowa_exp,72,[],,,0,16.090115300001344,50,0,16.490030800006934
5,,600,19.167331599994213,4,300,,"['fMRI', 'EEG', 'MEG']",1.1076866000075825,48,240,4,1,iowa_exp,72,"[19.608313300006557, 19.974904100003187]",,,2,20.275018200001796,50,0,20.6750422000041
6,,600,23.385687400004826,4,350,,"['fMRI', 'EEG', 'MEG']",0.5825221999984933,48,240,4,3,iowa_exp,72,[],,,0,23.96820960000332,50,0,24.368109200004255
7,,600,27.00371940000332,4,400,,"['fMRI', 'EEG', 'MEG']",1.0159791999903973,48,240,4,2,iowa_exp,72,[27.652994999996736],,,1,28.019698599993717,50,0,28.4196757000027
8,,600,31.047002899998915,4,200,,"['fMRI', 'EEG', 'MEG']",0.7576594999991357,48,240,4,2,iowa_exp,72,[31.496180100002675],,,1,31.80466239999805,50,-250,32.20451250000042
9,,600,34.86515719999443,4,250,,"['fMRI', 'EEG', 'MEG']",1.6828669000096852,48,240,4,0,iowa_exp,72,"[35.223455700004706, 35.66460429999279, 36.174681699994835]",,,3,36.54802410000411,50,0,36.9479910999944
10,,600,39.58361669999431,4,300,,"['fMRI', 'EEG', 'MEG']",1.124406300004921,48,240,4,1,iowa_exp,72,"[39.93273089999275, 40.38290120000602]",,,2,40.70802299999923,50,0,41.10798790000263
11,,600,43.75205409999762,4,350,,"['fMRI', 'EEG', 'MEG']",2.007929500003229,48,240,4,0,iowa_exp,72,"[44.617981000003056, 45.034695499998634, 45.40158279999741]",,,3,45.75998360000085,50,0,46.159966799998074
12,,600,48.77902780000295,4,400,,"['fMRI', 'EEG', 'MEG']",1.5744698999915272,48,240,4,0,iowa_exp,72,"[49.319894000000204, 49.74493519999669, 50.10345920000691]",,,3,50.35349769999448,50,0,50.753391499994905
13,,600,53.39755029999651,4,200,,"['fMRI', 'EEG', 'MEG']",0.9074503000010736,48,240,4,2,iowa_exp,72,[53.746443299998646],,,1,54.305000599997584,50,-250,54.70494969999709
14,,600,57.41555439999502,3,250,,"['fMRI', 'EEG', 'MEG']",-0.8777919999993173,48,240,4,2,iowa_exp,72,[],,,0,56.5377623999957,50,0,57.82288000000699
15,,600,60.46678350000002,1,100,,"['fMRI', 'EEG', 'MEG']",4.250652300004731,48,240,4,1,iowa_exp,72,"[63.500296199999866, 63.89253670000471, 64.35063939999964]",,,3,64.71743580000475,100,-250,65.1173201000056
16,,600,67.84464599999774,2,200,,"['fMRI', 'EEG', 'MEG']",2.3498650999972597,48,240,4,3,iowa_exp,72,"[69.17756339999323, 69.9195241999987]",,,2,70.194511099995,100,0,70.59444159999839
17,,600,73.23010519999661,4,250,,"['fMRI', 'EEG', 'MEG']",0.782657100004144,48,240,4,2,iowa_exp,72,[73.53756929999508],,,1,74.01276230000076,50,0,74.41261189999932
18,,600,77.03155850000621,4,300,,"['fMRI', 'EEG', 'MEG']",1.9669998999888776,48,240,4,0,iowa_exp,72,"[77.56403639999917, 78.08085319999373, 78.48937510000542]",,,3,78.99855839999509,50,0,79.39791250000417
19,,600,82.05023110000184,4,350,,"['fMRI', 'EEG', 'MEG']",0.6742159999994328,48,240,4,3,iowa_exp,72,[],,,0,82.72444710000127,50,0,83.12435579999874
