frames_after_decks,deck_select,init_mark,t_select,win,dur_decks,session,loss,onset_win,condition,dur_win,dur_measured_decks,offset_win,frames_before_decks,total,offset_decks,onset_decks,t_moves,ID,rt_select,exp_type,n_moves,no
48,2,2,2.58202010000241,100,600,3,0,2.9888632000001962,iowa_exp,240,,,72,100,,0.9990085999997973,"[1.4802077999993344, 2.0221568000015395, 2.288732600001822]",,1.5830115000026126,"['fMRI', 'EEG', 'MEG']",3,1
48,2,1,6.273723700000119,100,600,3,0,6.673605800002406,iowa_exp,240,,,72,200,,5.674485999999888,[],,0.5992377000002307,"['fMRI', 'EEG', 'MEG']",0,2
48,2,2,10.55035300000236,100,600,3,0,10.950273900001775,iowa_exp,240,,,72,300,,9.33424290000039,"[9.866682100000617, 10.083574200001749, 10.30855370000063]",,1.2161101000019698,"['fMRI', 'EEG', 'MEG']",3,3
48,2,0,14.29349960000036,100,600,3,0,14.693397600000026,iowa_exp,240,,,72,400,,13.577572400001372,[14.060102900002676],,0.7159271999989869,"['fMRI', 'EEG', 'MEG']",1,4
48,2,2,18.512014300002193,100,600,3,0,18.91170780000175,iowa_exp,240,,,72,500,,17.320693699999538,"[17.79491810000036, 18.004187900001853, 18.245037000000593]",,1.1913206000026548,"['fMRI', 'EEG', 'MEG']",3,5
48,4,1,22.505028999999922,50,600,3,0,22.904885700001614,iowa_exp,240,,,72,550,,21.555692300000374,"[22.029754200000752, 22.246621700000105]",,0.9493366999995487,"['fMRI', 'EEG', 'MEG']",2,6
48,4,3,26.081374500001402,50,600,3,0,26.48129289999997,iowa_exp,240,,,72,600,,25.507179800002632,[],,0.5741946999987704,"['fMRI', 'EEG', 'MEG']",0,7
48,4,2,29.941224500002136,50,600,3,-250,30.341161600001215,iowa_exp,240,,,72,400,,29.100287500001286,[29.682743199999095],,0.8409370000008494,"['fMRI', 'EEG', 'MEG']",1,8
48,4,2,33.692725200002315,50,600,3,0,34.0926115000002,iowa_exp,240,,,72,450,,32.9768307000013,[33.475939500000095],,0.7158945000010135,"['fMRI', 'EEG', 'MEG']",1,9
48,4,2,37.39413810000042,50,600,3,0,37.794038300002285,iowa_exp,240,,,72,500,,36.69487930000105,[37.15242280000166],,0.6992587999993702,"['fMRI', 'EEG', 'MEG']",1,10
48,2,3,41.52908050000042,100,600,3,0,41.92899269999907,iowa_exp,240,,,72,600,,40.404728699999396,"[40.678761700000905, 41.25399540000217]",,1.1243518000010226,"['fMRI', 'EEG', 'MEG']",2,11
48,2,2,45.86450859999968,100,600,3,0,46.26398130000234,iowa_exp,240,,,72,700,,44.53960880000159,"[45.03039329999956, 45.24716780000017, 45.56398220000119]",,1.324899799998093,"['fMRI', 'EEG', 'MEG']",3,12
48,2,0,49.507861400001275,100,600,3,0,49.90710559999934,iowa_exp,240,,,72,800,,48.90798890000224,[49.28213300000061],,0.5998724999990372,"['fMRI', 'EEG', 'MEG']",1,13
48,2,0,53.2100883000021,100,600,3,-1250,53.6085172000021,iowa_exp,240,,,72,-350,,52.542731400000775,[52.9260248999999],,0.6673569000013231,"['fMRI', 'EEG', 'MEG']",1,14
48,4,3,59.602791699999216,50,600,3,0,60.0026672999993,iowa_exp,240,,,72,-300,,56.41931560000012,[],,3.1834760999990976,"['fMRI', 'EEG', 'MEG']",0,15
48,4,2,63.404277400000865,50,600,3,0,63.80414659999951,iowa_exp,240,,,72,-250,,62.67165920000116,[63.16252170000007],,0.7326181999997061,"['fMRI', 'EEG', 'MEG']",1,16
48,4,0,67.73097010000129,50,600,3,0,68.1308749000018,iowa_exp,240,,,72,-200,,66.43978250000146,"[66.88997730000119, 67.09737759999916, 67.50699810000151]",,1.2911875999998301,"['fMRI', 'EEG', 'MEG']",3,17
48,4,3,72.0326066000016,50,600,3,0,72.43252969999958,iowa_exp,240,,,72,-150,,70.75819459999911,"[71.05719250000038, 71.36562160000176, 71.55743300000177, 71.74083380000229]",,1.274412000002485,"['fMRI', 'EEG', 'MEG']",4,18
48,4,3,75.61734409999917,50,600,3,0,76.01724939999986,iowa_exp,240,,,72,-100,,75.05980339999951,[],,0.557540699999663,"['fMRI', 'EEG', 'MEG']",0,19
48,4,3,79.04374930000267,50,600,3,0,79.44356200000038,iowa_exp,240,,,72,-50,,78.65295200000037,[],,0.39079730000230484,"['fMRI', 'EEG', 'MEG']",0,20
48,4,2,82.88703650000025,50,600,3,0,83.28669880000234,iowa_exp,240,,,72,0,,82.0708666999999,[82.67004799999995],,0.8161698000003526,"['fMRI', 'EEG', 'MEG']",1,21
48,4,3,87.6636725999997,50,600,3,0,88.0635758999997,iowa_exp,240,,,72,50,,85.89744970000174,"[86.53822550000041, 86.83086710000134, 87.21353950000048, 87.43859660000089]",,1.7662228999979561,"['fMRI', 'EEG', 'MEG']",4,22
48,4,0,92.6989147000022,50,600,3,0,93.09884260000035,iowa_exp,240,,,72,100,,90.67428199999995,"[91.36518269999942, 92.25712570000178, 92.47435450000194]",,2.0246327000022575,"['fMRI', 'EEG', 'MEG']",3,23
48,4,2,96.65043050000168,50,600,3,-250,97.05038390000118,iowa_exp,240,,,72,-100,,95.70962100000179,[96.40065510000204],,0.9408094999998866,"['fMRI', 'EEG', 'MEG']",1,24
48,4,0,100.93541230000119,50,600,3,0,101.33541320000222,iowa_exp,240,,,72,-50,,99.66939420000199,"[100.07042920000094, 100.46109810000053, 100.71035699999993]",,1.2660180999992008,"['fMRI', 'EEG', 'MEG']",3,25
48,4,1,104.98691600000166,50,600,3,0,105.38698870000007,iowa_exp,240,,,72,0,,103.95437750000201,"[104.24514629999976, 104.7786429000007]",,1.0325384999996459,"['fMRI', 'EEG', 'MEG']",2,26
48,4,3,108.65513270000156,50,600,3,0,109.05506480000258,iowa_exp,240,,,72,50,,108.00596660000156,[],,0.6491661000000022,"['fMRI', 'EEG', 'MEG']",0,27
48,4,3,112.2398944000015,50,600,3,0,112.63981720000083,iowa_exp,240,,,72,100,,111.69072840000081,[],,0.5491660000006959,"['fMRI', 'EEG', 'MEG']",0,28
48,4,0,116.64156400000138,50,600,3,0,117.04155850000097,iowa_exp,240,,,72,150,,115.27550809999957,"[115.79966770000101, 116.17477650000001, 116.39144320000196]",,1.366055900001811,"['fMRI', 'EEG', 'MEG']",3,29
48,4,3,120.31807570000092,50,600,3,0,120.71792780000033,iowa_exp,240,,,72,200,,119.66050440000254,[],,0.6575712999983807,"['fMRI', 'EEG', 'MEG']",0,30
48,4,2,123.97782290000032,50,600,3,0,124.3776973999993,iowa_exp,240,,,72,250,,123.32855689999997,[123.75381059999927],,0.6492660000003525,"['fMRI', 'EEG', 'MEG']",1,31
48,4,3,127.5379283000002,50,600,3,0,127.93744119999974,iowa_exp,240,,,72,300,,127.03004839999994,[],,0.5078799000002618,"['fMRI', 'EEG', 'MEG']",0,32
48,4,0,131.66415440000128,50,600,3,0,132.0640413000001,iowa_exp,240,,,72,350,,130.54808140000023,"[130.98135660000116, 131.1972808999999, 131.38900130000184]",,1.1160730000010517,"['fMRI', 'EEG', 'MEG']",3,33
48,4,3,135.37391330000173,50,600,3,-250,135.77379030000156,iowa_exp,240,,,72,150,,134.74965300000258,[],,0.6242602999991504,"['fMRI', 'EEG', 'MEG']",0,34
48,4,0,139.52552320000177,50,600,3,0,139.92544400000043,iowa_exp,240,,,72,200,,138.40115929999956,"[138.88357680000263, 139.10029629999917, 139.3088052000021]",,1.1243639000022085,"['fMRI', 'EEG', 'MEG']",3,35
48,4,0,143.89383310000267,50,600,3,0,144.29379370000242,iowa_exp,240,,,72,250,,142.56100159999914,"[142.96020169999974, 143.39370849999978, 143.6187654000023]",,1.3328315000035218,"['fMRI', 'EEG', 'MEG']",3,36
