frames_before_decks,init_mark,dur_win,deck_select,rt_select,frames_after_decks,n_moves,no,ID,win,dur_decks,onset_decks,offset_win,offset_decks,dur_measured_decks,loss,exp_type,t_moves,t_select,total,session,condition,onset_win
48,3,240,4,1.8152129000081914,72,4,1,,50,600,1.0046752999915043,,,,0,"['fMRI', 'EEG', 'MEG']","[1.628611699998146, 1.910991999990074, 2.2203762999997707, 2.528075299996999]",2.8198881999996956,50,4,iowa_exp,3.41980409999087
48,3,240,4,1.3328694000083487,72,4,2,,50,600,5.955350299991551,,,,-250,"['fMRI', 'EEG', 'MEG']","[6.20440219999, 6.587851199990837, 6.812885899998946, 7.0131200999894645]",7.2882196999999,-150,4,iowa_exp,7.888148599988199
48,0,240,1,1.3582000000023982,72,4,3,,100,600,10.415366799992626,,,,0,"['fMRI', 'EEG', 'MEG']","[10.75745979999192, 11.089640799997142, 11.298129599992535, 11.540313999998034]",11.773566799995024,-50,4,iowa_exp,12.373211399986758
48,0,240,1,1.4244689000042854,72,4,4,,100,600,14.825496199991903,,,,-250,"['fMRI', 'EEG', 'MEG']","[15.157914999988861, 15.50803789999918, 15.749795999989146, 15.975406300000031]",16.24996509999619,-200,4,iowa_exp,16.849996199991438
48,0,240,1,1.541224400003557,72,4,5,,100,600,19.41058769999654,,,,0,"['fMRI', 'EEG', 'MEG']","[19.70153969999228, 20.027456999989226, 20.276452599995537, 20.618966899986845]",20.951812100000097,-100,4,iowa_exp,21.551771799990092
48,3,240,4,0.7325007000035839,72,0,6,,50,600,24.02076529999613,,,,0,"['fMRI', 'EEG', 'MEG']",[],24.753265999999712,-50,4,iowa_exp,25.35327409999445
48,3,240,4,0.6575365999888163,72,0,7,,50,600,27.78053109999746,,,,0,"['fMRI', 'EEG', 'MEG']",[],28.438067699986277,0,4,iowa_exp,29.03805759998795
48,3,240,4,0.5242263999971328,72,0,8,,50,600,31.45691049999732,,,,0,"['fMRI', 'EEG', 'MEG']",[],31.981136899994453,50,4,iowa_exp,32.58112469999469
48,2,240,3,0.741579500012449,72,0,9,,50,600,34.99997139998595,,,,-50,"['fMRI', 'EEG', 'MEG']",[],35.7415508999984,50,4,iowa_exp,36.340932899998734
48,1,240,3,0.7409875000012107,72,1,10,,50,600,38.92648869998811,,,,0,"['fMRI', 'EEG', 'MEG']",[39.39232379999885],39.66747619998932,100,4,iowa_exp,40.267388999986
48,1,240,4,1.0326104999985546,72,2,11,,50,600,42.72800809999171,,,,0,"['fMRI', 'EEG', 'MEG']","[43.27708159999747, 43.52775159999146]",43.760618599990266,150,4,iowa_exp,44.360690499990596
48,1,240,4,1.0073741999949561,72,2,12,,50,600,46.804950299992925,,,,-250,"['fMRI', 'EEG', 'MEG']","[47.078636199992616, 47.35391869999876]",47.81232449998788,-50,4,iowa_exp,48.412261699995724
48,0,240,4,1.0827335999929346,72,3,13,,50,600,50.88950449999538,,,,0,"['fMRI', 'EEG', 'MEG']","[51.13859809999121, 51.41401039999619, 51.69799129999592]",51.97223809998832,0,4,iowa_exp,52.572210499987705
48,1,240,4,0.8742312999966089,72,2,14,,50,600,55.05782879999606,,,,0,"['fMRI', 'EEG', 'MEG']","[55.39856419998978, 55.66529749998881]",55.93206009999267,50,4,iowa_exp,56.532105799997225
48,1,240,3,0.6325102999981027,72,1,15,,50,600,58.95096449999255,,,,0,"['fMRI', 'EEG', 'MEG']",[59.28347159999248],59.583474799990654,100,4,iowa_exp,60.18351319999783
48,3,240,4,1.4078265999996802,72,4,16,,50,600,62.635804599995026,,,,0,"['fMRI', 'EEG', 'MEG']","[62.868148499997915, 63.31865899999684, 63.54392299999017, 63.751773299998604]",64.0436311999947,150,4,iowa_exp,64.64359239999612
48,0,240,3,0.874130399999558,72,2,17,,50,600,67.10430829999677,,,,-50,"['fMRI', 'EEG', 'MEG']","[67.46247509999375, 67.69559649999428]",67.97843869999633,150,4,iowa_exp,68.57848919999378
48,3,240,4,0.5240793999982998,72,0,18,,50,600,71.08080539999355,,,,0,"['fMRI', 'EEG', 'MEG']",[],71.60488479999185,200,4,iowa_exp,72.20486279999022
48,1,240,4,0.8911628999921959,72,2,19,,50,600,74.63210339999932,,,,0,"['fMRI', 'EEG', 'MEG']","[75.0229665999941, 75.28969419999339]",75.52326629999152,250,4,iowa_exp,76.12306439998792
48,2,240,4,0.8159462000039639,72,1,20,,50,600,78.58360809998703,,,,0,"['fMRI', 'EEG', 'MEG']",[78.84104479999223],79.399554299991,300,4,iowa_exp,79.9995779999881
48,2,240,4,0.857604300006642,72,1,21,,50,600,82.43514229998982,,,,-250,"['fMRI', 'EEG', 'MEG']",[83.02597329999844],83.29274659999646,100,4,iowa_exp,83.89273889998731
48,1,240,3,0.6348276000062469,72,1,22,,50,600,86.38673499999277,,,,0,"['fMRI', 'EEG', 'MEG']",[86.75298469999689],87.02156259999902,150,4,iowa_exp,87.6275314999948
48,3,240,4,0.41586670000106096,72,0,23,,50,600,90.1214622999978,,,,0,"['fMRI', 'EEG', 'MEG']",[],90.53732899999886,200,4,iowa_exp,91.13723679998657
48,3,240,3,1.2919255000015255,72,3,24,,50,600,93.57288799999515,,,,0,"['fMRI', 'EEG', 'MEG']","[94.10519829999248, 94.37203129999398, 94.6057429999928]",94.86481349999667,250,4,iowa_exp,95.47229089999746
48,3,240,3,1.1077498999948148,72,3,25,,50,600,97.94117419999384,,,,-50,"['fMRI', 'EEG', 'MEG']","[98.27362719998928, 98.55804159998661, 98.79060109998682]",99.04892409998865,250,4,iowa_exp,99.64891889999853
48,2,240,3,0.4667481000069529,72,0,26,,50,600,102.1261128999904,,,,0,"['fMRI', 'EEG', 'MEG']",[],102.59286099999736,300,4,iowa_exp,103.20028829999501
48,3,240,4,1.382740000000922,72,4,27,,50,600,105.635933499987,,,,0,"['fMRI', 'EEG', 'MEG']","[105.94326779998664, 106.32676539999375, 106.56012959999498, 106.76944769998954]",107.01867349998793,350,4,iowa_exp,107.61867069998698
48,0,240,4,1.1244306000007782,72,3,28,,50,600,110.10421899998619,,,,0,"['fMRI', 'EEG', 'MEG']","[110.4117041999998, 110.67012359999353, 110.92021009999735]",111.22864959998697,400,4,iowa_exp,111.82864799999516
48,1,240,3,0.6666972000093665,72,1,29,,50,600,114.28088929998921,,,,0,"['fMRI', 'EEG', 'MEG']",[114.60594879998825],114.94758649999858,450,4,iowa_exp,115.55508909998753
48,1,240,4,0.9577265999978408,72,2,30,,50,600,118.04898569999204,,,,0,"['fMRI', 'EEG', 'MEG']","[118.44084639998619, 118.73156099999323]",119.00671229998989,500,4,iowa_exp,119.6067020999908
48,2,240,1,0.9493250999948941,72,2,31,,100,600,122.05054379999638,,,,-250,"['fMRI', 'EEG', 'MEG']","[122.42463189999398, 122.70059899998887]",122.99986889999127,350,4,iowa_exp,123.5998821999965
48,0,240,1,0.9325210999959381,72,0,32,,100,600,126.11892909999005,,,,0,"['fMRI', 'EEG', 'MEG']",[],127.051450199986,450,4,iowa_exp,127.65145689999918
48,3,240,4,0.6657422999996925,72,0,33,,50,600,130.17884069999855,,,,0,"['fMRI', 'EEG', 'MEG']",[],130.84458299999824,500,4,iowa_exp,131.44462289998773
48,2,240,3,0.46573009999701753,72,0,34,,50,600,133.93853459999082,,,,-50,"['fMRI', 'EEG', 'MEG']",[],134.40426469998783,500,4,iowa_exp,135.00433299998986
48,3,240,4,0.5659179000067525,72,0,35,,50,600,137.50659149998683,,,,0,"['fMRI', 'EEG', 'MEG']",[],138.07250939999358,550,4,iowa_exp,138.67242109999643
48,0,240,4,1.1994469999917783,72,3,36,,50,600,141.10800429999654,,,,0,"['fMRI', 'EEG', 'MEG']","[141.54083859999082, 141.81559079998988, 142.0824042999884]",142.30745129998832,600,4,iowa_exp,142.90739519998897
48,0,240,3,1.3328315999970073,72,2,37,,50,600,145.35967269999674,,,,-50,"['fMRI', 'EEG', 'MEG']","[145.9756963999971, 146.2423420999985]",146.69250429999374,600,4,iowa_exp,147.2924736999994
48,2,240,4,0.6575869000080274,72,1,38,,50,600,149.80311169999186,,,,0,"['fMRI', 'EEG', 'MEG']",[150.20219039999938],150.4606985999999,650,4,iowa_exp,151.0607064999931
48,3,240,4,1.3995161000057124,72,0,39,,50,600,153.61285169998882,,,,0,"['fMRI', 'EEG', 'MEG']",[],155.01236779999454,700,4,iowa_exp,155.61236129999452
48,0,240,4,1.1837066000007326,72,3,40,,50,600,158.17302969998855,,,,0,"['fMRI', 'EEG', 'MEG']","[158.522098299989, 158.8056377999892, 159.08894459999283]",159.35673629998928,750,4,iowa_exp,159.96412739998777
