win,offset_decks,offset_win,session,dur_measured_decks,t_moves,dur_win,no,onset_decks,exp_type,onset_win,total,t_select,init_mark,deck_select,loss,dur_decks,n_moves,condition,frames_before_decks,frames_after_decks,rt_select,ID
50,,,3,,"[1.344942899999296, 1.5617449000001216]",240,1,0.9970226999994338,"['fMRI', 'EEG', 'MEG']",2.403499300000476,0,1.8034289000006538,0,3,-50,600,2,iowa_exp,48,72,0.80640620000122,
50,,,3,,"[5.154900199999247, 5.363240299999234]",240,2,4.905746700000236,"['fMRI', 'EEG', 'MEG']",6.188282600000093,50,5.588294099999985,0,3,0,600,2,iowa_exp,48,72,0.6825473999997484,
50,,,3,,"[9.114652300000671, 9.33136580000064]",240,3,8.63225439999951,"['fMRI', 'EEG', 'MEG']",10.156470899999476,50,9.556468400000085,0,3,-50,600,2,iowa_exp,48,72,0.9242140000005747,
50,,,3,,"[13.082934599999135, 13.307948199999373, 13.549775699999373]",240,4,12.608739600000263,"['fMRI', 'EEG', 'MEG']",14.408159200000227,50,13.808261899999707,3,3,-50,600,3,iowa_exp,48,72,1.199522299999444,
50,,,3,,[17.16777000000002],240,5,16.84375899999941,"['fMRI', 'EEG', 'MEG']",18.026219199999105,100,17.42618819999916,1,3,0,600,1,iowa_exp,48,72,0.5824291999997513,
50,,,3,,[20.835906399999658],240,6,20.46176419999938,"['fMRI', 'EEG', 'MEG']",21.677661600000647,150,21.077662899999268,1,3,0,600,1,iowa_exp,48,72,0.6158986999998888,
50,,,3,,[],240,7,24.113266500000464,"['fMRI', 'EEG', 'MEG']",25.22068720000061,200,24.620633099999395,2,3,0,600,0,iowa_exp,48,72,0.5073665999989316,
50,,,3,,[],240,8,27.69794609999917,"['fMRI', 'EEG', 'MEG']",28.780402300000787,200,28.180364600000757,2,3,-50,600,0,iowa_exp,48,72,0.4824185000015859,
50,,,3,,"[31.731812300000456, 31.956881300000532, 32.25702719999936]",240,9,31.20769780000046,"['fMRI', 'EEG', 'MEG']",33.065399299999626,200,32.465436300000874,3,3,-50,600,3,iowa_exp,48,72,1.2577385000004142,
50,,,3,,"[35.80931269999928, 36.000542899999346]",240,10,35.48439309999958,"['fMRI', 'EEG', 'MEG']",36.81686749999972,250,36.21686109999973,0,3,0,600,2,iowa_exp,48,72,0.7324680000001536,
50,,,3,,"[39.55208180000045, 39.74329190000026]",240,11,39.22748750000028,"['fMRI', 'EEG', 'MEG']",40.5349769000004,300,39.935019399999874,0,3,0,600,2,iowa_exp,48,72,0.7075318999995943,
50,,,3,,"[43.29461850000007, 43.528054399999746, 43.72069740000006]",240,12,42.96223049999935,"['fMRI', 'EEG', 'MEG']",44.55320019999999,350,43.95326439999917,3,3,0,600,3,iowa_exp,48,72,0.9910338999998203,
50,,,3,,[47.30496669999957],240,13,46.98878700000023,"['fMRI', 'EEG', 'MEG']",48.129602999999406,400,47.52963400000044,1,3,0,600,1,iowa_exp,48,72,0.5408470000002126,
50,,,3,,"[51.014810299999226, 51.21436240000003, 51.40740829999959]",240,14,50.565264099999695,"['fMRI', 'EEG', 'MEG']",52.1895198000002,400,51.58954310000081,3,3,-50,600,3,iowa_exp,48,72,1.0242790000011155,
