offset_win,win,ID,exp_type,loss,offset_decks,init_mark,no,n_moves,deck_select,condition,frames_before_decks,rt_select,dur_win,dur_measured_decks,session,t_select,onset_win,dur_decks,frames_after_decks,total,t_moves,onset_decks
,100,,"['fMRI', 'EEG', 'MEG']",0,,1,1,0,2,iowa_exp,48,0.5394975999988674,240,,2,1.543609500000457,2.1435584999999264,600,72,100,[],1.0041119000015897
,100,,"['fMRI', 'EEG', 'MEG']",-1250,,2,2,3,2,iowa_exp,48,1.2910544000005757,240,,2,5.911931700000423,6.511999199999991,600,72,-1050,"[5.178504899999098, 5.411793799998122, 5.66186480000033]",4.620877299999847
,100,,"['fMRI', 'EEG', 'MEG']",0,,0,3,1,2,iowa_exp,48,0.8410222999991674,240,,2,10.155369899999641,10.755289699998684,600,72,-950,[9.872677600000316],9.314347600000474
,100,,"['fMRI', 'EEG', 'MEG']",0,,3,4,2,2,iowa_exp,48,0.9325855999995838,240,,2,14.131809800001065,14.731855099998938,600,72,-850,"[13.682567799998651, 13.882632799999556]",13.199224200001481
,100,,"['fMRI', 'EEG', 'MEG']",0,,2,5,3,2,iowa_exp,48,1.3326657000034174,240,,2,18.483518100001675,19.083550499999546,600,72,-750,"[17.55821609999839, 17.98338700000022, 18.258425399999396]",17.150852399998257
,100,,"['fMRI', 'EEG', 'MEG']",0,,1,6,0,2,iowa_exp,48,0.5416189999996277,240,,2,22.03572780000104,22.643254499998875,600,72,-650,[],21.494108800001413
,100,,"['fMRI', 'EEG', 'MEG']",0,,3,7,2,2,iowa_exp,48,0.8659189999998489,240,,2,25.928152799999225,26.528100899999117,600,72,-550,"[25.50295879999976, 25.70390789999874]",25.062233799999376
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,8,2,4,iowa_exp,48,0.7574711999986903,240,,2,29.746221599998535,30.346250800001144,600,72,-500,"[29.305988399999478, 29.521215299999312]",28.988750399999844
,50,,"['fMRI', 'EEG', 'MEG']",0,,2,9,1,4,iowa_exp,48,0.5494452999992063,240,,2,33.31462889999966,33.914308499999606,600,72,-450,[33.0975983999997],32.765183600000455
,50,,"['fMRI', 'EEG', 'MEG']",0,,1,10,2,4,iowa_exp,48,1.0743647999988752,240,,2,37.399287000000186,37.9992428000005,600,72,-400,"[36.95743840000068, 37.19078470000022]",36.32492220000131
