offset_win,session,onset_decks,frames_before_decks,win,condition,offset_decks,init_mark,n_moves,t_select,deck_select,rt_select,t_moves,dur_win,dur_decks,onset_win,ID,total,frames_after_decks,exp_type,loss,dur_measured_decks,no
,1,0.9871882000006735,330,100,iowa_exp,,3,2,5.257466400042176,2,4.270278200041503,"[3.224053700105287, 3.8246278000297025]",120,300,8.474405799992383,,100,150,"['fMRI', 'EEG', 'MEG']",0,,1
,1,15.975827899994329,330,50,iowa_exp,,2,0,17.824746700003743,3,1.8489188000094146,[],120,300,23.47476250003092,,150,150,"['fMRI', 'EEG', 'MEG']",0,,2
,1,30.976472300011665,330,50,iowa_exp,,2,1,32.55870990001131,4,1.5822375999996439,[31.641975500038825],120,300,38.47544080007356,,200,150,"['fMRI', 'EEG', 'MEG']",0,,3
,1,45.97720800002571,330,100,iowa_exp,,1,3,,,,"[46.47594120004214, 46.85946900001727, 47.24275920004584]",120,300,53.476136600016616,,50,150,"['fMRI', 'EEG', 'MEG']",-250,,4
,1,60.97788830008358,330,100,iowa_exp,,3,2,65.64352310006507,2,4.66563479998149,"[64.19353980000596, 64.57684450002853]",120,300,68.47691650001798,,150,150,"['fMRI', 'EEG', 'MEG']",0,,5
,1,76.01202700007707,330,100,iowa_exp,,3,1,77.79427470010705,1,1.7822477000299841,[77.19500370009337],120,300,83.51087370002642,,0,150,"['fMRI', 'EEG', 'MEG']",-250,,6
,1,91.01265000004787,330,100,iowa_exp,,1,3,92.77824280003551,1,1.765592799987644,"[91.69480520009529, 92.09484810009599, 92.41157190001104]",120,300,98.51173530006781,,-150,150,"['fMRI', 'EEG', 'MEG']",-250,,7
,1,106.01334780000616,330,100,iowa_exp,,1,0,107.64572280005086,2,1.6323750000447035,[],120,300,113.51227930001915,,-50,150,"['fMRI', 'EEG', 'MEG']",0,,8
,1,121.01403500000015,330,100,iowa_exp,,0,1,122.09727580007166,2,1.0832408000715077,[121.66294280008879],120,300,128.51298660004977,,50,150,"['fMRI', 'EEG', 'MEG']",0,,9
,1,136.01478319999296,330,100,iowa_exp,,1,0,137.9470677000936,2,1.93228450010065,[],120,300,143.513694900088,,150,150,"['fMRI', 'EEG', 'MEG']",0,,10
,1,151.01547920005396,330,100,iowa_exp,,2,3,153.91444090008736,2,2.8989617000333965,"[153.0810507000424, 153.34755390009377, 153.6146018001018]",120,300,158.5144056000281,,250,150,"['fMRI', 'EEG', 'MEG']",0,,11
,1,166.01620160008315,330,50,iowa_exp,,2,0,168.01531370007433,3,1.99911209999118,[],120,300,173.51511540007778,,250,150,"['fMRI', 'EEG', 'MEG']",-50,,12
,1,181.01728700008243,330,50,iowa_exp,,3,0,181.99920870002825,4,0.9819216999458149,[],120,300,188.51582020008937,,300,150,"['fMRI', 'EEG', 'MEG']",0,,13
,1,196.0176193000516,330,100,iowa_exp,,0,1,198.04983130004257,2,2.0322119999909773,[196.88332720007747],120,300,203.5165660000639,,-850,150,"['fMRI', 'EEG', 'MEG']",-1250,,14
,1,211.01836460002232,330,100,iowa_exp,,2,2,212.3675195000833,1,1.3491549000609666,"[211.65040630009025, 212.00061460002325]",120,300,218.5172436001012,,-750,150,"['fMRI', 'EEG', 'MEG']",0,,15
,1,226.01910370006226,330,100,iowa_exp,,3,1,227.01810590003151,1,0.9990021999692544,[226.66788920003455],120,300,233.51798480004072,,-650,150,"['fMRI', 'EEG', 'MEG']",0,,16
