condition,onset_decks,deck_select,dur_decks,rt_select,onset_win,ID,t_moves,frames_before_decks,loss,offset_decks,session,dur_measured_decks,t_select,offset_win,init_mark,n_moves,total,frames_after_decks,exp_type,no,win,dur_win
iowa_exp,0.9942610000143759,2,300,1.930390699999407,11.474840599985328,,[2.4080557000124827],150,0,,4,,2.924651700013783,,0,1,100,330,"['fMRI', 'EEG', 'MEG']",1,100,120
iowa_exp,15.976494700007606,4,300,1.4822893000091426,26.475555500015616,,[],150,0,,4,,17.45878400001675,,3,0,150,330,"['fMRI', 'EEG', 'MEG']",2,50,120
iowa_exp,31.010518399998546,3,300,1.2654164000414312,41.509639299998526,,[31.842682000016794],150,0,,4,,32.27593480003998,,1,1,200,330,"['fMRI', 'EEG', 'MEG']",3,50,120
iowa_exp,46.01127010001801,4,300,1.2488566999672912,56.51031209999928,,[],150,0,,4,,47.2601267999853,,3,0,250,330,"['fMRI', 'EEG', 'MEG']",4,50,120
iowa_exp,61.01196139998501,4,300,1.298897200031206,71.51102979999268,,[],150,0,,4,,62.31085860001622,,3,0,300,330,"['fMRI', 'EEG', 'MEG']",5,50,120
iowa_exp,76.01266060001217,3,300,1.5155577000114135,86.51174570003059,,[77.0949210000108],150,0,,4,,77.52821830002358,,1,1,350,330,"['fMRI', 'EEG', 'MEG']",6,50,120
iowa_exp,91.0133926999988,3,300,1.6157266999944113,101.51242280000588,,[92.14564950001659],150,0,,4,,92.62911939999321,,1,1,400,330,"['fMRI', 'EEG', 'MEG']",7,50,120
iowa_exp,106.01405850000447,4,300,1.765986900019925,116.51325680001173,,[107.12963750003837],150,0,,4,,107.78004540002439,,2,1,450,330,"['fMRI', 'EEG', 'MEG']",8,50,120
iowa_exp,121.01482780004153,3,300,1.2990402999566868,131.5139102000394,,[121.91369210003177],150,-50,,4,,122.31386809999822,,1,1,450,330,"['fMRI', 'EEG', 'MEG']",9,50,120
iowa_exp,136.01547199999914,2,300,1.183284500031732,146.51455399999395,,[],150,0,,4,,137.19875650003087,,1,0,550,330,"['fMRI', 'EEG', 'MEG']",10,100,120
iowa_exp,151.01624190004077,2,300,0.998807099997066,161.51528310001595,,[],150,0,,4,,152.01504900003783,,1,0,650,330,"['fMRI', 'EEG', 'MEG']",11,100,120
iowa_exp,166.01691280002706,3,300,1.3322435999871232,176.5159594999859,,[],150,-50,,4,,167.34915640001418,,2,0,650,330,"['fMRI', 'EEG', 'MEG']",12,50,120
iowa_exp,181.01776560000144,3,300,3.1820985000231303,191.51668719999725,,[183.89993020001566],150,0,,4,,184.19986410002457,,1,1,700,330,"['fMRI', 'EEG', 'MEG']",13,50,120
iowa_exp,196.01848920003977,3,300,1.1820007999776863,206.51740190002602,,[196.78406820003875],150,-50,,4,,197.20049000001745,,1,1,700,330,"['fMRI', 'EEG', 'MEG']",14,50,120
