onset_decks,dur_decks,frames_after_decks,deck_select,t_moves,rt_select,dur_win,offset_win,condition,init_mark,ID,dur_measured_decks,loss,offset_decks,session,exp_type,t_select,frames_before_decks,total,n_moves,win,no,onset_win
1.0369627999607474,300,150,1,[],2.244977099937387,120,,iowa_exp,0,142,,0,,2,fMRI,3.281939899898134,330,100,0,100,1,8.514157999888994
16.015901199891232,300,150,1,[18.23146049992647],2.6821952000027522,120,,iowa_exp,3,142,,0,,2,fMRI,18.698096399893984,330,200,1,100,2,23.514808399952017
31.01653989998158,300,150,1,"[31.83234349999111, 32.21621239988599]",1.5497489999979734,120,,iowa_exp,2,142,,0,,2,fMRI,32.566288899979554,330,300,2,100,3,38.515542699955404
46.01730269996915,300,150,1,"[46.916175599908456, 47.382800499908626, 47.84954299998935, 48.216179299983196]",2.5994023999664932,120,,iowa_exp,0,142,,-250,,2,fMRI,48.61670509993564,330,150,4,100,4,53.532881299965084
61.03471629996784,300,150,3,"[61.483437999966554, 61.9668824999826, 62.45020509988535]",1.882135899970308,120,,iowa_exp,3,142,,-50,,2,fMRI,62.91685219993815,330,150,3,50,5,68.53359309991356
76.03537249995861,300,150,1,"[76.7842793999007, 77.3842351998901]",1.8655030999798328,120,,iowa_exp,2,142,,0,,2,fMRI,77.90087559993844,330,250,2,100,6,83.53431109990925
91.03609469998628,300,150,1,[],1.7487477000104263,120,,iowa_exp,0,142,,0,,2,fMRI,92.7848423999967,330,350,0,100,7,98.53502640000079
106.03680859995075,300,150,1,"[108.73578499990981, 109.05240329995286, 109.38599589990918]",3.7998597000259906,120,,iowa_exp,1,142,,-250,,2,fMRI,109.83666829997674,330,200,3,100,8,113.53568429988809
121.0375698999269,300,150,2,"[121.60288479994051, 122.05300159996841, 122.43629679991864]",1.815499100019224,120,,iowa_exp,2,142,,0,,2,fMRI,122.85306899994612,330,300,3,100,9,128.53654419991653
136.03819999995176,300,150,2,"[136.8036445999751, 137.20409379992634, 137.57043169997633]",1.9823298000264913,120,,iowa_exp,2,142,,0,,2,fMRI,138.02052979997825,330,400,3,100,10,143.53710819990374
151.03891129989643,300,150,2,"[151.45522109989543, 151.88771159993485]",1.2655212000245228,120,,iowa_exp,3,142,,0,,2,fMRI,152.30443249992095,330,500,2,100,11,158.53778999997303
166.03956419997849,300,150,1,"[166.90515239990782, 167.271970499889]",1.7156320000067353,120,,iowa_exp,2,142,,0,,2,fMRI,167.75519619998522,330,600,2,100,12,173.53857079998124
181.04031620000023,300,150,2,[181.7564155999571],1.4656159000005573,120,,iowa_exp,0,142,,-1250,,2,fMRI,182.5059321000008,330,-550,1,100,13,188.53922399994917
196.0410416999366,300,150,1,"[197.58973799995147, 198.02332429995295]",2.7490305999526754,120,,iowa_exp,2,142,,0,,2,fMRI,198.7900722998893,330,-450,2,100,14,203.5399379999144
211.041734599974,300,150,1,"[211.80742279998958, 212.24064219999127]",1.9324386999942362,120,,iowa_exp,2,142,,0,,2,fMRI,212.97417329996824,330,-350,2,100,15,218.54060869989917
226.0423523999052,300,150,4,"[226.8079828999471, 227.24143909988925, 227.59135359991342]",2.1657263000961393,120,,iowa_exp,0,142,,0,,2,fMRI,228.20807870000135,330,-300,3,50,16,233.541351199965
241.04291629989166,300,150,1,"[241.6928307999624, 242.07526549999602]",1.682487600017339,120,,iowa_exp,2,142,,-250,,2,fMRI,242.725403899909,330,-450,2,100,17,248.54194919997826
256.04389169998467,300,150,2,"[257.42620459990576, 257.7595327999443]",2.016638199915178,120,,iowa_exp,3,142,,0,,2,fMRI,258.06052989989985,330,-350,2,100,18,263.54274349997286
271.04447289998643,300,150,2,"[271.893449199968, 272.3767817999469]",3.1656736999284476,120,,iowa_exp,3,142,,0,,2,fMRI,274.2101465999149,330,-250,2,100,19,278.5434695999138
286.0452121999115,300,150,4,"[286.6441322999308, 287.1275721999118, 287.4943843999645, 287.82748809992336]",2.1989284000592306,120,,iowa_exp,3,142,,0,,2,fMRI,288.2441405999707,330,-200,4,50,20,293.5441764999414
