total,frames_before_decks,win,init_mark,frames_after_decks,deck_select,dur_decks,loss,no,session,rt_select,exp_type,dur_win,onset_win,offset_win,condition,offset_decks,t_select,ID,onset_decks,n_moves,t_moves,dur_measured_decks
50,150,50,3,330,3,300,0,1,1,2.4060274999937974,"['fMRI', 'EEG', 'MEG']",120,11.474520299991127,,iowa_exp,,3.393643199990038,,0.9876156999962404,3,"[-157.06483600003412, 2.15987520001363, 2.591204199998174]",
-100,150,100,3,330,1,300,-250,2,1,3.1657162999617867,"['fMRI', 'EEG', 'MEG']",120,26.475209399999585,,iowa_exp,,19.141790899971966,,15.976074600010179,1,[18.141804899962153],
-50,150,50,1,330,4,300,0,3,1,2.348860500031151,"['fMRI', 'EEG', 'MEG']",120,41.475923499965575,,iowa_exp,,33.32566410000436,,30.97680359997321,2,"[32.22563070000615, 32.97590479999781]",
-200,150,100,0,330,1,300,-250,4,1,1.3488296999712475,"['fMRI', 'EEG', 'MEG']",120,56.476618300017435,,iowa_exp,,47.32648449996486,,45.977654799993616,0,[],
-100,150,100,1,330,2,300,0,5,1,3.9324001999921165,"['fMRI', 'EEG', 'MEG']",120,71.49384989996906,,iowa_exp,,64.91065149998758,,60.97825129999546,0,[65.81065569998464],
-100,150,50,1,330,3,300,-50,6,1,4.798968099988997,"['fMRI', 'EEG', 'MEG']",120,86.49473460001172,,iowa_exp,,80.79463349998696,,75.99566539999796,5,"[76.92877389997011, 77.77773879998131, 78.9954776999657, 79.67794939997839, 80.04463359998772]",
-50,150,50,2,330,4,300,0,7,1,2.4655783000052907,"['fMRI', 'EEG', 'MEG']",120,101.49539170000935,,iowa_exp,,93.46186809998471,,90.99628979997942,1,[91.74523439997574],
50,150,100,0,330,2,300,0,8,1,1.1821909000282176,"['fMRI', 'EEG', 'MEG']",120,116.49611800001003,,iowa_exp,,107.17923539999174,,105.99704449996352,1,[106.67924809997203],
100,150,50,1,330,3,300,0,9,1,2.7322925999760628,"['fMRI', 'EEG', 'MEG']",120,131.49683149997145,,iowa_exp,,123.7300547999912,,120.99776220001513,1,[121.59674409998115],
-100,150,50,2,330,4,300,-250,10,1,2.4821651999955066,"['fMRI', 'EEG', 'MEG']",120,146.4975283999811,,iowa_exp,,138.48064449999947,,135.99847930000396,1,[136.68146320001688],
0,150,100,3,330,2,300,0,11,1,1.9823959000059403,"['fMRI', 'EEG', 'MEG']",120,161.4982336999965,,iowa_exp,,152.98150419996819,,150.99910829996224,2,"[151.66467899997951, 152.18126889999257]",
100,150,100,0,330,2,300,0,12,1,2.532325599982869,"['fMRI', 'EEG', 'MEG']",120,176.49893649999285,,iowa_exp,,168.53221069998108,,165.9998850999982,1,[167.18206759996247],
150,150,50,2,330,4,300,0,13,1,2.7489706000196747,"['fMRI', 'EEG', 'MEG']",120,191.49965730000986,,iowa_exp,,183.74951220001094,,181.00054159999127,1,[183.19949179998366],
200,150,50,2,330,4,300,0,14,1,2.9990499000414275,"['fMRI', 'EEG', 'MEG']",120,206.50038619997213,,iowa_exp,,199.000314600009,,196.00126469996758,1,[196.76678830001038],
250,150,50,2,330,4,300,0,15,1,3.1322293000412174,"['fMRI', 'EEG', 'MEG']",120,221.50113210000563,,iowa_exp,,214.13420610001776,,211.00197679997655,1,[212.30095160001656],
350,150,100,2,330,2,300,0,16,1,1.8655836000107229,"['fMRI', 'EEG', 'MEG']",120,236.5017979000113,,iowa_exp,,227.86830059997737,,226.00271699996665,3,"[226.66831939999247, 227.06838609999977, 227.45157589996234]",
400,150,50,3,330,4,300,0,17,1,1.432173800014425,"['fMRI', 'EEG', 'MEG']",120,251.50250479998067,,iowa_exp,,242.43572389998008,,241.00355009996565,0,[],
400,150,50,0,330,3,300,-50,18,1,2.3834480000077747,"['fMRI', 'EEG', 'MEG']",120,266.5032523999689,,iowa_exp,,258.3875968999928,,256.004148899985,2,"[256.78630069998326, 257.6363882999867]",
450,150,50,2,330,4,300,0,19,1,1.7323736000107601,"['fMRI', 'EEG', 'MEG']",120,281.5038888999843,,iowa_exp,,272.73715200001607,,271.0047784000053,1,[271.7203278999659],
-700,150,100,2,330,2,300,-1250,20,1,2.1488603999605402,"['fMRI', 'EEG', 'MEG']",120,296.5046200999641,,iowa_exp,,288.15455669997027,,286.00569630000973,3,"[286.7044576999615, 287.42112640000414, 287.77109749999363]",
-650,150,50,1,330,3,300,0,21,1,4.96558640000876,"['fMRI', 'EEG', 'MEG']",120,311.50537879997864,,iowa_exp,,305.9720234000124,,301.00643700000364,1,[301.5051083000144],
