condition,onset_decks,deck_select,dur_decks,rt_select,onset_win,ID,t_moves,frames_before_decks,loss,offset_decks,session,dur_measured_decks,t_select,offset_win,init_mark,n_moves,total,frames_after_decks,exp_type,no,win,dur_win
iowa_exp,0.9972030000062659,3,300,2.42804349999642,8.474785300029907,,"[2.3414886000100523, 2.858042399981059]",330,0,,3,,3.425246500002686,,0,2,50,150,"['fMRI', 'EEG', 'MEG']",1,50,120
iowa_exp,15.976565000019036,4,300,1.7655170999933034,23.4754685999942,,[17.041976500011515],330,0,,3,,17.74208210001234,,2,1,100,150,"['fMRI', 'EEG', 'MEG']",2,50,120
iowa_exp,30.97721719997935,1,300,1.1166745000518858,38.4928826999967,,[],330,0,,3,,32.093891700031236,,0,0,200,150,"['fMRI', 'EEG', 'MEG']",3,100,120
iowa_exp,45.9946824000217,2,300,1.7663776999688707,53.49356099998113,,[],330,0,,3,,47.76106009999057,,1,0,300,150,"['fMRI', 'EEG', 'MEG']",4,100,120
iowa_exp,60.99531269998988,3,300,1.8156576000037603,68.4943541000248,,"[61.82761690003099, 62.16097919997992]",330,0,,3,,62.81097029999364,,0,2,350,150,"['fMRI', 'EEG', 'MEG']",5,50,120
iowa_exp,75.99603700003354,4,300,1.2656926999916323,83.4949939000071,,[],330,0,,3,,77.26172970002517,,3,0,400,150,"['fMRI', 'EEG', 'MEG']",6,50,120
iowa_exp,90.99689820001367,3,300,2.998817500018049,98.49574209999992,,"[91.9967848000233, 92.51263469998958, 93.32907919998979]",330,-50,,3,,93.99571570003172,,3,3,400,150,"['fMRI', 'EEG', 'MEG']",7,50,120
iowa_exp,105.99751160002779,2,300,3.4657458000001498,113.49650110001676,,"[107.22972340002889, 107.62979590002215, 108.66304820001824]",330,0,,3,,109.46325740002794,,2,3,500,150,"['fMRI', 'EEG', 'MEG']",8,100,120
iowa_exp,120.99816730001476,4,300,1.332294199964963,128.49715559999458,,[],330,0,,3,,122.33046149997972,,3,0,550,150,"['fMRI', 'EEG', 'MEG']",9,50,120
iowa_exp,135.99903200002154,1,300,3.732182500010822,143.49793910002336,,"[137.29784880002262, 138.24792290001642, 138.7312126000179]",330,-250,,3,,139.73121450003237,,1,3,400,150,"['fMRI', 'EEG', 'MEG']",10,100,120
iowa_exp,150.99965990002966,4,300,1.4989195999805816,158.49863849999383,,[],330,-250,,3,,152.49857950001024,,3,0,200,150,"['fMRI', 'EEG', 'MEG']",11,50,120
iowa_exp,166.00049980002223,3,300,1.215343599964399,173.49926070001675,,[],330,-50,,3,,167.21584339998662,,2,0,200,150,"['fMRI', 'EEG', 'MEG']",12,50,120
iowa_exp,181.00109249999514,3,300,1.7323032999993302,188.50001339998562,,[182.06667590001598],330,0,,3,,182.73339579999447,,1,1,250,150,"['fMRI', 'EEG', 'MEG']",13,50,120
iowa_exp,196.00174829998286,3,300,2.7656845000456087,203.50070849998156,,"[197.6173548999941, 197.95069680002052, 198.16850959998555]",330,0,,3,,198.76743280002847,,3,3,300,150,"['fMRI', 'EEG', 'MEG']",14,50,120
iowa_exp,211.00250280002365,3,300,2.6493169000023045,218.50145799998427,,"[212.35138609999558, 213.00138480000896]",330,-50,,3,,213.65181970002595,,0,2,300,150,"['fMRI', 'EEG', 'MEG']",15,50,120
iowa_exp,226.00315200001933,3,300,1.3155316999764182,233.50209810002707,,[226.9020202999818],330,0,,3,,227.31868369999574,,1,1,350,150,"['fMRI', 'EEG', 'MEG']",16,50,120
iowa_exp,241.00390970002627,2,300,2.8488807999528944,248.50283760001184,,"[242.20288420002908, 243.23615160002373]",330,0,,3,,243.85279049997916,,3,2,450,150,"['fMRI', 'EEG', 'MEG']",17,100,120
iowa_exp,256.00467629998457,1,300,1.665586200018879,263.50356119999196,,[],330,0,,3,,257.67026250000345,,0,0,550,150,"['fMRI', 'EEG', 'MEG']",18,100,120
iowa_exp,271.0054046000005,3,300,1.0987705999868922,278.5042792999884,,[],330,-50,,3,,272.10417519998737,,2,0,550,150,"['fMRI', 'EEG', 'MEG']",19,50,120
iowa_exp,286.0059947000118,3,300,3.39908339997055,293.50496220000787,,"[287.68837510002777, 288.1715740999789, 288.8883643000154]",330,-50,,3,,289.40507809998235,,3,3,550,150,"['fMRI', 'EEG', 'MEG']",20,50,120
iowa_exp,301.0067014999804,3,300,1.6822052000206895,308.5055515000131,,[],330,0,,3,,302.6889067000011,,2,0,600,150,"['fMRI', 'EEG', 'MEG']",21,50,120
iowa_exp,316.00755600002594,3,300,2.0323732999968342,323.50645169999916,,"[317.17307920003077, 317.4730638000183]",330,0,,3,,318.0399293000228,,0,2,650,150,"['fMRI', 'EEG', 'MEG']",22,50,120
iowa_exp,331.04143769998336,3,300,1.7155721000162885,338.5404099000152,,"[331.8570870999829, 332.4070986000006]",330,-50,,3,,332.75700979999965,,0,2,650,150,"['fMRI', 'EEG', 'MEG']",23,50,120
iowa_exp,346.0422161000315,4,300,1.4989408999681473,353.54116349999094,,[],330,0,,3,,347.54115699999966,,3,0,700,150,"['fMRI', 'EEG', 'MEG']",24,50,120
iowa_exp,361.04289149999386,3,300,1.2821954000391997,368.54178470000625,,[],330,0,,3,,362.32508690003306,,2,0,750,150,"['fMRI', 'EEG', 'MEG']",25,50,120
iowa_exp,376.0436087999842,3,300,3.7656117000151426,383.5425432000193,,"[377.3258945000125, 378.5091597000137, 378.8258855000022, 379.39275960001396]",330,0,,3,,379.80922049999936,,2,4,800,150,"['fMRI', 'EEG', 'MEG']",26,50,120
iowa_exp,391.04437950003194,3,300,2.60003059997689,398.5433075000183,,"[392.22657120000804, 392.9434289999772]",330,-50,,3,,393.6444101000088,,0,2,800,150,"['fMRI', 'EEG', 'MEG']",27,50,120
iowa_exp,406.04501070000697,3,300,4.29924000002211,413.54394270002376,,"[407.7444760000217, 408.64397690002806, 409.3941212000209, 409.62837370001944]",330,-50,,3,,410.3442507000291,,2,4,800,150,"['fMRI', 'EEG', 'MEG']",28,50,120
iowa_exp,421.0457256999798,4,300,1.7155357000301592,428.54466479999246,,[],330,0,,3,,422.76126140000997,,3,0,850,150,"['fMRI', 'EEG', 'MEG']",29,50,120
iowa_exp,436.0464483000105,3,300,3.8656615000218153,443.5453381999978,,"[437.92881190002663, 438.42875490000006, 439.0288302000263, 439.46240459999535]",330,0,,3,,439.91210980003234,,2,4,900,150,"['fMRI', 'EEG', 'MEG']",30,50,120
iowa_exp,451.0472400999861,4,300,1.21544990001712,458.5460223000264,,[],330,0,,3,,452.2626900000032,,3,0,950,150,"['fMRI', 'EEG', 'MEG']",31,50,120
iowa_exp,466.0478786000167,3,300,2.682253499981016,473.5467828999972,,"[467.1634058000054, 467.9800589000224, 468.280171099992]",330,-50,,3,,468.7301320999977,,3,3,950,150,"['fMRI', 'EEG', 'MEG']",32,50,120
iowa_exp,481.0485114000039,3,300,1.4155914000002667,488.54749090003315,,[],330,-50,,3,,482.4641028000042,,2,0,950,150,"['fMRI', 'EEG', 'MEG']",33,50,120
iowa_exp,496.04926810000325,3,300,1.2822551000281237,503.54827869997825,,[496.93156599998474],330,-50,,3,,497.33152320003137,,1,1,950,150,"['fMRI', 'EEG', 'MEG']",34,50,120
iowa_exp,511.0501357000321,3,300,2.0987917999736965,518.5489321000059,,"[512.2164440000197, 512.5988533000345, 512.8331914999872]",330,0,,3,,513.1489275000058,,3,3,1000,150,"['fMRI', 'EEG', 'MEG']",35,50,120
iowa_exp,526.0506365000037,3,300,1.3323522999999113,533.5496031999937,,[],330,-50,,3,,527.3829888000037,,2,0,1000,150,"['fMRI', 'EEG', 'MEG']",36,50,120
iowa_exp,541.0513360000332,3,300,1.7823303999612108,548.5503028000239,,[542.3502628999995],330,-50,,3,,542.8336663999944,,1,1,1000,150,"['fMRI', 'EEG', 'MEG']",37,50,120
iowa_exp,556.0522528000292,3,300,1.6654679999919608,563.5510421000072,,"[557.0344662999851, 557.4009773000143]",330,0,,3,,557.7177208000212,,0,2,1050,150,"['fMRI', 'EEG', 'MEG']",38,50,120
iowa_exp,571.052810800029,3,300,1.0821211999864317,578.551709100022,,[],330,-50,,3,,572.1349320000154,,2,0,1050,150,"['fMRI', 'EEG', 'MEG']",39,50,120
iowa_exp,586.0534281000146,2,300,2.1156668000039645,593.5524311999907,,[587.6690180000151],330,0,,3,,588.1690949000185,,0,1,1150,150,"['fMRI', 'EEG', 'MEG']",40,100,120
