condition,onset_decks,deck_select,dur_decks,rt_select,onset_win,ID,t_moves,frames_before_decks,loss,offset_decks,session,dur_measured_decks,t_select,offset_win,init_mark,n_moves,total,frames_after_decks,exp_type,no,win,dur_win
iowa_exp,436.03671439999016,3,300,1.932333100005053,446.53578610002296,,[437.2189678000286],150,0,,2,,437.9690474999952,,1,1,1200,330,"['fMRI', 'EEG', 'MEG']",30,50,120
iowa_exp,451.0374662000104,3,300,2.5656429000082426,461.536596800026,,[452.2863304000348],150,-50,,2,,453.6031091000186,,1,1,1200,330,"['fMRI', 'EEG', 'MEG']",31,50,120
iowa_exp,466.0382234000135,4,300,1.0820827999850735,476.53725669998676,,[],150,0,,2,,467.1203061999986,,3,0,1250,330,"['fMRI', 'EEG', 'MEG']",32,50,120
iowa_exp,481.03892710001674,2,300,4.932339699997101,491.5379393000039,,[484.38781690003816],150,-1250,,2,,485.97126680001384,,1,0,100,330,"['fMRI', 'EEG', 'MEG']",33,100,120
iowa_exp,496.03959870000836,2,300,2.4655918999924324,506.5386319999816,,"[497.18833380000433, 497.65518390003126]",150,0,,2,,498.5051906000008,,3,2,200,330,"['fMRI', 'EEG', 'MEG']",34,100,120
iowa_exp,511.04032130003907,2,300,1.3489413999486715,521.5394162000157,,[511.93921320000663],150,0,,2,,512.3892626999877,,0,1,300,330,"['fMRI', 'EEG', 'MEG']",35,100,120
iowa_exp,526.0414264000137,2,300,1.281748300010804,536.5400885000126,,[],150,0,,2,,527.3231747000245,,1,0,400,330,"['fMRI', 'EEG', 'MEG']",36,100,120
iowa_exp,541.0415663000313,2,300,2.1324613000033423,551.5408068000106,,"[542.0915391999879, 542.3906129000243, 542.8573206000146]",150,0,,2,,543.1740276000346,,2,3,500,330,"['fMRI', 'EEG', 'MEG']",37,100,120
iowa_exp,556.0424692000379,3,300,2.082169699948281,566.5414770999923,,"[557.3746761000366, 557.758121300023]",150,-50,,2,,558.1246388999862,,0,2,500,330,"['fMRI', 'EEG', 'MEG']",38,50,120
iowa_exp,571.0431482000276,4,300,1.4990468999603763,581.54221829999,,[],150,0,,2,,572.542195099988,,3,0,550,330,"['fMRI', 'EEG', 'MEG']",39,50,120
iowa_exp,586.0438940000022,3,300,2.1488260999904014,596.5429251000169,,"[586.8594788000337, 587.176059200021]",150,-50,,2,,588.1927200999926,,0,2,550,330,"['fMRI', 'EEG', 'MEG']",40,50,120
