total,frames_before_decks,win,init_mark,frames_after_decks,deck_select,dur_decks,loss,no,session,rt_select,exp_type,dur_win,onset_win,offset_win,condition,offset_decks,t_select,ID,onset_decks,n_moves,t_moves,dur_measured_decks
-750,330,100,2,150,2,300,0,12,3,1.8322767000063322,"['fMRI', 'EEG', 'MEG']",120,173.5245469000074,,iowa_exp,,167.85787770000752,,166.0256010000012,3,"[166.72445059998427, 167.1245723000029, 167.49122149997856]",
-750,330,50,1,150,3,300,-50,13,3,0.8488226999761537,"['fMRI', 'EEG', 'MEG']",120,188.52531199995428,,iowa_exp,,181.87521959998412,,181.02639690000797,1,[181.5254974999698],
-700,330,50,3,150,4,300,0,14,3,1.3488582000136375,"['fMRI', 'EEG', 'MEG']",120,203.5260099999723,,iowa_exp,,197.37599939998472,,196.02714119997108,0,[],
-700,330,50,0,150,3,300,-50,15,3,1.432291700039059,"['fMRI', 'EEG', 'MEG']",120,218.52669139998034,,iowa_exp,,212.46006579999812,,211.02777409995906,2,"[211.69342809997033, 212.06003649998456]",
-600,330,100,2,150,1,300,0,16,3,1.7998519000248052,"['fMRI', 'EEG', 'MEG']",120,233.52740279998397,,iowa_exp,,227.82833970000502,,226.0284877999802,2,"[226.4940572999767, 227.44398479996016]",
-750,330,100,2,150,1,300,-250,17,3,1.498971699969843,"['fMRI', 'EEG', 'MEG']",120,248.52813089999836,,iowa_exp,,242.52817919995869,,241.02920749998884,2,"[241.52804040000774, 242.14467859995784]",
-700,330,50,0,150,3,300,0,18,3,1.4490095000364818,"['fMRI', 'EEG', 'MEG']",120,263.5287540999707,,iowa_exp,,257.4787706999923,,256.02976119995583,2,"[256.57874859997537, 257.07874759996776]",
-650,330,50,0,150,4,300,0,19,3,1.8655775000224821,"['fMRI', 'EEG', 'MEG']",120,278.5295421999763,,iowa_exp,,272.8961511999951,,271.0305736999726,3,"[271.72940159996506, 272.04707799997414, 272.4628025999991]",
-600,330,50,2,150,4,300,0,20,3,1.048883699986618,"['fMRI', 'EEG', 'MEG']",120,293.53028269996867,,iowa_exp,,287.08024769998156,,286.03136399999494,1,[286.7135246999678],
-550,330,50,0,150,3,300,0,21,3,1.465552999987267,"['fMRI', 'EEG', 'MEG']",120,308.5309982000035,,iowa_exp,,302.4975655999733,,301.03201259998605,2,"[301.7476405999623, 302.114256699977]",
-500,330,50,2,150,4,300,0,22,3,1.015528199961409,"['fMRI', 'EEG', 'MEG']",120,323.5483672999544,,iowa_exp,,317.04828409996117,,316.03275589999976,1,[316.68154530000174],
-450,330,50,2,150,3,300,0,23,3,1.1488469000323676,"['fMRI', 'EEG', 'MEG']",120,338.54904009995516,,iowa_exp,,332.19895859999815,,331.0501116999658,0,[],
-400,330,50,1,150,4,300,0,24,3,1.1988414999796078,"['fMRI', 'EEG', 'MEG']",120,353.54975889995694,,iowa_exp,,347.24969789996976,,346.05085639999015,2,"[346.64965239999583, 346.9663929999806]",
-350,330,50,2,150,4,300,0,25,3,0.9988509999820963,"['fMRI', 'EEG', 'MEG']",120,368.5505159999593,,iowa_exp,,362.05041969998274,,361.05156870000064,1,[361.6005371999927],
-250,330,100,3,150,2,300,0,26,3,1.232172999996692,"['fMRI', 'EEG', 'MEG']",120,383.55118269997183,,iowa_exp,,377.2844578999793,,376.0522848999826,2,"[376.6011576000019, 376.9344354000059]",
-250,330,50,2,150,3,300,-50,27,3,1.0822735999827273,"['fMRI', 'EEG', 'MEG']",120,398.5519214000087,,iowa_exp,,392.13525319995824,,391.0529795999755,0,[],
-200,330,50,0,150,3,300,0,28,3,1.5822163000120781,"['fMRI', 'EEG', 'MEG']",120,413.5526347999694,,iowa_exp,,407.6359290999826,,406.0537127999705,2,"[406.8368383999914, 407.25261169997975]",
-400,330,50,0,150,4,300,-250,29,3,1.6322550000040792,"['fMRI', 'EEG', 'MEG']",120,428.5533371999627,,iowa_exp,,422.6867135000066,,421.0544585000025,3,"[421.6199401000049, 421.9703121999628, 422.3198971999809]",
-350,330,50,0,150,3,300,0,30,3,1.3488881000084803,"['fMRI', 'EEG', 'MEG']",120,443.55406070000026,,iowa_exp,,437.40403029997833,,436.05514219996985,2,"[436.68739479995565, 437.03740259999176]",
-500,330,100,2,150,1,300,-250,31,3,1.365490399999544,"['fMRI', 'EEG', 'MEG']",120,458.554733500001,,iowa_exp,,452.4213694999926,,451.05587909999304,2,"[451.57118400000036, 451.9214498999645]",
-400,330,100,3,150,2,300,0,32,3,1.4156900999951176,"['fMRI', 'EEG', 'MEG']",120,473.55550929997116,,iowa_exp,,467.47215829999186,,466.05646819999674,2,"[466.50533089996316, 466.82212649995927]",
-400,330,50,2,150,3,300,-50,33,3,2.0989258000045083,"['fMRI', 'EEG', 'MEG']",120,488.55615769996075,,iowa_exp,,483.1561664000037,,481.0572405999992,0,[],
-300,330,100,2,150,2,300,0,34,3,2.01558439998189,"['fMRI', 'EEG', 'MEG']",120,503.556872199988,,iowa_exp,,498.0734963999712,,496.0579119999893,3,"[496.7402187999687, 497.0568713999819, 497.4902226999984]",
-250,330,50,0,150,4,300,0,35,3,2.015509999997448,"['fMRI', 'EEG', 'MEG']",120,518.5575697000022,,iowa_exp,,513.0742103999946,,511.0587003999972,3,"[511.7741368999705, 512.1242071999586, 512.6574663000065]",
-150,330,100,3,150,2,300,0,36,3,1.2988872000132687,"['fMRI', 'EEG', 'MEG']",120,533.5583119000075,,iowa_exp,,527.3583054000046,,526.0594181999913,2,"[526.6592020000098, 526.9749393999809]",
-100,330,50,0,150,4,300,0,37,3,1.7823637000401504,"['fMRI', 'EEG', 'MEG']",120,548.5590194999822,,iowa_exp,,542.842327499995,,541.0599637999549,3,"[541.7424095000024, 542.0932586999843, 542.4756935999612]",
0,330,100,3,150,1,300,0,38,3,1.1822785999975167,"['fMRI', 'EEG', 'MEG']",120,563.5597180000041,,iowa_exp,,557.243061999965,,556.0607833999675,1,[556.743008099962],
50,330,50,0,150,3,300,0,39,3,1.3666069000028074,"['fMRI', 'EEG', 'MEG']",120,578.5604600000079,,iowa_exp,,572.4281274999958,,571.061520599993,2,"[571.643723599962, 571.9945684999693]",
100,330,50,1,150,4,300,0,40,3,1.232148299983237,"['fMRI', 'EEG', 'MEG']",120,593.5611517999787,,iowa_exp,,587.2943781999638,,586.0622298999806,2,"[586.6777318000095, 586.9944398999796]",
