total,frames_before_decks,win,init_mark,frames_after_decks,deck_select,dur_decks,loss,no,session,rt_select,exp_type,dur_win,onset_win,offset_win,condition,offset_decks,t_select,ID,onset_decks,n_moves,t_moves,dur_measured_decks
-1150,330,100,2,150,2,300,-1250,1,3,3.129224200034514,"['fMRI', 'EEG', 'MEG']",120,8.483434299996588,,iowa_exp,,4.133614499995019,,1.0043902999605052,3,"[2.7501130999880843, 3.1833891999558546, 3.6834865999990143]",
-1050,330,100,2,150,1,300,0,2,3,1.9155278999824077,"['fMRI', 'EEG', 'MEG']",120,23.484129999997094,,iowa_exp,,17.900703899969812,,15.985175999987405,2,"[16.434049499977846, 16.767453000007663]",
-1000,330,50,1,150,4,300,0,3,3,1.2326150000444613,"['fMRI', 'EEG', 'MEG']",120,38.518179999955464,,iowa_exp,,32.25187259999802,,31.019257599953562,2,"[31.568119300005492, 31.884861700003967]",
-1000,330,50,1,150,3,300,-50,4,3,0.9156101000262424,"['fMRI', 'EEG', 'MEG']",120,53.51886760001071,,iowa_exp,,46.93551959999604,,46.0199094999698,1,[46.46880289999535],
-900,330,100,3,150,2,300,0,5,3,1.3487920999759808,"['fMRI', 'EEG', 'MEG']",120,68.51955889997771,,iowa_exp,,62.36958339996636,,61.02079129999038,2,"[61.56956249999348, 62.036274099955335]",
-850,330,50,0,150,3,300,0,6,3,1.1989217000082135,"['fMRI', 'EEG', 'MEG']",120,83.52028199995402,,iowa_exp,,77.22041010000976,,76.02148840000154,2,"[76.53701909998199, 76.85345369996503]",
-750,330,100,2,150,2,300,0,7,3,2.165547400014475,"['fMRI', 'EEG', 'MEG']",120,98.52105629997095,,iowa_exp,,93.18788250000216,,91.02233509998769,3,"[91.5043165999814, 92.07180849998258, 92.82100349996472]",
-750,330,50,2,150,3,300,-50,8,3,1.2153830000315793,"['fMRI', 'EEG', 'MEG']",120,113.52173209999455,,iowa_exp,,107.23838739999337,,106.02300439996179,0,[],
-750,330,50,3,150,3,300,-50,9,3,1.8321403000154532,"['fMRI', 'EEG', 'MEG']",120,128.52239759999793,,iowa_exp,,122.85580259998096,,121.02366229996551,3,"[121.52240899996832, 122.0390713000088, 122.47245840000687]",
-700,330,50,1,150,4,300,0,10,3,1.2488160000066273,"['fMRI', 'EEG', 'MEG']",120,143.52312719996553,,iowa_exp,,137.27303330000723,,136.0242173000006,2,"[136.5562760999892, 136.8898218999966]",
-850,330,100,1,150,1,300,-250,11,3,2.0990404000040144,"['fMRI', 'EEG', 'MEG']",120,158.52386709995335,,iowa_exp,,153.12392919999547,,151.02488879999146,3,"[151.70803209999576, 152.0073235000018, 152.74043219996383]",
