offset_win,session,onset_decks,frames_before_decks,win,condition,offset_decks,init_mark,n_moves,t_select,deck_select,rt_select,t_moves,dur_win,dur_decks,onset_win,ID,total,frames_after_decks,exp_type,loss,dur_measured_decks,no
,2,1.0029397999169305,330,100,iowa_exp,,0,0,1.980777799966745,1,0.9778380000498146,[],120,300,8.480765599990264,,100,150,"['fMRI', 'EEG', 'MEG']",0,,1
,2,15.982953099999577,330,50,iowa_exp,,2,0,19.648405899992213,3,3.665452799992636,"[17.281548299943097, 18.264867599937133, 19.01519449998159]",120,300,23.481520899920724,,150,150,"['fMRI', 'EEG', 'MEG']",0,,2
,2,30.983380899997428,330,50,iowa_exp,,2,1,31.932214599917643,4,0.9488336999202147,[31.6159142999677],120,300,38.4822303999681,,200,150,"['fMRI', 'EEG', 'MEG']",0,,3
,2,45.9843666999368,330,100,iowa_exp,,3,2,47.03297229995951,2,1.0486056000227109,"[46.43284619995393, 46.78272699995432]",120,300,53.48283559991978,,300,150,"['fMRI', 'EEG', 'MEG']",0,,4
,2,61.00150729995221,330,100,iowa_exp,,1,3,62.38395299995318,1,1.3824457000009716,"[61.600270699942484, 61.86694420001004, 62.100251699914224]",120,300,68.50031539995689,,400,150,"['fMRI', 'EEG', 'MEG']",0,,5
,2,76.00217919994611,330,100,iowa_exp,,1,3,77.70095979992766,1,1.6987805999815464,"[76.73426619998645, 77.0343823999865, 77.36762459995225]",120,300,83.50100509996992,,500,150,"['fMRI', 'EEG', 'MEG']",0,,6
,2,91.00278819992673,330,100,iowa_exp,,2,2,92.23501359997317,1,1.2322254000464454,"[91.68507200002205, 91.98515580000822]",120,300,98.50174480001442,,350,150,"['fMRI', 'EEG', 'MEG']",-250,,7
,2,106.00355079991277,330,100,iowa_exp,,0,0,106.61921479995362,1,0.6156640000408515,[],120,300,113.50244950002525,,450,150,"['fMRI', 'EEG', 'MEG']",0,,8
,2,121.00414550001733,330,100,iowa_exp,,2,2,122.31984539993573,1,1.3156998999183998,"[121.73642149998341, 122.03654240001924]",120,300,128.50310889992397,,300,150,"['fMRI', 'EEG', 'MEG']",-250,,9
,2,136.0047180999536,330,100,iowa_exp,,3,2,137.23706439998932,2,1.232346300035715,"[136.7038193999324, 137.003796499921]",120,300,143.50386339996476,,-850,150,"['fMRI', 'EEG', 'MEG']",-1250,,10
,2,151.00565409997944,330,50,iowa_exp,,1,1,151.68773090001196,3,0.6820768000325188,[151.47105379996356],120,300,158.50450539996382,,-850,150,"['fMRI', 'EEG', 'MEG']",-50,,11
,2,166.00631219998468,330,50,iowa_exp,,3,0,167.33885299996473,4,1.3325407999800518,[],120,300,173.50525539997034,,-1050,150,"['fMRI', 'EEG', 'MEG']",-250,,12
,2,181.00707319995854,330,100,iowa_exp,,1,3,182.37254479993135,1,1.3654715999728069,"[181.47365729999729, 181.82254309998825, 182.10589449992403]",120,300,188.5059726999607,,-1200,150,"['fMRI', 'EEG', 'MEG']",-250,,13
,2,196.00764750002418,330,100,iowa_exp,,1,4,197.8233527999837,2,1.815705299959518,"[196.4899634999456, 196.93984339991584, 197.15663129999302, 197.4900481000077]",120,300,203.5066872999305,,-1100,150,"['fMRI', 'EEG', 'MEG']",0,,14
,2,211.00840429996606,330,100,iowa_exp,,1,0,212.27399979997426,2,1.265595500008203,[],120,300,218.50738570000976,,-1000,150,"['fMRI', 'EEG', 'MEG']",0,,15
,2,226.0091902000131,330,50,iowa_exp,,0,2,227.1247849999927,3,1.1155947999795899,"[226.47461809997912, 226.80802050000057]",120,300,233.50818779994734,,-1000,150,"['fMRI', 'EEG', 'MEG']",-50,,16
,2,241.00984499999322,330,50,iowa_exp,,2,1,241.97533649997786,4,0.9654914999846369,[241.5086672999896],120,300,248.50878429994918,,-950,150,"['fMRI', 'EEG', 'MEG']",0,,17
,2,256.0105376999127,330,100,iowa_exp,,3,1,257.1761451999191,1,1.1656075000064448,[256.8594036999857],120,300,263.5095746999141,,-1100,150,"['fMRI', 'EEG', 'MEG']",-250,,18
,2,271.0112788999686,330,100,iowa_exp,,0,1,271.8434283999959,2,0.8321495000272989,[271.52680110000074],120,300,278.51021470001433,,-1000,150,"['fMRI', 'EEG', 'MEG']",0,,19
,2,286.0119691999862,330,100,iowa_exp,,1,0,286.6274973999243,2,0.6155281999381259,[],120,300,293.51090979995206,,-900,150,"['fMRI', 'EEG', 'MEG']",0,,20
,2,301.0127240999136,330,100,iowa_exp,,2,3,302.5452146999305,2,1.5324906000168994,"[301.678214799962, 301.97824099997524, 302.2791744999122]",120,300,308.5116530000232,,-800,150,"['fMRI', 'EEG', 'MEG']",0,,21
,2,316.01343209994957,330,100,iowa_exp,,0,1,316.87890999997035,2,0.8654779000207782,[316.62887659994885],120,300,323.51228259992786,,-700,150,"['fMRI', 'EEG', 'MEG']",0,,22
,2,331.014048299985,330,100,iowa_exp,,3,2,332.5144156999886,2,1.5003674000035971,"[331.81297869991977, 332.1963258999167]",120,300,338.5129160999786,,-600,150,"['fMRI', 'EEG', 'MEG']",0,,23
,2,346.04818009992596,330,100,iowa_exp,,2,3,347.51364399993327,2,1.4654639000073075,"[346.74698309996165, 346.9804012000095, 347.21376159996726]",120,300,353.54708960000426,,-500,150,"['fMRI', 'EEG', 'MEG']",0,,24
,2,361.04887709999457,330,100,iowa_exp,,0,1,362.0311358999461,2,0.9822587999515235,[361.7476456000004],120,300,368.54777649999596,,-1650,150,"['fMRI', 'EEG', 'MEG']",-1250,,25
,2,376.0495146999601,330,100,iowa_exp,,1,0,376.7485130999703,2,0.6989984000101686,[],120,300,383.5484953999985,,-1550,150,"['fMRI', 'EEG', 'MEG']",0,,26
,2,391.0502235000022,330,100,iowa_exp,,1,0,391.6823833999224,2,0.6321598999202251,[],120,300,398.54921059997287,,-1450,150,"['fMRI', 'EEG', 'MEG']",0,,27
,2,406.0509824999608,330,100,iowa_exp,,2,3,407.8166211999487,2,1.7656386999879032,"[406.73333840002306, 407.11642620002385, 407.48323160002474]",120,300,413.5499271999579,,-1350,150,"['fMRI', 'EEG', 'MEG']",0,,28
,2,421.0516729999799,330,100,iowa_exp,,1,0,421.78474859998096,2,0.7330756000010297,[],120,300,428.55061449995264,,-1250,150,"['fMRI', 'EEG', 'MEG']",0,,29
