ID,onset_win,offset_decks,dur_decks,offset_win,win,onset_decks,no,frames_after_decks,dur_win,n_moves,exp_type,total,frames_before_decks,rt_select,loss,deck_select,session,t_select,t_moves,dur_measured_decks,init_mark,condition
0141,11.474162500002421,,300,,100,0.987820600043051,1,330,120,3,fMRI,-150,150,2.8194383999798447,-250,1,1,3.8072590000228956,"[2.206851699971594, 2.8240868999855593, 3.2736933999694884]",,1,iowa_exp
0141,26.474577500019222,,300,,100,15.975475499988534,2,330,120,2,fMRI,-50,150,2.0821297999937087,0,2,1,18.057605299982242,"[17.057696199975908, 17.491044700029306]",,3,iowa_exp
0141,41.475267000030726,,300,,50,30.976137000019662,3,330,120,3,fMRI,0,150,2.3822909999871626,0,3,1,33.358428000006825,"[31.958382099983282, 32.375050400034525, 32.77506290003657]",,3,iowa_exp
0141,56.47591519996058,,300,,50,45.976908599957824,4,330,120,2,fMRI,50,150,2.4822495999978855,0,4,1,48.45915819995571,"[47.09250440006144, 47.60907909995876]",,1,iowa_exp
0141,71.49331669998355,,300,,100,60.977568999980576,5,330,120,1,fMRI,150,150,1.4154980999883264,0,2,1,62.3930670999689,[61.87650100002065],,0,iowa_exp
0141,86.49404450005386,,300,,100,75.99484910001047,6,330,120,3,fMRI,250,150,2.1323213999858126,0,2,1,78.12717049999628,"[76.79371910006739, 77.21051740006078, 77.61140259995591]",,2,iowa_exp
0141,101.49472309998237,,300,,100,90.99564129998907,7,330,120,3,fMRI,350,150,2.315589000005275,0,2,1,93.31123029999435,"[91.79470520000905, 92.19450950005557, 92.6444808000233]",,2,iowa_exp
0141,116.4954622000223,,300,,100,105.99632180004846,8,330,120,1,fMRI,450,150,2.19893770001363,0,2,1,108.1952595000621,[107.09526410000399],,0,iowa_exp
0141,131.4961141999811,,300,,100,120.99702010001056,9,330,120,2,fMRI,550,150,2.0822958999779075,0,2,1,123.07931599998847,"[121.87923109997064, 122.37930679996498]",,3,iowa_exp
0141,146.49686720001046,,300,,100,135.9978063000599,10,330,120,3,fMRI,-600,150,2.448823699960485,-1250,2,1,138.44663000002038,"[136.86332400003448, 137.3633590999525, 137.84675809997134]",,2,iowa_exp
0141,161.49753699998837,,300,,50,150.99841680005193,11,330,120,6,fMRI,-600,150,4.499126899987459,-50,3,1,155.4975437000394,"[151.76400169997942, 152.26485949999187, 152.93071990006138, 154.1140427000355, 154.53105270001106, 154.94741999998223]",,0,iowa_exp
0141,176.49823939998168,,300,,50,165.99916670005769,12,330,120,0,fMRI,-550,150,1.4989236999535933,0,4,1,167.49809040001128,[],,3,iowa_exp
0141,191.49896450003143,,300,,50,180.99985450005624,13,330,120,2,fMRI,-750,150,1.665654799900949,-250,4,1,182.6655092999572,"[181.66558040003292, 182.099611200043]",,1,iowa_exp
0141,206.49978249997366,,300,,100,196.00055050000083,14,330,120,1,fMRI,-900,150,1.8160662000300363,-250,1,1,197.81661670003086,[196.6994107000064],,3,iowa_exp
0141,221.50039880000986,,300,,50,211.00129970000125,15,330,120,0,fMRI,-850,150,1.2489074000623077,0,3,1,212.25020710006356,[],,2,iowa_exp
0141,236.5010481000645,,300,,50,226.00203259999398,16,330,120,0,fMRI,-850,150,1.932225800002925,-50,3,1,227.9342583999969,[],,2,iowa_exp
0141,251.50179110001773,,300,,100,241.0027733000461,17,330,120,3,fMRI,-750,150,2.298875499982387,0,2,1,243.3016488000285,"[241.66835599998012, 242.16820099996403, 242.63498810003512]",,2,iowa_exp
0141,266.5026702999603,,300,,100,256.0034287000308,18,330,120,3,fMRI,-650,150,2.8489678000332788,0,2,1,258.85239650006406,"[257.21924150001723, 257.70359649998136, 258.20233400003053]",,2,iowa_exp
0141,281.5032197999535,,300,,50,271.0042284000665,19,330,120,3,fMRI,-650,150,3.0158006999408826,-50,3,1,274.0200291000074,"[272.303040000028, 272.75306909997016, 273.16988449997734]",,3,iowa_exp
