offset_win,session,onset_decks,frames_before_decks,win,condition,offset_decks,init_mark,n_moves,t_select,deck_select,rt_select,t_moves,dur_win,dur_decks,onset_win,ID,total,frames_after_decks,exp_type,loss,dur_measured_decks,no
,3,0.9988354999804869,150,100,iowa_exp,,0,1,3.581328699947335,2,2.582493199966848,[2.7646729999687523],120,300,11.481440300005488,,100,330,"['fMRI', 'EEG', 'MEG']",0,,1
,3,15.983085299958475,150,100,iowa_exp,,3,2,17.298599599977024,2,1.315514300018549,"[16.66535419994034, 17.032010899973102]",120,300,26.482152199954726,,200,330,"['fMRI', 'EEG', 'MEG']",0,,2
,3,31.000569099909626,150,100,iowa_exp,,1,3,32.76626279996708,1,1.7656937000574544,"[31.616021999972872, 31.9326943999622, 32.332696400000714]",120,300,41.49952099996153,,300,330,"['fMRI', 'EEG', 'MEG']",0,,3
,3,46.0014446999412,150,100,iowa_exp,,1,3,47.70004419994075,1,1.6985994999995455,"[46.683551499969326, 46.98338899994269, 47.38342919992283]",120,300,56.50028699997347,,400,330,"['fMRI', 'EEG', 'MEG']",0,,4
,3,61.00237709993962,150,100,iowa_exp,,2,2,62.267637399956584,1,1.265260300016962,"[61.66741809993982, 61.96740650001448]",120,300,71.5009683999233,,500,330,"['fMRI', 'EEG', 'MEG']",0,,5
,3,76.00265599996783,150,100,iowa_exp,,1,3,77.50226669991389,1,1.4996106999460608,"[76.70141559990589, 76.96818219998386, 77.21892859996296]",120,300,86.50162459991407,,350,330,"['fMRI', 'EEG', 'MEG']",-250,,6
,3,91.0033240999328,150,50,iowa_exp,,3,3,92.41883919993415,3,1.4155151000013575,"[91.48545579996426, 91.86874569999054, 92.13569429994095]",120,300,101.50243759993464,,350,330,"['fMRI', 'EEG', 'MEG']",-50,,7
,3,106.0038505999837,150,50,iowa_exp,,0,2,107.11957430001348,3,1.1157237000297755,"[106.58704759995453, 106.91951339994557]",120,300,116.5030906999018,,400,330,"['fMRI', 'EEG', 'MEG']",0,,8
,3,121.00473199994303,150,50,iowa_exp,,2,0,121.95353960001376,3,0.9488076000707224,[],120,300,131.50378729996737,,400,330,"['fMRI', 'EEG', 'MEG']",-50,,9
,3,136.0055873999372,150,50,iowa_exp,,2,0,137.10431129997596,3,1.098723900038749,[],120,300,146.50455579999834,,450,330,"['fMRI', 'EEG', 'MEG']",0,,10
,3,151.0062556999037,150,50,iowa_exp,,0,2,152.3051329998998,3,1.298877299996093,"[151.73843379993923, 152.03879009990487]",120,300,161.50529010000173,,450,330,"['fMRI', 'EEG', 'MEG']",-50,,11
,3,166.00686859991401,150,50,iowa_exp,,0,2,167.65663209999911,3,1.6497635000851005,"[167.139050400001, 167.40569389995653]",120,300,176.50610509992111,,500,330,"['fMRI', 'EEG', 'MEG']",0,,12
,3,181.0075843000086,150,50,iowa_exp,,1,1,181.90644339995924,3,0.8988590999506414,[181.6231364000123],120,300,191.50662759994157,,500,330,"['fMRI', 'EEG', 'MEG']",-50,,13
,3,196.0082706999965,150,50,iowa_exp,,3,0,197.89052229991648,4,1.8822515999199823,[],120,300,206.50737199990544,,550,330,"['fMRI', 'EEG', 'MEG']",0,,14
,3,211.00895869999658,150,50,iowa_exp,,1,2,212.574482099968,4,1.5655233999714255,"[211.724706399953, 212.02471279993188]",120,300,221.5080569999991,,600,330,"['fMRI', 'EEG', 'MEG']",0,,15
,3,226.00991859997157,150,50,iowa_exp,,2,0,226.89184079994448,3,0.8819221999729052,[],120,300,236.50878359994385,,600,330,"['fMRI', 'EEG', 'MEG']",-50,,16
,3,241.01035799994133,150,50,iowa_exp,,0,2,242.12595759995747,3,1.1155996000161394,"[241.64253009995446, 241.92600999993738]",120,300,251.5094734999584,,600,330,"['fMRI', 'EEG', 'MEG']",-50,,17
,3,256.01115869998466,150,50,iowa_exp,,3,3,258.3267488999991,3,2.3155902000144124,"[257.2109375, 257.56003239995334, 257.84339960000943]",120,300,266.5103187999921,,600,330,"['fMRI', 'EEG', 'MEG']",-50,,18
,3,271.0118094999343,150,50,iowa_exp,,1,1,271.94401869992726,3,0.9322091999929398,[271.6116524999961],120,300,281.5110372999916,,650,330,"['fMRI', 'EEG', 'MEG']",0,,19
,3,286.012534199981,150,50,iowa_exp,,2,0,287.7781746999826,3,1.7656405000016093,[],120,300,296.5116341999965,,700,330,"['fMRI', 'EEG', 'MEG']",0,,20
