total,onset_decks,frames_before_decks,dur_measured_decks,onset_win,ID,no,offset_decks,deck_select,frames_after_decks,win,t_select,rt_select,dur_decks,offset_win,session,condition,init_mark,loss,exp_type,dur_win,n_moves,t_moves
-150,1.0010148999863304,150,,11.482113599951845,,1,,1,330,100,3.7319455999531783,2.730930699966848,300,,3,iowa_exp,0,-250,"['fMRI', 'EEG', 'MEG']",120,0,[]
-50,15.983726599952206,150,,26.48283359996276,,2,,2,330,100,16.799248799972702,0.8155222000204958,300,,3,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
50,30.984441999986302,150,,41.483502999995835,,3,,2,330,100,33.35004910000134,2.3656071000150405,300,,3,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,3,"[32.083291099988855, 32.483294099976774, 32.84996629995294]"
100,46.01855969999451,150,,56.51760219997959,,4,,4,330,50,47.38399079994997,1.3654310999554582,300,,3,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[46.767348999972455]
150,61.019260599976406,150,,71.51827129995218,,5,,4,330,50,62.50139799999306,1.4821374000166543,300,,3,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[61.66806539997924, 62.05150579998735]"
200,76.01994319999358,150,,86.51901479996741,,6,,4,330,50,77.58546149998438,1.5655182999907993,300,,3,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[76.75213280000025, 77.11882659996627]"
250,91.02055499999551,150,,101.51970019994769,,7,,4,330,50,91.98616729996866,0.9656122999731451,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
300,106.02135509997606,150,,116.52048029995058,,8,,4,330,50,107.6370074999868,1.615652400010731,300,,3,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[106.98701609997079]
350,121.02211349998834,150,,131.52113359997747,,9,,4,330,50,123.45428959996207,2.4321760999737307,300,,3,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[122.00428999995347, 122.52180039999075, 122.98756320000393]"
400,136.0227732999483,150,,146.52178429998457,,10,,4,330,50,137.42163379996782,1.3988605000195093,300,,3,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[136.85495869995793]
