total,onset_decks,frames_before_decks,dur_measured_decks,onset_win,ID,no,offset_decks,deck_select,frames_after_decks,win,t_select,rt_select,dur_decks,offset_win,session,condition,init_mark,loss,exp_type,dur_win,n_moves,t_moves
450,151.02356159995543,150,,161.5224959999905,,11,,4,330,50,153.58986789995106,2.566306299995631,300,,3,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[152.7890386999934, 153.18907480000053]"
250,166.02410249999957,150,,176.52313859999413,,12,,4,330,50,169.7399693999905,3.7158668999909423,300,,3,iowa_exp,0,-250,"['fMRI', 'EEG', 'MEG']",120,3,"[167.7396490999963, 168.88979459996335, 169.30653569998685]"
350,181.0246824999922,150,,191.5239781999844,,13,,2,330,100,182.1404006999801,1.1157181999878958,300,,3,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[181.72370159998536]
450,196.02558689995203,150,,206.52465009997832,,14,,2,330,100,197.6410765000037,1.61548960005166,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,2,"[196.69107899995288, 197.12446679995628]"
550,211.02629049995448,150,,221.5253463999834,,15,,2,330,100,215.75870029994985,4.7324097999953665,300,,3,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,3,"[214.25881899998058, 214.69194729998708, 215.17525149998255]"
600,226.02695079997648,150,,236.5260774999624,,16,,4,330,50,227.95930149999913,1.9323507000226527,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,4,"[226.55913919996237, 227.05912140000146, 227.3257622999954, 227.5594073999673]"
650,241.02773689996684,150,,251.52678580000065,,17,,4,330,50,241.99342879996402,0.9656918999971822,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
700,256.02836429997114,150,,266.5274484999827,,18,,4,330,50,257.14389879995724,1.1155344999860972,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
750,271.02911899995524,150,,281.528188199969,,19,,4,330,50,271.86123039998347,0.832111400028225,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
800,286.0297850999632,150,,296.5289229999762,,20,,4,330,50,287.3619714999804,1.3321864000172354,300,,3,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[286.79542159999255]
850,301.03053649998037,150,,311.5297632999718,,21,,4,330,50,303.24626569997054,2.2157291999901645,300,,3,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[301.7460132999695, 302.1628612999921, 302.67933159996755]"
900,316.0312556999852,150,,326.5302866999991,,22,,4,330,50,317.23012679995736,1.1988710999721661,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
950,331.031966599985,150,,341.5308357999893,,23,,4,330,50,332.0806816999684,1.048715099983383,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
1000,346.066019699967,150,,356.5650395999546,,24,,4,330,50,347.33156669995515,1.2655469999881461,300,,3,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[346.8148245999473]
1050,361.0666454999591,150,,371.5657482999959,,25,,4,330,50,362.9322964999592,1.8656510000000708,300,,3,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[361.54886389995227, 361.99884639994707, 362.41556529997615]"
1100,376.06737139995676,150,,386.56655719998525,,26,,4,330,50,377.5162448999472,1.448873499990441,300,,3,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[376.71626889996696, 377.09961749997456]"
1150,391.06811059999745,150,,401.5672098999494,,27,,4,330,50,393.200277899974,2.1321672999765724,300,,3,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[391.7335589999566, 392.1836690999917, 392.5838120999979]"
1200,406.0687748999917,150,,416.56778250000207,,28,,4,330,50,407.5177170999814,1.4489421999896877,300,,3,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[406.6676533999853, 407.06774809997296]"
1250,421.06951239996124,150,,431.56860479997704,,29,,4,330,50,421.9350645999657,0.8655522000044584,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
1300,436.07016519998433,150,,446.56928649998736,,30,,4,330,50,437.4525410999777,1.3823758999933489,300,,3,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[436.8023568999488]
1100,451.0709144999855,150,,461.5700074999477,,31,,4,330,50,452.2864741999656,1.2155596999800764,300,,3,iowa_exp,2,-250,"['fMRI', 'EEG', 'MEG']",120,1,[451.7031945999479]
-50,466.07161939999787,150,,476.5706951000029,,32,,2,330,100,467.17036729998654,1.0987478999886662,300,,3,iowa_exp,0,-1250,"['fMRI', 'EEG', 'MEG']",120,1,[466.65401079994626]
50,481.07234569999855,150,,491.5715820000041,,33,,2,330,100,482.53793399996357,1.4655882999650203,300,,3,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[481.9545789999538]
150,496.0730567999999,150,,506.5721191999619,,34,,2,330,100,496.93859320000047,0.8655364000005648,300,,3,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
250,511.0737566999742,150,,521.5728523999569,,35,,2,330,100,512.2726641999907,1.198907500016503,300,,3,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
300,526.0744968999643,150,,536.5736736999825,,36,,4,330,50,527.0236257999786,0.9491289000143297,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
350,541.0751922999625,150,,551.5742587999557,,37,,4,330,50,542.974086000002,1.8988937000394799,300,,3,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[541.8407299999963, 542.2074562999769, 542.5074394999538]"
400,556.075868999993,150,,566.5750039999839,,38,,4,330,50,557.2581090999884,1.182240099995397,300,,3,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[556.8247254999587]
450,571.0765962000005,150,,581.5757156999898,,39,,4,330,50,572.6255718999892,1.5489756999886595,300,,3,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[571.792163599981, 572.1754607999464]"
500,586.0773909999989,150,,596.5764194999938,,40,,4,330,50,586.8928961999482,0.8155051999492571,300,,3,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
