total,onset_decks,frames_before_decks,dur_measured_decks,onset_win,ID,no,offset_decks,deck_select,frames_after_decks,win,t_select,rt_select,dur_decks,offset_win,session,condition,init_mark,loss,exp_type,dur_win,n_moves,t_moves
50,0.993168200016953,150,,11.484948099998292,,1,,4,330,50,1.9043079999973997,0.9111397999804467,300,,1,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
100,15.986532200011425,150,,26.48559340002248,,2,,4,330,50,18.135498100018594,2.1489659000071697,300,,1,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[16.75206030003028, 17.202206600049976, 17.6688492000103]"
-100,30.987163900048472,150,,41.48631170002045,,3,,4,330,50,31.936122100043576,0.9489581999951042,300,,1,iowa_exp,3,-250,"['fMRI', 'EEG', 'MEG']",120,0,[]
-50,45.98797660000855,150,,56.487063500040676,,4,,4,330,50,47.90350890002446,1.9155323000159115,300,,1,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
-200,60.98851590004051,150,,71.50439090002328,,5,,1,330,100,63.17098650004482,2.182470600004308,300,,1,iowa_exp,1,-250,"['fMRI', 'EEG', 'MEG']",120,3,"[61.887468500004616, 62.30426400003489, 62.654210500011686]"
-350,76.00603520002915,150,,86.50508690002607,,6,,1,330,100,78.521815300046,2.5157801000168547,300,,1,iowa_exp,0,-250,"['fMRI', 'EEG', 'MEG']",120,0,[]
-250,91.00674640003126,150,,101.50578659999883,,7,,2,330,100,93.22283939999761,2.2160929999663495,300,,1,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
-200,106.00744570000097,150,,116.50651340000331,,8,,4,330,50,108.82312539999839,2.8156796999974176,300,,1,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[108.20630740001798]
-100,121.00817770004505,150,,131.5072407000116,,9,,2,330,100,122.45706919999793,1.4488914999528788,300,,1,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[121.8402981000254]
0,136.0088895999943,150,,146.50795679999283,,10,,2,330,100,137.70799030002672,1.6991007000324316,300,,1,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[137.09111630002735]
100,151.00957049999852,150,,161.50865760003217,,11,,2,330,100,153.2251949000056,2.215624400007073,300,,1,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
200,166.01029300002847,150,,176.5093962000101,,12,,2,330,100,167.39250180003,1.3822088000015356,300,,1,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[166.759135100001]
250,181.01097030000528,150,,191.5100792000303,,13,,4,330,50,182.32656950003002,1.3155992000247352,300,,1,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[181.75985190004576]
300,196.01175590005005,150,,206.5109100000118,,14,,4,330,50,197.2438938000123,1.2321378999622539,300,,1,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
400,211.0123824000475,150,,221.51158150000265,,15,,2,330,100,211.96131770004285,0.9489352999953553,300,,1,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
450,226.01316590001807,150,,236.51227510004537,,16,,4,330,50,227.2286147000268,1.215448800008744,300,,1,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
500,241.01379729999462,150,,251.51289120002184,,17,,4,330,50,242.1793808999937,1.1655835999990813,300,,1,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
550,256.0145031000138,150,,266.51365470001474,,18,,4,330,50,257.7302144000423,1.715711300028488,300,,1,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[257.1632987000048]
350,271.01526210003067,150,,281.51434390002396,,19,,4,330,50,272.14744020003127,1.1321781000006013,300,,1,iowa_exp,3,-250,"['fMRI', 'EEG', 'MEG']",120,0,[]
400,286.0159619000042,150,,296.51509940001415,,20,,3,330,50,289.04887170001166,3.0329098000074737,300,,1,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
400,301.0166752000223,150,,311.51588640001137,,21,,3,330,50,303.4657646000269,2.4490894000045955,300,,1,iowa_exp,3,-50,"['fMRI', 'EEG', 'MEG']",120,3,"[302.0489128000336, 302.5324590000091, 302.93249770003604]"
500,316.01738810003735,150,,326.51651929999935,,22,,1,330,100,318.8162963000359,2.79890819999855,300,,1,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,2,"[317.366364800022, 317.84963609999977]"
600,331.01801910001086,150,,341.51716710004257,,23,,1,330,100,333.50040140002966,2.4823823000187986,300,,1,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,2,"[332.31696760002524, 332.80036410002504]"
700,346.0188237000257,150,,356.51787909999257,,24,,1,330,100,347.18446170003153,1.1656380000058562,300,,1,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
550,361.036240400048,150,,371.5354502000264,,25,,1,330,100,363.10180890001357,2.065568499965593,300,,1,iowa_exp,0,-250,"['fMRI', 'EEG', 'MEG']",120,0,[]
600,376.03691470000194,150,,386.5360140000121,,26,,3,330,50,378.75254130002577,2.7156266000238247,300,,1,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,2,"[377.20242990000406, 377.73582709999755]"
-550,391.0376126000192,150,,401.53719689999707,,27,,2,330,100,394.08656170003815,3.0489491000189446,300,,1,iowa_exp,3,-1250,"['fMRI', 'EEG', 'MEG']",120,2,"[392.31975980004063, 393.35314300004393]"
-700,406.03834600001574,150,,416.5373831000179,,28,,,330,100,,,300,,1,iowa_exp,1,-250,"['fMRI', 'EEG', 'MEG']",120,3,"[408.0039355000481, 409.83832620002795, 410.3044415000477]"
-600,421.03900550003164,150,,431.5380850000074,,29,,1,330,100,424.05468060000567,3.0156750999740325,300,,1,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,2,"[422.30458180001006, 423.75475990003906]"
-500,436.039716600033,150,,446.53883830003906,,30,,1,330,100,438.30537770001683,2.265661099983845,300,,1,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,2,"[436.8720537000336, 437.5063760000048]"
-650,451.04043779999483,150,,461.539556200034,,31,,1,330,100,453.42272400000365,2.3822862000088207,300,,1,iowa_exp,2,-250,"['fMRI', 'EEG', 'MEG']",120,2,"[452.10689270001603, 452.7726331000449]"
-650,466.04120590002276,150,,476.5402358000283,,32,,3,330,50,470.8735391999944,4.832333299971651,300,,1,iowa_exp,1,-50,"['fMRI', 'EEG', 'MEG']",120,1,[469.02352740004426]
-550,481.041889300046,150,,491.54106290003983,,33,,2,330,100,485.3408287000493,4.298939400003292,300,,1,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,2,"[483.89082770003006, 484.5907975000446]"
-550,496.04256450000685,150,,506.54163520003203,,34,,3,330,50,499.1085328000481,3.065968300041277,300,,1,iowa_exp,0,-50,"['fMRI', 'EEG', 'MEG']",120,2,"[497.57486930000596, 498.34145060001174]"
-500,511.0432643000386,150,,521.5423740000115,,35,,4,330,50,513.8266785000451,2.7834142000065185,300,,1,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[512.3090816000476, 513.2421405000496]"
-400,526.0441336000222,150,,536.5430921000079,,36,,2,330,100,530.0263742000097,3.9822405999875627,300,,1,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[528.6929304000223]
-300,541.0447624000371,150,,551.5438057000283,,37,,2,330,100,543.7602748000063,2.715512399969157,300,,1,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,1,[542.4600318000303]
-250,556.045652300003,150,,566.5444503000472,,38,,,330,50,,,300,,1,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[560.7277192000183]
