onset_decks,dur_decks,frames_after_decks,deck_select,t_moves,rt_select,dur_win,offset_win,condition,init_mark,ID,dur_measured_decks,loss,offset_decks,session,exp_type,t_select,frames_before_decks,total,n_moves,win,no,onset_win
1.0743009999860078,300,330,1,"[2.043697700020857, 2.543382399948314, 2.926720799994655]",2.2191812000237405,120,,iowa_exp,1,142,,0,,3,fMRI,3.2934822000097483,150,100,3,100,1,11.560221199993975
16.061876199906692,300,330,2,[16.727377299917862],1.4989232000662014,120,,iowa_exp,0,142,,0,,3,fMRI,17.560799399972893,150,200,1,100,2,26.5609201999614
31.06258219992742,300,330,3,[31.76145769993309],1.5323279000585899,120,,iowa_exp,1,142,,0,,3,fMRI,32.59491009998601,150,250,1,50,3,41.561698099947535
46.08000949991401,300,330,4,[46.928819899912924],1.6490218000253662,120,,iowa_exp,2,142,,0,,3,fMRI,47.72903129993938,150,300,1,50,4,56.57901380001567
61.080630799988285,300,330,4,[],1.2155715000117198,120,,iowa_exp,3,142,,0,,3,fMRI,62.296202300000004,150,350,0,50,5,71.57977399998344
76.0813587999437,300,330,3,"[76.66359689994715, 76.94690460001584]",1.8322600000537932,120,,iowa_exp,0,142,,0,,3,fMRI,77.9136187999975,150,400,2,50,6,86.58042199991178
91.08201619994361,300,330,2,"[91.49766330001876, 92.14755399990827]",2.733181199990213,120,,iowa_exp,3,142,,0,,3,fMRI,93.81519739993382,150,500,2,100,7,101.5811965999892
106.08297569991555,300,330,3,"[106.63170689996332, 107.0152589000063, 107.36495289998129, 107.83167139999568]",2.3320673000998795,120,,iowa_exp,2,142,,-50,,3,fMRI,108.41504300001543,150,500,4,50,8,116.58191629999783
121.08376660000067,300,330,2,"[121.63236059993505, 122.08244329993613, 122.53248129994608]",1.9322551999939606,120,,iowa_exp,2,142,,-1250,,3,fMRI,123.01602179999463,150,-650,3,100,9,131.5826425999403
136.084375299979,300,330,1,[],3.0821313000051305,120,,iowa_exp,0,142,,-250,,3,fMRI,139.16650659998413,150,-800,0,100,10,146.58330109994859
