total,frames_before_decks,win,init_mark,frames_after_decks,deck_select,dur_decks,loss,no,session,rt_select,exp_type,dur_win,onset_win,offset_win,condition,offset_decks,t_select,ID,onset_decks,n_moves,t_moves,dur_measured_decks
50,330,50,1,150,3,300,0,1,2,1.9602185999974608,"['fMRI', 'EEG', 'MEG']",120,8.479566099995282,,iowa_exp,,2.962949500011746,,1.002730900014285,1,[2.4128477000049315],
-100,330,100,1,150,1,300,-250,2,2,1.9655791000113823,"['fMRI', 'EEG', 'MEG']",120,23.480294200009666,,iowa_exp,,17.946927800017875,,15.981348700006492,3,"[16.897088299971074, 17.196858000010252, 17.546969999966677]",
0,330,100,2,150,2,300,0,3,2,1.965619099966716,"['fMRI', 'EEG', 'MEG']",120,38.481013100012206,,iowa_exp,,32.94771659997059,,30.982097500003874,3,"[31.69773819996044, 32.265088799991645, 32.5809697000077]",
50,330,50,3,150,4,300,0,4,2,1.0155601999722421,"['fMRI', 'EEG', 'MEG']",120,53.49842029996216,,iowa_exp,,46.99830859998474,,45.9827484000125,0,[],
150,330,100,0,150,2,300,0,5,2,1.4323909999802709,"['fMRI', 'EEG', 'MEG']",120,68.49909619998652,,iowa_exp,,62.43250429996988,,61.00011329998961,1,[61.765680100012105],
200,330,50,2,150,4,300,0,6,2,1.3487933999858797,"['fMRI', 'EEG', 'MEG']",120,83.49978820001706,,iowa_exp,,77.34975080000004,,76.00095740001416,1,[76.79997240001103],
250,330,50,1,150,4,300,0,7,2,1.5822185999713838,"['fMRI', 'EEG', 'MEG']",120,98.5005296000163,,iowa_exp,,92.58388419996481,,91.00166559999343,2,"[91.73379969998496, 92.16711989999749]",
-900,330,100,1,150,2,300,-1250,8,2,0.9319677000166848,"['fMRI', 'EEG', 'MEG']",120,113.50124339998001,,iowa_exp,,106.9345393999829,,106.00257169996621,0,[],
-900,330,50,0,150,3,300,-50,9,2,1.71544040000299,"['fMRI', 'EEG', 'MEG']",120,128.50182100001257,,iowa_exp,,122.7186469999724,,121.00320659996942,2,"[121.96853820001706, 122.35193249996519]",
-800,330,100,2,150,1,300,0,10,2,2.11553329997696,"['fMRI', 'EEG', 'MEG']",120,143.50264049996622,,iowa_exp,,138.1192934999708,,136.00376019999385,2,"[136.5358790999744, 137.65267939999467]",
-750,330,50,2,150,4,300,0,11,2,1.8656999999657273,"['fMRI', 'EEG', 'MEG']",120,158.5033851999906,,iowa_exp,,152.87008039996726,,151.00438040000154,1,[152.436652400007],
-700,330,50,0,150,4,300,0,12,2,2.14887210004963,"['fMRI', 'EEG', 'MEG']",120,173.5041077999631,,iowa_exp,,168.15405040001497,,166.00517829996534,3,"[166.70496100001037, 167.10406809998676, 167.75397829996655]",
-600,330,100,1,150,2,300,0,13,2,1.032454299973324,"['fMRI', 'EEG', 'MEG']",120,188.50479510001605,,iowa_exp,,182.0382342999801,,181.00578000000678,0,[],
