ID,onset_win,offset_decks,dur_decks,offset_win,win,onset_decks,no,frames_after_decks,dur_win,n_moves,exp_type,total,frames_before_decks,rt_select,loss,deck_select,session,t_select,t_moves,dur_measured_decks,init_mark,condition
0141,8.474928300012834,,300,,50,0.995915099978447,1,150,120,2,fMRI,50,330,1.7290662999730557,0,3,4,2.7249813999515027,"[1.8415970000205562, 2.241672100033611]",,0,iowa_exp
0141,23.475687199970707,,300,,50,15.976771399960853,2,150,120,3,fMRI,100,330,2.34888599999249,0,3,4,18.325657399953343,"[17.009201899985783, 17.408899400033988, 17.808945899945684]",,3,iowa_exp
0141,38.50976389995776,,300,,50,31.01110110001173,3,150,120,0,fMRI,150,330,0.9152353999670595,0,3,4,31.926336499978788,[],,2,iowa_exp
0141,53.510448599932715,,300,,50,46.01155669998843,4,150,120,3,fMRI,150,330,2.1489351999480277,-50,3,4,48.16049189993646,"[46.793665000004694, 47.24372709996533, 47.66045129997656]",,3,iowa_exp
0141,68.51118169992696,,300,,50,61.01223280001432,5,150,120,2,fMRI,200,330,2.215595099958591,0,3,4,63.22782789997291,"[61.86098909995053, 62.361147099989466]",,0,iowa_exp
0141,83.5118996000383,,300,,50,76.01293790002819,6,150,120,3,fMRI,200,330,2.1655784999020398,-50,3,4,78.17851639993023,"[76.77844559994992, 77.2118639999535, 77.64515829994343]",,3,iowa_exp
0141,98.51254000002518,,300,,50,91.01366810000036,7,150,120,2,fMRI,200,330,1.53312979999464,-50,3,4,92.546797899995,"[91.62913509993814, 92.02926789992489]",,0,iowa_exp
0141,113.51330649992451,,300,,100,106.014362399932,8,150,120,0,fMRI,300,330,0.6489118000026792,0,2,4,106.66327419993468,[],,1,iowa_exp
0141,128.51398269995116,,300,,50,121.01512779993936,9,150,120,0,fMRI,350,330,0.9655426000244915,0,3,4,121.98067039996386,[],,2,iowa_exp
0141,143.51468599995133,,300,,50,136.0157607999863,10,150,120,2,fMRI,350,330,2.132253500050865,-50,3,4,138.14801430003718,"[136.91470039996784, 137.46475039992947]",,0,iowa_exp
0141,158.51540419994853,,300,,50,151.01646980002988,11,150,120,2,fMRI,400,330,1.9991607998963445,0,3,4,153.01563059992623,"[151.73202520003542, 152.39863640000112]",,0,iowa_exp
0141,173.51614670001436,,300,,50,166.01717879995704,12,150,120,3,fMRI,400,330,2.3990187000017613,-50,3,4,168.4161974999588,"[166.91613289993256, 167.43279240000993, 167.8830311000347]",,3,iowa_exp
0141,188.5167837999761,,300,,50,181.01787340000737,13,150,120,3,fMRI,400,330,2.715716299950145,-50,3,4,183.73358969995752,"[181.6668217999395, 182.68347479996737, 183.083615200012]",,3,iowa_exp
0141,203.5175488999812,,300,,50,196.0186000999529,14,150,120,0,fMRI,450,330,1.0488179000094533,0,3,4,197.06741799996234,[],,2,iowa_exp
0141,218.51824879995547,,300,,50,211.01932079996914,15,150,120,3,fMRI,500,330,2.232230299967341,0,3,4,213.25155109993648,"[211.818974899943, 212.26817439997103, 212.68486959999427]",,3,iowa_exp
0141,233.51892679999582,,300,,50,226.02009799994994,16,150,120,1,fMRI,550,330,1.2654144000262022,0,3,4,227.28551239997614,[226.78556739992928],,1,iowa_exp
0141,248.5198375999462,,300,,50,241.02089429995976,17,150,120,1,fMRI,550,330,1.1320914999814704,-50,3,4,242.15298579994123,[241.5862464000238],,1,iowa_exp
0141,263.5203867999371,,300,,50,256.0214400999248,18,150,120,3,fMRI,550,330,2.3322404000209644,-50,3,4,258.35368049994577,"[256.8045069000218, 257.30462890001945, 257.7872211999493]",,3,iowa_exp
0141,278.5210781999631,,300,,50,271.02229460002854,19,150,120,1,fMRI,600,330,1.2654088999843225,0,3,4,272.28770350001287,[271.804350099992],,1,iowa_exp
0141,293.5217958999565,,300,,50,286.0230227999855,20,150,120,2,fMRI,650,330,1.5996395000256598,0,3,4,287.62266230001114,"[286.57260549999774, 287.02184179995675]",,0,iowa_exp
0141,308.522425299976,,300,,50,301.0237732999958,21,150,120,0,fMRI,700,330,0.9488568999804556,0,3,4,301.97263019997627,[],,2,iowa_exp
0141,323.52320940000936,,300,,50,316.02447539998684,22,150,120,0,fMRI,750,330,0.999108099960722,0,3,4,317.02358349994756,[],,2,iowa_exp
0141,338.55726449994836,,300,,50,331.0582767999731,23,150,120,3,fMRI,750,330,1.899015299975872,-50,3,4,332.957292099949,"[331.8072097999975, 332.2238156000385, 332.54061579995323]",,3,iowa_exp
0141,353.5579812999349,,300,,50,346.05902960000094,24,150,120,2,fMRI,750,330,1.6989360000006855,-50,3,4,347.7579656000016,"[346.69120040000416, 347.15790550003294]",,0,iowa_exp
0141,368.5586809000233,,300,,50,361.05974749999586,25,150,120,0,fMRI,750,330,0.8821885000215843,-50,3,4,361.94193600001745,[],,2,iowa_exp
0141,383.559394699987,,300,,50,376.06044499995187,26,150,120,1,fMRI,750,330,1.0989030000055209,-50,3,4,377.1593479999574,[376.69261309993453],,1,iowa_exp
0141,398.56014880002476,,300,,50,391.06117160001304,27,150,120,2,fMRI,800,330,1.56550539995078,0,3,4,392.6266769999638,"[391.69336909998674, 392.12670819996856]",,0,iowa_exp
0141,413.56084299995564,,300,,50,406.06193840003107,28,150,120,2,fMRI,800,330,1.748838200001046,-50,3,4,407.8107766000321,"[406.794073499972, 407.2607743999688]",,0,iowa_exp
0141,428.56154539994895,,300,,50,421.06250889995135,29,150,120,1,fMRI,800,330,1.1489995000883937,-50,3,4,422.21150840003975,[421.66140530002303],,1,iowa_exp
0141,443.56224110000767,,300,,50,436.0632694000378,30,150,120,2,fMRI,850,330,1.5322939999168739,0,3,4,437.5955633999547,"[436.6787617999362, 437.112209099927]",,0,iowa_exp
0141,458.5630469999742,,300,,50,451.0639869000297,31,150,120,1,fMRI,900,330,1.415633299970068,0,3,4,452.4796201999998,[451.96292099996936],,1,iowa_exp
0141,473.5636953000212,,300,,50,466.0646981999744,32,150,120,2,fMRI,900,330,1.4655558000085875,-50,3,4,467.53025399998296,"[466.7135909999488, 467.11359780002385]",,0,iowa_exp
