total,onset_decks,frames_before_decks,dur_measured_decks,onset_win,ID,no,offset_decks,deck_select,frames_after_decks,win,t_select,rt_select,dur_decks,offset_win,session,condition,init_mark,loss,exp_type,dur_win,n_moves,t_moves
50,0.9899934999994002,330,,8.471768899995368,,1,,4,150,50,1.838453100004699,0.8484596000052989,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
100,15.973562100029085,330,,23.472499400028028,,2,,4,150,50,17.92247920000227,1.9489170999731869,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[16.656516100047156, 17.07244850002462, 17.48905630002264]"
150,30.974276099994313,330,,38.48987340001622,,3,,4,150,50,32.28981690004002,1.31554080004571,300,,4,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[31.589780000038445, 31.90650540002389]"
-50,45.99161100003403,330,,53.4905697000213,,4,,4,150,50,48.2740022999933,2.282391299959272,300,,4,iowa_exp,0,-250,"['fMRI', 'EEG', 'MEG']",120,3,"[46.65724880003836, 46.990458900050726, 47.65715899999486]"
50,60.99237590003759,330,,68.49128810002003,,5,,2,150,100,62.9913376000477,1.9989617000101134,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,2,"[62.191327600041404, 62.57458100002259]"
150,75.99305069999536,330,,83.49197910004295,,6,,2,150,100,77.52582910005003,1.5327784000546671,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,2,"[76.65867440000875, 77.00859550002497]"
200,90.9935717000044,330,,98.49271140003111,,7,,4,150,50,92.02609030000167,1.0325185999972746,300,,4,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[91.65929370000958]
250,105.99446130002616,330,,113.49344039999414,,8,,4,150,50,107.7600704000215,1.7656090999953449,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[106.6933053000248, 106.99339250003686, 107.29388350003865]"
300,120.99516630003927,330,,128.49412240000675,,9,,4,150,50,122.39393520000158,1.398768899962306,300,,4,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[121.71122390002711, 122.02773630002048]"
350,135.9958184999996,330,,143.494834800018,,10,,4,150,50,136.82798699999694,0.8321684999973513,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
150,150.996586400026,330,,158.49555340001825,,11,,4,150,50,152.44635690003633,1.4497705000103451,300,,4,iowa_exp,1,-250,"['fMRI', 'EEG', 'MEG']",120,2,"[151.74546580004971, 152.1287521000486]"
200,165.9973164999974,330,,173.4962702000048,,12,,4,150,50,167.762942500005,1.7656260000076145,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[166.69705560000148, 167.04615460004425, 167.37952090002364]"
250,180.9979819,330,,188.49697249999736,,13,,4,150,50,182.8469546000124,1.8489727000123821,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[181.64691450004466, 181.99701890000142, 182.3135766000487]"
300,195.9986854000017,330,,203.49768430000404,,14,,4,150,50,197.38103049999336,1.3823450999916531,300,,4,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[196.6976506000501, 197.03110399999423]"
350,210.99943790002726,330,,218.49841260001995,,15,,4,150,50,212.91522369999439,1.915785799967125,300,,4,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[211.7816010999959, 212.1650320000481]"
400,226.00016500003403,330,,233.49911140004406,,16,,4,150,50,227.8323862000252,1.8322211999911815,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[226.7657068000408, 227.09903300000587, 227.38242670003092]"
450,241.00086840003496,330,,248.49982520000776,,17,,4,150,50,242.06651600002078,1.065647599985823,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
250,256.00158999999985,330,,263.50055070000235,,18,,4,150,50,257.8838793000323,1.8822893000324257,300,,4,iowa_exp,0,-250,"['fMRI', 'EEG', 'MEG']",120,3,"[256.817248700012, 257.200509300048, 257.56719780003186]"
300,271.00231760001043,330,,278.50132169999415,,19,,4,150,50,272.8682491000509,1.8659315000404604,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[271.75120190001326, 272.1011825000169, 272.45124830002896]"
350,286.00303240003996,330,,293.501964199997,,20,,4,150,50,288.0353858000017,2.032353399961721,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[286.7851871000021, 287.10187780001434, 287.7020128000295]"
400,301.00372580002295,330,,308.50266480003484,,21,,4,150,50,302.7193358000368,1.7156100000138395,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[301.78587490000064, 302.0361485000467, 302.3192667000112]"
450,316.00435890001245,330,,323.50341689999914,,22,,4,150,50,317.20339550002245,1.199036600010004,300,,4,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[316.80358170002]
500,331.0384718000423,330,,338.5374457000289,,23,,3,150,50,331.85403320001205,0.815561399969738,300,,4,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
500,346.0391740000341,330,,353.5381764000049,,24,,3,150,50,346.98798050003825,0.9488065000041388,300,,4,iowa_exp,2,-50,"['fMRI', 'EEG', 'MEG']",120,0,[]
550,361.0400666000205,330,,368.5388467000448,,25,,3,150,50,363.17221280001104,2.1321461999905296,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,3,"[361.9388062999933, 362.30548189999536, 362.6555043000262]"
600,376.04053040000144,330,,383.53955760004465,,26,,4,150,50,377.1228414000361,1.0823110000346787,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
600,391.04132600000594,330,,398.54024970001774,,27,,3,150,50,392.65689080004813,1.6155648000421934,300,,4,iowa_exp,0,-50,"['fMRI', 'EEG', 'MEG']",120,2,"[391.75683800003026, 392.17354909999995]"
600,406.04204369999934,330,,413.5409799000481,,28,,3,150,50,408.45744399999967,2.4154003000003286,300,,4,iowa_exp,3,-50,"['fMRI', 'EEG', 'MEG']",120,3,"[407.02441670000553, 407.44090570003027, 407.9075586000108]"
650,421.0426880000159,330,,428.54162920004455,,29,,3,150,50,423.1916181000415,2.148930100025609,300,,4,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,1,[421.65831040003104]
700,436.04338829999324,330,,443.5423740000115,,30,,4,150,50,437.14235700003337,1.0989687000401318,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
750,451.04410860000644,330,,458.54313060001004,,31,,4,150,50,452.5430392000126,1.4989306000061333,300,,4,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,2,"[451.64305430004606, 452.0930450000451]"
800,466.0448391000391,330,,473.54385400004685,,32,,4,150,50,466.9101320000482,0.8652929000090808,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
850,481.04557630000636,330,,488.5445222000126,,33,,3,150,50,482.2954246000154,1.2498483000090346,300,,4,iowa_exp,1,0,"['fMRI', 'EEG', 'MEG']",120,1,[481.7944526000065]
900,496.0462605000357,330,,503.5452244000044,,34,,4,150,50,496.92947520001326,0.8832146999775432,300,,4,iowa_exp,3,0,"['fMRI', 'EEG', 'MEG']",120,0,[]
950,511.04695950000314,330,,518.5459409000468,,35,,4,150,50,512.8459572000429,1.798997700039763,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[511.67922190000536, 512.0625603999943, 512.4459304000484]"
1000,526.0476674000383,330,,533.5465894000372,,36,,4,150,50,527.1632798000355,1.1156123999971896,300,,4,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[526.7806072999956]
1000,541.0484173000441,330,,548.5473699000431,,37,,3,150,50,541.9473324000137,0.8989150999695994,300,,4,iowa_exp,2,-50,"['fMRI', 'EEG', 'MEG']",120,0,[]
1050,556.0491460000048,330,,563.5480732000433,,38,,4,150,50,559.1980843000347,3.1489383000298403,300,,4,iowa_exp,2,0,"['fMRI', 'EEG', 'MEG']",120,1,[558.4979872000404]
1100,571.0497958000051,330,,578.5487813000218,,39,,4,150,50,573.4821467000293,2.4323509000241756,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[571.8319581000251, 572.3319548, 572.8819995000376]"
1150,586.050500900019,330,,593.5494884999935,,40,,4,150,50,588.4995410999982,2.4490401999792084,300,,4,iowa_exp,0,0,"['fMRI', 'EEG', 'MEG']",120,3,"[586.7493026000448, 587.2161508999998, 587.6660884000012]"
